代码,名称,现价,涨跌幅%,涨跌,涨速%,换手%,量比,振幅%,成交额,流通股,流通市值,市盈率
300007,汉威科技,15.29,0.20,0.03,1.19,0.29,4.68,1.44,1054.01万,2.41亿,36.91亿,19.15
000600,建投能源,5.11,0.20,0.01,0.20,0.06,2.22,0.59,343.34万,10.90亿,55.70亿,8.32
300279,和晶科技,5.14,0.20,0.01,0.78,0.04,1.05,1.36,84.33万,4.40亿,22.59亿,91.39
002014,永新股份,10.32,0.19,0.02,0.49,0.02,1.79,0.87,86.29万,5.01亿,51.75亿,17.50
688689,银河微电,25.84,0.19,0.05,0.98,0.18,0.86,0.97,135.19万,2920.33万,7.55亿,47.75
002969,嘉美包装,5.16,0.19,0.01,0.19,0.03,2.25,1.55,72.93万,4.44亿,22.92亿,亏损
002793,罗欣药业,10.42,0.19,0.02,0.97,0.02,1.46,1.54,70.82万,2.91亿,30.37亿,33.37
600673,东阳光,5.22,0.19,0.01,0.19,0.04,2.88,1.15,442.20万,24.59亿,128.36亿,68.07
600016,民生银行,5.22,0.19,0.01,0.39,0.03,4.33,0.57,5146.89万,354.62亿,1854.67亿,4.60
002533,金杯电工,5.26,0.19,0.01,0.19,0.01,1.15,0.57,42.80万,5.94亿,31.26亿,15.17
603333,尚纬股份,5.28,0.19,0.01,0.57,0.01,0.80,0.76,25.83万,5.17亿,27.29亿,44.76
300452,山河药辅,15.84,0.19,0.03,0.06,0.04,1.23,1.01,82.31万,1.41亿,22.28亿,30.35
600222,太龙药业,5.28,0.19,0.01,-0.38,0.01,0.54,0.95,20.96万,5.74亿,30.30亿,77.04
000695,滨海能源,5.29,0.19,0.01,0.19,0.01,0.92,1.33,12.64万,2.22亿,11.73亿,亏损
300533,冰川网络,21.39,0.19,0.04,0.19,0.03,1.35,0.89,56.98万,9761.57万,20.88亿,37.41
600814,杭州解百,5.37,0.19,0.01,0.19,0.01,1.54,0.75,23.19万,7.15亿,38.40亿,14.84
代码,名称,现价,涨跌幅%,涨跌,涨速%,换手%,量比,振幅%,成交额,流通股,流通市值,市盈率
300689,澄天伟业,35.08,0.23,0.08,-0.14,0.04,1.36,1.89,72.52万,5822.48万,20.43亿,66.47
600137,浪莎股份,13.23,0.23,0.03,-0.75,0.02,1.40,1.67,20.93万,9721.76万,12.86亿,67.21
003016,欣贺股份,8.89,0.23,0.02,0.11,0.07,1.54,0.34,66.02万,1.07亿,9.48亿,23.83
603828,柯利达,4.43,0.23,0.01,0.23,0.01,1.06,1.13,30.14万,5.48亿,24.26亿,53.20
002349,精华制药,4.46,0.23,0.01,0.23,0.01,1.43,0.90,52.53万,8.23亿,36.72亿,33.45
300906,日月明,44.40,0.23,0.10,1.53,1.15,2.68,1.82,1009.50万,2000.00万,8.88亿,108.17
000020,深华发Ａ,8.90,0.23,0.02,0.68,0.03,1.58,0.68,48.08万,1.81亿,16.12亿,389.62
603936,博敏电子,13.46,0.22,0.03,0.52,0.06,1.05,1.42,313.57万,3.97亿,53.31亿,32.87
600028,中国石化,4.47,0.22,0.01,0.00,0.02,3.53,1.12,8496.41万,955.58亿,4271.43亿,17.27
601811,新华文轩,8.94,0.22,0.02,0.00,0.00,1.19,0.34,23.32万,7.92亿,70.80亿,10.91
002231,奥维通信,4.49,0.22,0.01,0.67,0.05,2.64,0.67,77.13万,3.57亿,16.02亿,亏损
601601,中国太保,45.40,0.22,0.10,0.27,0.03,2.00,1.74,1.04亿,68.45亿,3108.33亿,16.68
600977,中国电影,13.60,0.22,0.03,0.89,0.03,1.79,1.55,839.61万,18.67亿,253.91亿,亏损
002740,爱迪尔,4.54,0.22,0.01,0.00,0.15,2.17,1.77,160.01万,2.42亿,10.97亿,57.41
000567,海德股份,9.08,0.22,0.02,0.33,0.12,2.54,1.44,235.01万,2.18亿,19.78亿,37.74
002463,沪电股份,18.21,0.22,0.04,1.00,0.06,1.92,1.43,1791.15万,17.06亿,310.62亿,23.38
002741,光华科技,13.74,0.22,0.03,0.37,0.05,1.16,1.09,233.44万,3.19亿,43.83亿,180.61
600773,西藏城投,9.21,0.22,0.02,1.10,0.20,2.49,2.07,1379.28万,7.46亿,68.72亿,79.52
603101,汇嘉时代,4.59,0.22,0.01,0.22,0.02,2.05,1.31,40.19万,4.70亿,21.59亿,亏损
603335,迪生力,4.59,0.22,0.01,-1.08,0.10,5.88,2.62,188.34万,4.28亿,19.65亿,25.38
代码,名称,现价,涨跌幅%,涨跌,涨速%,换手%,量比,振幅%,成交额,流通股,流通市值,市盈率
002878,元隆雅图,18.47,0.22,0.04,0.60,0.03,1.42,1.14,118.02万,1.88亿,34.75亿,26.05
000063,中兴通讯,32.40,0.22,0.07,-0.15,0.14,4.60,0.65,1.72亿,38.57亿,1249.79亿,34.23
002392,北京利尔,4.63,0.22,0.01,0.65,0.20,4.02,1.30,759.26万,8.32亿,38.51亿,11.10
000833,粤桂股份,4.62,0.22,0.01,0.65,0.12,4.17,1.52,200.10万,3.78亿,17.47亿,亏损
300310,宜通世纪,4.64,0.22,0.01,0.87,0.06,0.74,1.08,174.38万,6.92亿,32.10亿,121.02
002958,青农商行,4.65,0.22,0.01,0.00,0.13,3.82,1.29,1664.03万,26.96亿,125.34亿,8.73
603611,诺力股份,14.00,0.21,0.03,0.65,0.03,1.67,0.93,116.63万,2.67亿,37.41亿,14.15
600250,南纺股份,4.69,0.21,0.01,0.21,0.01,0.64,1.50,8.57万,2.70亿,12.66亿,24.74
000953,*ST河化,4.70,0.21,0.01,-0.84,0.01,1.39,0.85,15.47万,2.94亿,13.82亿,27.69
000701,厦门信达,4.72,0.21,0.01,0.43,0.02,1.56,1.49,37.36万,4.06亿,19.19亿,16.07
300688,创业黑马,18.91,0.21,0.04,0.69,0.11,1.77,1.70,150.36万,7278.08万,13.76亿,177.42
002765,蓝黛科技,4.76,0.21,0.01,1.06,0.12,3.08,1.05,204.73万,3.69亿,17.57亿,69.32
300161,华中数控,23.80,0.21,0.05,1.06,0.22,2.28,2.19,882.99万,1.68亿,39.99亿,85.39
603889,新澳股份,4.74,0.21,0.01,0.21,--,0.03,0.42,3784,5.12亿,24.26亿,17.66
002402,和而泰,23.92,0.21,0.05,1.10,0.21,1.68,1.97,3911.96万,8.02亿,191.79亿,55.21
603626,科森科技,9.54,0.21,0.02,1.27,0.10,4.02,2.10,455.66万,4.82亿,45.99亿,46.74
003009,中天火箭,57.24,0.21,0.12,0.72,0.24,1.76,1.05,542.09万,3884.81万,22.24亿,85.99
300265,通光线缆,9.53,0.21,0.02,0.32,0.09,1.61,2.00,316.17万,3.64亿,34.70亿,52.94
002119,康强电子,9.57,0.21,0.02,0.95,0.04,2.47,1.15,125.27万,3.68亿,35.17亿,40.94
603212,赛伍技术,33.66,0.21,0.07,0.48,0.17,1.97,2.17,226.48万,4001.00万,13.47亿,69.39
代码,名称,现价,涨跌幅%,涨跌,涨速%,换手%,量比,振幅%,成交额,流通股,流通市值,市盈率
300302,同有科技,9.65,0.21,0.02,0.94,0.06,1.56,1.04,197.95万,3.43亿,33.07亿,286.42
601801,皖新传媒,4.83,0.21,0.01,0.63,0.01,0.83,0.62,56.19万,19.89亿,96.08亿,15.61
000731,四川美丰,4.83,0.21,0.01,1.05,0.07,2.26,1.45,189.63万,5.91亿,28.57亿,30.50
003032,传智教育,24.32,0.21,0.05,1.33,0.76,2.02,2.68,731.51万,4024.47万,9.79亿,532.61
605118,力鼎光电,14.63,0.21,0.03,0.48,0.12,2.96,0.82,70.60万,4100.00万,6.00亿,38.91
600729,重庆百货,29.21,0.21,0.06,0.31,0.02,1.39,0.79,215.36万,4.06亿,118.72亿,9.30
002334,英威腾,4.87,0.21,0.01,0.62,0.05,2.27,0.82,143.61万,6.33亿,30.82亿,29.21
002889,东方嘉盛,24.67,0.20,0.05,0.37,0.01,0.60,0.65,18.46万,9022.18万,22.26亿,17.06
600232,金鹰股份,5.00,0.20,0.01,0.40,0.01,0.47,0.80,8.74万,3.65亿,18.24亿,32.73
601368,绿城水务,5.05,0.20,0.01,0.60,0.00,0.72,0.59,14.41万,8.60亿,43.44亿,14.94
000859,国风塑业,5.08,0.20,0.01,0.79,0.04,1.73,0.79,139.11万,7.39亿,37.56亿,60.23
000598,兴蓉环境,5.09,0.20,0.01,0.59,0.02,1.76,0.79,275.35万,29.86亿,152.00亿,11.71
002621,美吉姆,5.13,0.20,0.01,0.59,0.02,2.12,1.37,70.97万,7.93亿,40.71亿,31.16
300504,天邑股份,15.41,0.20,0.03,0.59,0.14,2.76,1.10,221.87万,1.05亿,16.24亿,30.30
603636,南威软件,10.31,0.20,0.02,0.98,0.05,2.93,1.07,326.34万,5.91亿,60.85亿,27.06
002969,嘉美包装,5.16,0.19,0.01,0.59,0.04,2.13,1.55,83.00万,4.44亿,22.92亿,亏损
688679,通源环境,15.56,0.19,0.03,0.45,0.39,1.36,2.19,183.93万,2995.40万,4.66亿,22.52
600016,民生银行,5.23,0.19,0.01,0.38,0.03,3.87,0.57,5508.45万,354.62亿,1854.67亿,4.60
601788,光大证券,15.71,0.19,0.03,0.90,0.05,2.78,1.21,3237.61万,39.07亿,613.35亿,16.40
000605,渤海股份,5.24,0.19,0.01,0.96,0.02,1.16,1.53,32.34万,3.36亿,17.59亿,56.57
代码,名称,现价,涨跌幅%,涨跌,涨速%,换手%,量比,振幅%,成交额,流通股,流通市值,市盈率
300452,山河药辅,15.84,0.19,0.03,0.76,0.05,1.27,1.14,102.12万,1.41亿,22.28亿,30.35
000695,滨海能源,5.29,0.19,0.01,0.19,0.01,0.80,1.33,13.27万,2.22亿,11.73亿,亏损
600491,龙元建设,5.30,0.19,0.01,0.38,0.03,2.49,0.57,230.39万,15.30亿,81.08亿,10.69
603816,顾家家居,74.26,0.19,0.14,-0.11,0.02,1.52,1.71,1077.60万,6.23亿,462.53亿,34.87
300337,银邦股份,5.30,0.19,0.01,0.38,0.38,4.03,2.27,1416.88万,7.08亿,37.54亿,2374.36
002873,新天药业,15.98,0.19,0.03,0.88,0.01,1.34,1.07,20.52万,1.13亿,18.09亿,23.00
002474,榕基软件,5.36,0.19,0.01,0.75,0.04,1.58,1.12,96.87万,4.78亿,25.63亿,73.79
600814,杭州解百,5.37,0.19,0.01,0.56,0.01,1.06,0.75,23.83万,7.15亿,38.40亿,14.84
603610,麒盛科技,26.74,0.19,0.05,0.53,0.03,1.19,0.97,92.35万,1.03亿,27.54亿,21.87
300823,建科机械,26.90,0.19,0.05,1.13,0.15,2.30,1.53,92.38万,2340.00万,6.29亿,29.34
603007,花王股份,5.39,0.19,0.01,0.19,0.02,0.50,0.93,29.59万,3.33亿,17.97亿,225.85
002758,浙农股份,10.75,0.19,0.02,0.56,0.02,1.24,0.75,45.18万,1.95亿,20.96亿,168.67
300240,飞力达,5.44,0.18,0.01,0.56,0.02,0.99,1.47,33.69万,3.62亿,19.67亿,71.54
600739,辽宁成大,21.83,0.18,0.04,0.18,0.02,1.22,0.46,618.96万,15.30亿,333.94亿,9.91
300466,赛摩智能,5.45,0.18,0.01,0.55,0.07,1.63,1.84,140.50万,3.77亿,20.53亿,68.37
688557,兰剑智能,38.18,0.18,0.07,0.85,0.84,8.64,3.46,523.54万,1653.76万,6.31亿,33.17
300510,金冠股份,5.53,0.18,0.01,-0.54,0.10,2.46,2.90,418.93万,7.89亿,43.63亿,亏损
603986,兆易创新,199.38,0.18,0.36,0.48,0.07,1.45,1.45,6551.28万,4.39亿,875.52亿,105.41
002584,西陇科学,5.55,0.18,0.01,0.73,0.12,2.06,1.08,248.27万,3.88亿,21.51亿,56.31
002026,山东威达,11.12,0.18,0.02,-0.45,0.19,1.14,1.80,894.85万,4.23亿,47.03亿,18.49
代码,名称,现价,涨跌幅%,涨跌,涨速%,换手%,量比,振幅%,成交额,流通股,流通市值,市盈率
300745,欣锐科技,16.72,0.18,0.03,1.33,0.05,1.30,1.50,52.51万,6421.85万,10.74亿,亏损
300700,岱勒新材,16.83,0.18,0.03,0.42,0.11,1.56,0.89,112.98万,5903.88万,9.94亿,229.64
600376,首开股份,5.60,0.18,0.01,0.00,0.02,1.60,0.72,270.02万,25.80亿,144.46亿,7.88
003019,宸展光电,28.10,0.18,0.05,0.50,0.10,1.31,0.68,93.16万,3200.00万,8.99亿,27.91
300500,启迪设计,11.23,0.18,0.02,0.72,0.02,1.26,1.16,42.19万,1.58亿,17.79亿,22.41
300199,翰宇药业,5.63,0.18,0.01,0.54,0.05,1.93,1.42,182.96万,6.29亿,35.41亿,69.26
603897,长城科技,16.88,0.18,0.03,0.36,0.03,1.18,0.47,25.94万,5554.05万,9.38亿,17.97
688095,福昕软件,283.50,0.18,0.50,0.53,0.04,0.67,1.33,125.65万,1089.72万,30.89亿,111.39
002918,蒙娜丽莎,39.59,0.18,0.07,0.61,0.10,1.87,1.77,860.19万,2.13亿,84.24亿,32.03
300031,宝通科技,16.94,0.18,0.03,0.53,0.06,1.53,1.72,306.67万,3.24亿,54.90亿,16.29
002961,瑞达期货,22.71,0.18,0.04,0.18,0.04,0.78,1.24,89.65万,1.09亿,24.68亿,40.61
002537,海联金汇,5.69,0.18,0.01,0.89,0.06,1.40,1.06,401.92万,12.38亿,70.43亿,51.23
300233,金城医药,28.49,0.18,0.05,0.99,0.07,1.50,2.04,761.94万,3.66亿,104.34亿,40.16
600271,航天信息,11.49,0.17,0.02,0.35,0.03,2.84,0.79,529.44万,18.53亿,212.71亿,90.53
688513,苑东生物,46.24,0.17,0.08,0.20,0.07,2.05,0.22,84.92万,2587.74万,11.97亿,31.17
002769,普路通,5.79,0.17,0.01,0.70,0.09,4.13,1.04,127.65万,2.62亿,15.16亿,39.50
002527,新时达,5.83,0.17,0.01,1.04,0.06,1.91,1.20,156.35万,4.55亿,26.52亿,35.44
300417,南华仪器,11.68,0.17,0.02,0.78,0.07,1.15,1.29,62.71万,7563.74万,8.83亿,22.31
002193,如意集团,5.87,0.17,0.01,0.34,0.01,1.72,1.36,23.20万,2.61亿,15.32亿,55.84
688099,晶晨股份,87.91,0.17,0.15,0.40,0.09,2.41,1.87,1686.25万,2.12亿,185.96亿,311.47
代码,名称,现价,涨跌幅%,涨跌,涨速%,换手%,量比,振幅%,成交额,流通股,流通市值,市盈率
603035,常熟汽饰,11.78,0.17,0.02,0.68,0.05,1.79,1.10,215.75万,3.44亿,40.46亿,13.68
300162,雷曼光电,5.90,0.17,0.01,0.86,0.06,0.69,1.36,90.04万,2.64亿,15.59亿,2481.61
603116,红蜻蜓,5.89,0.17,0.01,-0.34,0.01,1.20,0.85,26.45万,5.76亿,33.94亿,42.66
688318,财富趋势,177.68,0.17,0.30,1.24,0.18,2.29,2.18,515.09万,1611.14万,28.68亿,47.54
603726,朗迪集团,11.86,0.17,0.02,0.42,0.01,1.67,0.59,35.68万,1.86亿,22.02亿,20.93
600463,空港股份,5.98,0.17,0.01,-0.33,0.03,5.20,1.17,55.13万,3.00亿,17.94亿,亏损
603050,科林电气,12.03,0.17,0.02,1.26,0.05,1.80,1.92,88.92万,1.62亿,19.43亿,24.75
601066,中信建投,36.52,0.17,0.06,0.44,0.08,2.49,1.01,4013.66万,13.15亿,480.24亿,29.79
002150,通润装备,6.07,0.17,0.01,0.66,0.02,2.03,1.49,46.12万,3.55亿,21.55亿,16.79
002774,快意电梯,6.10,0.16,0.01,0.66,0.03,2.71,1.31,54.87万,2.80亿,17.07亿,344.92
000402,金 融 街,6.14,0.16,0.01,0.16,0.06,4.76,1.30,1167.49万,29.88亿,183.44亿,15.13
002566,益盛药业,6.14,0.16,0.01,0.16,0.00,0.39,0.82,5.75万,2.32亿,14.23亿,25.59
300180,华峰超纤,6.19,0.16,0.01,0.65,0.11,2.95,2.91,931.73万,13.36亿,82.67亿,51.64
002787,华源控股,6.18,0.16,0.01,-0.96,0.09,2.71,1.30,105.32万,1.87亿,11.53亿,47.65
300589,江龙船艇,24.93,0.16,0.04,0.93,0.40,1.79,2.57,1019.36万,1.02亿,25.53亿,139.59
300334,津膜科技,6.23,0.16,0.01,0.97,0.04,1.01,2.09,76.54万,3.00亿,18.70亿,亏损
000819,岳阳兴长,6.22,0.16,0.01,0.49,0.02,2.47,0.81,39.54万,2.99亿,18.61亿,264.96
000722,湖南发展,6.22,0.16,0.01,-0.32,0.03,1.91,0.97,73.58万,4.64亿,28.87亿,23.74
603876,鼎胜新材,12.51,0.16,0.02,0.40,0.07,3.02,1.28,197.27万,2.39亿,29.93亿,亏损
603618,杭电股份,6.31,0.16,0.01,0.48,0.10,2.99,2.06,439.29万,6.91亿,43.60亿,28.54
代码,名称,现价,涨跌幅%,涨跌,涨速%,换手%,量比,振幅%,成交额,流通股,流通市值,市盈率
300509,新美星,6.29,0.16,0.01,1.29,0.04,1.43,1.27,41.63万,1.67亿,10.48亿,43.48
000985,大庆华科,12.66,0.16,0.02,0.40,0.05,1.73,0.55,86.87万,1.30亿,16.41亿,89.41
000725,京东方Ａ,6.36,0.16,0.01,0.32,0.23,3.89,1.57,4.99亿,335.37亿,2132.95亿,67.04
002104,恒宝股份,6.37,0.16,0.01,0.16,0.07,1.95,0.63,262.90万,5.88亿,37.46亿,72.80
002037,保利联合,6.42,0.16,0.01,0.31,0.04,2.27,0.94,93.17万,3.27亿,21.02亿,35.32
002590,万安科技,6.44,0.16,0.01,0.31,0.01,0.94,0.47,26.20万,4.33亿,27.91亿,47.19
002937,兴瑞科技,12.82,0.16,0.02,0.71,0.11,3.21,1.25,138.33万,9756.20万,12.51亿,29.98
601155,新城控股,51.30,0.16,0.08,0.14,0.02,1.08,0.94,2771.88万,22.54亿,1156.05亿,18.36
002413,雷科防务,6.42,0.16,0.01,0.63,0.09,2.64,0.94,656.27万,10.88亿,69.85亿,59.17
300126,锐奇股份,6.45,0.15,0.01,0.00,0.27,1.35,1.86,371.15万,2.11亿,13.59亿,178.34
002683,宏大爆破,32.29,0.15,0.05,-0.03,0.04,1.45,0.78,823.55万,6.09亿,196.67亿,66.85
001979,招商蛇口,12.93,0.15,0.02,0.23,0.01,0.61,1.08,603.31万,79.22亿,1024.28亿,8.36
003011,海象新材,58.25,0.15,0.09,0.21,0.26,1.58,1.19,271.55万,1834.00万,10.68亿,21.73
600498,烽火通信,19.55,0.15,0.03,0.51,0.03,1.55,0.82,557.14万,11.32亿,221.22亿,61.85
600148,长春一东,13.11,0.15,0.02,0.00,0.03,3.13,0.38,55.26万,1.42亿,18.55亿,28.51
600686,金龙汽车,6.60,0.15,0.01,0.15,0.07,2.36,1.21,296.19万,6.75亿,44.52亿,亏损
300913,兆龙互连,26.52,0.15,0.04,0.42,0.42,1.84,1.02,323.78万,2904.75万,7.70亿,46.39
002386,天原股份,6.67,0.15,0.01,1.06,0.25,3.94,2.40,1281.94万,7.81亿,52.06亿,254.58
300468,四方精创,20.18,0.15,0.03,0.80,0.24,1.62,2.04,1376.31万,2.83亿,57.09亿,77.75
002295,精艺股份,6.77,0.15,0.01,-0.73,0.03,1.44,1.77,52.99万,2.50亿,16.94亿,37.64
代码,名称,现价,涨跌幅%,涨跌,涨速%,换手%,量比,振幅%,成交额,流通股,流通市值,市盈率
688228,开普云,40.76,0.15,0.06,0.39,0.04,1.29,0.93,25.41万,1518.49万,6.19亿,39.66
603223,恒通股份,20.49,0.15,0.03,0.15,0.02,0.92,0.59,92.25万,2.82亿,57.83亿,65.65
603859,能科股份,34.10,0.15,0.05,0.89,0.07,2.67,0.88,319.23万,1.30亿,44.18亿,44.20
002707,众信旅游,6.81,0.15,0.01,1.19,0.39,2.18,1.91,1526.91万,5.80亿,39.50亿,亏损
000668,荣丰控股,13.70,0.15,0.02,0.96,0.02,1.41,1.32,43.35万,1.47亿,20.10亿,亏损
600068,葛洲坝,6.83,0.15,0.01,0.00,0.06,3.12,0.88,1814.63万,46.05亿,314.97亿,9.40
002892,科力尔,20.52,0.15,0.03,0.00,0.01,0.50,1.12,13.60万,8316.53万,17.07亿,29.06
300649,杭州园林,13.85,0.14,0.02,0.58,0.01,0.99,1.08,16.80万,8663.15万,12.00亿,37.49
600056,中国医药,13.80,0.14,0.02,-0.22,0.03,2.18,0.73,497.49万,10.68亿,147.40亿,8.93
603377,东方时尚,13.78,0.14,0.02,0.66,0.05,1.61,1.09,424.39万,6.11亿,84.14亿,75.71
600517,国网英大,6.96,0.14,0.01,-1.70,0.98,17.12,3.16,1.31亿,19.00亿,132.59亿,31.32
600648,外高桥,13.96,0.14,0.02,0.43,0.01,1.41,0.79,110.64万,9.35亿,130.50亿,26.60
002462,嘉事堂,13.99,0.14,0.02,0.29,0.01,0.89,0.86,34.64万,2.50亿,34.94亿,12.49
600738,丽尚国潮,7.01,0.14,0.01,0.29,0.04,0.85,1.29,213.92万,7.40亿,51.91亿,51.19
603879,永悦科技,7.10,0.14,0.01,0.14,0.01,0.93,0.85,24.14万,2.79亿,19.84亿,亏损
002637,赞宇科技,14.21,0.14,0.02,0.07,0.49,11.06,2.04,2766.13万,3.96亿,56.22亿,19.20
002443,金洲管道,7.12,0.14,0.01,0.71,0.15,3.09,0.84,543.11万,5.19亿,36.93亿,6.35
002725,跃岭股份,7.16,0.14,0.01,0.56,0.01,0.86,0.84,16.92万,1.95亿,13.99亿,141.62
000785,居然之家,7.19,0.14,0.01,0.56,0.02,1.19,0.70,35.62万,2.51亿,18.05亿,38.49
002870,香山股份,21.63,0.14,0.03,0.14,0.03,1.14,1.53,28.10万,4842.00万,10.47亿,35.90
代码,名称,现价,涨跌幅%,涨跌,涨速%,换手%,量比,振幅%,成交额,流通股,流通市值,市盈率
003020,立方制药,32.32,0.19,0.06,0.37,0.27,2.47,1.12,201.30万,2316.00万,7.49亿,22.53
603007,花王股份,5.40,0.19,0.01,0.37,0.02,0.49,1.11,32.56万,3.33亿,17.97亿,225.85
600469,风神股份,5.45,0.18,0.01,-0.37,0.10,2.40,1.29,294.78万,5.62亿,30.65亿,18.38
600602,云赛智联,5.46,0.18,0.01,0.37,0.01,0.94,0.37,40.21万,10.74亿,58.66亿,35.98
300818,耐普矿机,27.30,0.18,0.05,1.41,0.06,1.22,1.69,50.36万,3264.30万,8.91亿,43.48
300240,飞力达,5.44,0.18,0.01,0.56,0.02,1.00,1.47,39.67万,3.62亿,19.67亿,71.54
002596,海南瑞泽,5.49,0.18,0.01,-0.18,0.20,4.43,2.01,1138.95万,10.16亿,55.79亿,143.12
002943,宇晶股份,16.40,0.18,0.03,0.92,0.79,2.57,2.14,678.53万,5285.27万,8.67亿,亏损
300085,银之杰,16.50,0.18,0.03,0.79,0.13,1.30,0.91,787.47万,3.80亿,62.71亿,亏损
002584,西陇科学,5.55,0.18,0.01,0.36,0.14,2.12,1.08,298.04万,3.88亿,21.51亿,56.31
603986,兆易创新,199.36,0.18,0.36,0.72,0.09,1.46,1.45,7873.05万,4.39亿,875.52亿,105.41
300745,欣锐科技,16.72,0.18,0.03,0.91,0.05,1.11,1.50,54.18万,6421.85万,10.74亿,亏损
688095,福昕软件,283.51,0.18,0.51,0.67,0.05,0.84,1.33,157.66万,1089.72万,30.89亿,111.39
300931,通用电梯,11.24,0.18,0.02,0.54,0.65,1.86,0.98,412.65万,5694.41万,6.41亿,66.09
002165,红 宝 丽,5.65,0.18,0.01,0.00,0.10,1.16,1.42,326.23万,5.94亿,33.57亿,27.48
300545,联得装备,22.79,0.18,0.04,0.84,0.05,2.00,1.67,86.38万,7494.33万,17.08亿,50.54
300520,科大国创,17.11,0.18,0.02,0.65,0.06,0.96,0.94,221.19万,2.04亿,34.92亿,61.36
002961,瑞达期货,22.71,0.18,0.04,0.13,0.04,0.78,1.24,105.32万,1.09亿,24.68亿,40.61
600271,航天信息,11.47,0.17,0.02,0.26,0.03,3.27,0.79,604.97万,18.53亿,212.71亿,90.53
000501,鄂武商Ａ,11.46,0.17,0.02,0.35,0.09,2.35,0.87,787.51万,7.68亿,87.99亿,32.72
代码,名称,现价,涨跌幅%,涨跌,涨速%,换手%,量比,振幅%,成交额,流通股,流通市值,市盈率
688318,财富趋势,178.00,0.17,0.31,0.74,0.20,2.56,2.18,579.65万,1611.14万,28.68亿,47.54
300018,中元股份,5.76,0.17,0.01,0.52,0.13,1.61,1.39,292.84万,3.92亿,22.55亿,94.35
688619,罗普特,28.72,0.17,0.05,0.67,0.41,0.61,1.26,504.28万,4288.01万,12.32亿,34.14
002527,新时达,5.83,0.17,0.01,0.52,0.08,2.09,1.20,200.04万,4.55亿,26.52亿,35.44
300608,思特奇,11.75,0.17,0.02,0.69,0.02,0.65,1.11,27.83万,1.22亿,14.30亿,亏损
688099,晶晨股份,87.86,0.17,0.15,-0.45,0.10,2.28,1.87,1868.85万,2.12亿,185.96亿,311.47
002193,如意集团,5.87,0.17,0.01,0.34,0.02,1.84,1.36,24.78万,2.61亿,15.32亿,55.84
002088,鲁阳节能,17.65,0.17,0.03,0.74,0.23,3.14,3.06,1282.67万,3.16亿,55.71亿,17.25
603015,弘讯科技,6.01,0.17,0.01,0.67,0.02,1.21,0.83,37.33万,4.04亿,24.29亿,38.94
600639,浦东金桥,12.10,0.17,0.02,0.17,0.01,0.54,0.74,77.80万,8.50亿,102.88亿,14.84
002116,中国海诚,6.02,0.17,0.01,0.67,0.00,0.46,0.67,8.44万,4.16亿,25.07亿,40.91
000566,海南海药,6.12,0.16,0.01,0.00,0.06,2.08,1.47,440.93万,12.04亿,73.69亿,318.50
002774,快意电梯,6.10,0.16,0.01,0.66,0.04,2.53,1.31,59.87万,2.80亿,17.07亿,344.92
600604,市北高新,6.13,0.16,0.01,0.49,0.03,0.89,1.14,215.14万,14.07亿,86.28亿,152.51
002209,达 意 隆,6.15,0.16,0.01,-0.32,0.06,1.57,0.65,60.40万,1.55亿,9.50亿,38.61
002566,益盛药业,6.14,0.16,0.01,0.33,0.01,0.37,0.82,7.77万,2.32亿,14.23亿,25.59
300484,蓝海华腾,12.32,0.16,0.02,0.90,0.11,1.32,1.63,204.94万,1.46亿,18.02亿,49.96
002889,东方嘉盛,24.66,0.16,0.04,0.33,0.01,0.85,0.65,26.10万,9022.18万,22.25亿,17.05
300180,华峰超纤,6.19,0.16,0.01,0.65,0.12,2.74,2.91,1006.17万,13.36亿,82.67亿,51.64
603329,上海雅仕,12.37,0.16,0.02,0.57,0.04,1.62,1.54,64.01万,1.32亿,16.29亿,20.45
代码,名称,现价,涨跌幅%,涨跌,涨速%,换手%,量比,振幅%,成交额,流通股,流通市值,市盈率
000650,仁和药业,6.22,0.16,0.01,0.65,0.07,2.07,1.45,531.51万,11.80亿,73.42亿,17.64
601958,金钼股份,6.31,0.16,0.01,0.16,0.07,2.53,1.27,1437.36万,32.27亿,203.60亿,117.53
600029,南方航空,6.34,0.16,0.01,0.32,0.06,2.40,1.26,2894.02万,81.12亿,515.08亿,亏损
002104,恒宝股份,6.37,0.16,0.01,0.16,0.09,2.02,0.63,316.82万,5.88亿,37.46亿,72.80
002037,保利联合,6.42,0.16,0.01,0.31,0.05,2.08,0.94,99.47万,3.27亿,21.02亿,35.32
002816,和科达,19.23,0.16,0.03,0.21,0.02,0.82,0.78,42.43万,9741.54万,18.73亿,亏损
688065,凯赛生物,83.98,0.15,0.13,0.26,0.09,1.27,0.69,303.07万,4019.96万,33.76亿,78.31
002953,日丰股份,19.44,0.15,0.03,0.73,0.04,1.26,1.34,42.59万,5269.94万,10.24亿,31.25
603042,华脉科技,13.08,0.15,0.02,1.16,0.14,2.24,1.46,242.20万,1.36亿,17.79亿,208.97
600888,新疆众和,6.70,0.15,0.01,0.45,0.25,2.24,1.80,1559.51万,9.28亿,62.10亿,21.38
002871,伟隆股份,13.32,0.15,0.02,-0.15,0.06,2.46,1.50,51.26万,6087.53万,8.11亿,25.24
300857,协创数据,26.83,0.15,0.04,0.64,0.06,0.80,0.93,86.06万,5163.94万,13.85亿,52.72
