代码,名称,现价,涨跌幅%,涨跌,涨速%,换手%,量比,振幅%,成交额,流通股,流通市值,市盈率
600695,绿庭投资,4.58,2.94,0.13,0.00,0.31,4.04,--,--,3.66亿,16.71亿,38.11
002645,华宏科技,14.04,2.93,0.40,-0.28,--,--,--,1342.50万,4.40亿,61.79亿,35.98
603826,坤彩科技,39.00,2.90,1.10,-1.89,--,--,--,--,4.68亿,182.52亿,117.19
688516,奥特维,67.86,2.90,1.91,3.01,--,--,--,--,2111.82万,14.33亿,43.29
002824,和胜股份,17.15,2.87,0.48,-4.19,--,--,--,376.79万,1.08亿,18.50亿,85.36
002684,ST猛狮,2.53,2.85,0.07,-1.94,--,--,--,163.51万,4.38亿,11.08亿,亏损
002647,仁东控股,13.50,2.82,0.37,0.00,--,--,--,2998.22万,5.60亿,75.59亿,亏损
688981,中芯国际-U,60.31,2.79,1.64,0.52,0.14,6.24,--,8933.29万,10.96亿,660.79亿,109.92
300103,达刚控股,11.02,2.69,0.29,-0.72,--,--,--,--,2.43亿,26.95亿,46.88
002245,蔚蓝锂芯,10.73,2.68,0.28,-0.19,--,--,--,1416.58万,9.31亿,100.04亿,38.60
002658,雪迪龙,7.36,2.63,0.19,-1.47,--,--,--,1014.21万,3.06亿,22.66亿,54.79
002136,安 纳 达,11.71,2.63,0.30,0.09,--,--,--,1134.00万,2.14亿,25.03亿,38.64
000932,华菱钢铁,6.88,2.53,0.17,-0.29,--,--,--,3845.97万,49.38亿,340.75亿,6.56
605376,博迁新材,50.81,2.43,1.21,1.30,0.20,2.14,--,--,6540.00万,33.35亿,86.52
600963,岳阳林纸,5.50,2.42,0.13,0.00,--,--,--,--,18.05亿,99.28亿,27.79
000911,南宁糖业,9.04,2.37,0.18,-1.09,0.13,5.08,--,373.80万,3.24亿,29.39亿,52.83
603701,德宏股份,9.57,2.35,0.22,-3.33,--,--,--,--,2.61亿,25.01亿,36.58
603690,至纯科技,35.80,2.23,0.78,1.04,--,2.49,--,--,2.52亿,90.29亿,103.48
600710,苏美达,5.16,2.18,0.11,1.58,--,--,--,--,13.07亿,67.43亿,9.65
002438,江苏神通,11.85,2.07,0.24,0.17,--,--,--,401.60万,4.54亿,53.76亿,25.04
代码,名称,现价,涨跌幅%,涨跌,涨速%,换手%,量比,振幅%,成交额,流通股,流通市值,市盈率
300140,中环装备,6.42,2.23,0.14,2.23,0.01,0.28,--,20.09万,3.86亿,24.76亿,亏损
603690,至纯科技,35.80,2.23,0.78,1.04,0.04,2.49,--,372.68万,2.52亿,90.29亿,103.48
600710,苏美达,5.16,2.18,0.11,1.58,0.02,5.04,--,149.79万,13.07亿,67.43亿,9.65
300736,百邦科技,8.18,2.12,0.17,0.00,0.04,2.13,--,38.94万,1.27亿,10.41亿,亏损
002658,雪迪龙,7.36,2.08,0.15,-1.21,0.45,10.45,--,1014.21万,3.06亿,22.54亿,54.49
300410,正业科技,7.41,2.07,0.15,-2.50,0.14,2.55,--,389.69万,3.64亿,27.00亿,亏损
603032,德新交运,12.35,2.07,0.25,-1.67,0.09,1.55,--,170.31万,1.60亿,19.76亿,1912.24
002857,三晖电气,11.89,2.06,0.24,2.06,0.05,12.72,--,51.13万,9129.34万,10.85亿,63.86
000911,南宁糖业,9.04,2.03,0.18,-1.09,0.13,5.08,--,373.80万,3.24亿,29.30亿,52.83
603929,亚翔集成,10.59,2.02,0.21,2.02,0.04,3.18,--,98.59万,2.13亿,22.59亿,亏损
600848,上海临港,19.70,2.02,0.39,0.25,0.01,5.35,--,254.52万,12.15亿,239.27亿,25.54
002836,新宏泽,9.15,2.01,0.18,2.93,0.00,0.32,--,3.20万,1.60亿,14.64亿,76.84
300380,安硕信息,20.01,1.99,0.39,0.00,0.04,1.96,--,83.84万,1.22亿,24.33亿,97.98
688126,沪硅产业-U,30.22,1.96,0.58,1.41,0.04,1.82,--,586.60万,4.78亿,144.34亿,860.83
300103,达刚控股,11.01,1.94,0.21,-0.81,0.05,5.23,--,132.23万,2.43亿,26.76亿,46.54
002234,民和股份,16.29,1.94,0.31,1.75,0.10,3.20,--,324.01万,2.06亿,33.58亿,73.80
688366,昊海生科,112.97,1.89,2.10,0.38,0.08,2.80,--,359.41万,3795.66万,42.88亿,87.01
300629,新劲刚,21.59,1.89,0.40,1.89,0.04,1.09,--,76.21万,8194.83万,17.69亿,54.51
688596,正帆科技,16.92,1.87,0.31,1.14,0.05,2.09,--,46.55万,5696.84万,9.64亿,42.27
600810,神马股份,13.78,1.85,0.25,1.70,0.03,0.52,--,196.04万,5.75亿,79.23亿,64.34
代码,名称,现价,涨跌幅%,涨跌,涨速%,换手%,量比,振幅%,成交额,流通股,流通市值,市盈率
002572,索菲亚,34.49,1.83,0.62,4.52,0.02,1.25,--,404.91万,6.37亿,219.85亿,33.86
300606,金太阳,19.60,1.82,0.35,0.00,0.04,2.29,--,36.26万,5363.73万,10.51亿,25.92
002075,沙钢股份,10.20,1.80,0.18,-0.78,0.07,3.16,--,1505.01万,22.07亿,225.09亿,34.74
002885,京泉华,12.50,1.79,0.22,-1.34,0.02,3.05,--,23.75万,1.01亿,12.68亿,35.54
000727,*ST东科,2.86,1.78,0.05,-1.38,0.05,6.26,--,449.08万,34.19亿,97.79亿,亏损
603335,迪生力,4.66,1.75,0.08,1.75,0.02,2.52,--,32.62万,4.28亿,19.95亿,25.77
001896,豫能控股,7.00,1.74,0.12,0.43,0.23,4.69,--,1895.60万,11.51亿,80.54亿,14.62
601233,桐昆股份,25.01,1.71,0.42,0.44,0.03,1.75,--,1777.34万,22.88亿,572.11亿,23.81
300658,延江股份,22.49,1.67,0.37,-0.22,0.05,3.14,--,99.41万,8903.55万,20.02亿,8.11
601058,赛轮轮胎,10.35,1.67,0.17,1.57,0.01,0.59,--,255.65万,25.59亿,264.85亿,17.57
300164,通源石油,3.68,1.66,0.06,0.82,0.03,0.88,--,40.47万,4.46亿,16.42亿,亏损
000918,嘉凯城,8.05,1.64,0.13,4.28,0.02,0.89,--,283.16万,18.04亿,145.24亿,亏损
300210,森远股份,4.40,1.62,0.07,0.00,0.03,1.80,--,49.02万,3.90亿,17.17亿,19.29
300551,古鳌科技,27.14,1.61,0.43,7.02,0.01,0.48,--,41.80万,1.44亿,39.11亿,亏损
600127,金健米业,10.14,1.60,0.16,-7.65,0.40,19.19,--,2577.49万,6.42亿,65.08亿,141.10
002371,北方华创,193.00,1.58,3.01,0.00,0.04,2.43,--,3450.84万,4.59亿,886.51亿,220.04
603083,剑桥科技,12.19,1.58,0.19,0.58,0.11,5.90,--,328.75万,2.52亿,30.75亿,亏损
603031,安德利,27.93,1.56,0.43,1.56,0.01,2.05,--,47.76万,1.12亿,31.28亿,612.74
002369,卓翼科技,5.23,1.55,0.08,-0.57,0.02,0.77,--,56.90万,5.76亿,30.11亿,亏损
003033,征和工业,35.00,1.54,0.53,-7.70,2.25,15.93,--,1606.85万,2045.00万,7.16亿,24.09
代码,名称,现价,涨跌幅%,涨跌,涨速%,换手%,量比,振幅%,成交额,流通股,流通市值,市盈率
603659,璞泰来,91.35,1.51,1.36,-0.16,0.01,1.15,--,250.76万,4.44亿,405.45亿,81.83
688585,上纬新材,12.80,1.51,0.19,0.79,0.07,2.24,--,34.43万,3902.39万,5.00亿,43.39
688116,天奈科技,62.08,1.50,0.92,1.50,0.00,0.08,--,14.26万,1.76亿,109.18亿,132.56
603416,信捷电气,95.86,1.50,1.42,2.52,0.00,0.30,--,37.39万,9122.48万,87.45亿,41.01
000899,赣能股份,6.10,1.50,0.09,-2.87,0.10,4.70,--,620.92万,9.76亿,59.52亿,15.77
603348,文灿股份,25.37,1.48,0.37,1.08,0.03,0.76,--,65.20万,1.01亿,25.59亿,66.41
000708,中信特钢,31.00,1.47,0.45,-1.74,0.01,1.63,--,349.68万,12.59亿,390.34亿,25.97
300655,晶瑞股份,31.35,1.46,0.45,-0.06,0.03,1.78,--,123.83万,1.59亿,49.69亿,71.96
603918,金桥信息,9.80,1.45,0.14,-0.10,0.01,1.46,--,24.89万,2.32亿,22.78亿,45.28
601068,中铝国际,3.55,1.43,0.05,-1.39,0.04,1.29,--,41.32万,2.96亿,10.50亿,亏损
600200,江苏吴中,5.01,1.42,0.07,1.21,0.02,4.63,--,75.15万,7.12亿,35.69亿,亏损
603860,中公高科,20.79,1.42,0.29,-1.00,0.05,16.25,--,71.10万,6668.00万,13.86亿,亏损
300230,永利股份,4.36,1.40,0.06,1.40,0.02,1.27,--,37.58万,5.55亿,24.19亿,15.99
300346,南大光电,30.90,1.38,0.42,-0.26,0.04,2.57,--,501.20万,3.70亿,114.21亿,105.40
002778,高科石化,23.60,1.38,0.32,-0.63,0.00,0.07,--,1.65万,6424.67万,15.16亿,28.26
600323,瀚蓝环境,27.32,1.37,0.37,1.37,0.00,0.37,--,86.60万,7.67亿,209.46亿,20.44
603617,君禾股份,10.51,1.35,0.14,2.84,0.00,0.30,--,7.67万,1.98亿,20.82亿,22.85
300584,海辰药业,19.59,1.34,0.26,1.35,0.03,5.77,--,36.83万,6404.53万,12.55亿,36.47
600363,联创光电,23.48,1.34,0.31,1.16,0.05,2.93,--,481.81万,4.43亿,104.13亿,37.53
000587,*ST金洲,1.55,1.31,0.02,0.00,0.04,3.99,--,74.12万,12.13亿,18.80亿,亏损
代码,名称,现价,涨跌幅%,涨跌,涨速%,换手%,量比,振幅%,成交额,流通股,流通市值,市盈率
300225,金力泰,21.39,1.28,0.27,0.99,0.01,0.17,--,57.75万,4.67亿,99.95亿,119.62
300125,聆达股份,15.07,1.28,0.19,1.41,0.00,0.43,--,8.59万,2.64亿,39.75亿,亏损
603181,皇马科技,18.30,1.27,0.23,-0.22,0.01,1.06,--,59.29万,4.06亿,74.30亿,23.53
300707,威唐工业,14.33,1.27,0.18,-2.85,0.00,0.11,--,2.72万,1.11亿,15.92亿,69.35
002892,科力尔,20.75,1.27,0.26,-0.62,0.00,0.27,--,2.49万,8316.53万,17.26亿,29.39
002272,川润股份,4.83,1.26,0.06,-0.41,0.04,3.13,--,66.17万,3.27亿,15.81亿,31.82
300702,天宇股份,103.96,1.26,1.29,1.25,0.00,0.16,--,24.95万,1.05亿,109.65亿,26.08
300847,中船汉光,21.29,1.24,0.26,1.24,0.03,0.66,--,32.79万,4934.00万,10.50亿,52.07
000570,苏常柴Ａ,5.78,1.23,0.07,-5.09,0.38,12.17,--,905.78万,4.11亿,23.78亿,62.47
