,名字,频数
0,孩子,15
1,动物园,12
2,长隆,9
3,特别,9
4,飞鸟,8
5,乐园,8
6,携程,8
7,票,7
8,里面,7
9,买,7
10,玩,7
11,表演,6
12,值得,6
13,真的,6
14,丽江,6
15,是不是,5
16,退,5
17,地方,5
18,完全,5
19,没什么,5
20,知道,4
21,退票,4
22,东西,4
23,钱,4
24,一下,4
25,元,4
26,主持人,4
27,不要,4
28,安排,4
29,坑爹,4
30,昆明,4
31,差,3
32,带,3
33,好多,3
34,觉得,3
35,远,3
36,分钟,3
37,野生,3
38,失望,3
39,不了,3
40,浪费,3
41,中午,3
42,想,3
43,不错,3
44,政策,3
45,非常,3
46,几只,3
47,工作人员,3
48,比较,3
49,考虑,3
50,动物,3
51,互动,3
52,一眼,3
53,简陋,3
54,体验,3
55,酒店,3
56,开水,3
57,宁波,3
58,飞,3
59,很多,2
60,宝宝,2
61,感觉,2
62,内容,2
63,平时,2
64,游客,2
65,几个,2
66,人多,2
67,兴趣,2
68,路,2
69,贵,2
70,集团,2
71,旗下,2
72,购票,2
73,小孩,2
74,小学,2
75,学生证,2
76,特意,2
77,一份,2
78,在校学生,2
79,证明,2
80,这种,2
81,享受,2
82,小学生,2
83,最后,2
84,吃饭,2
85,开放,2
86,鸟,2
87,适合,2
88,面前,2
89,鳄鱼,2
90,可能,2
