,名字,频数
0,动物,206
1,垃圾,185
2,动物园,176
3,里面,119
4,排队,118
5,元,109
6,差,104
7,长隆,103
8,票,102
9,贵,99
10,火车,98
11,带,88
12,门票,86
13,太,82
14,小时,82
15,携程,80
16,服务,77
17,体验,76
18,买,76
19,景区,74
20,走,73
21,工作人员,64
22,野生,63
23,东西,63
24,吃,61
25,非常,61
26,不能,60
27,很多,59
28,钱,59
29,感觉,59
30,孩子,59
31,不会,58
32,地方,55
33,玩,55
34,园区,55
35,进去,54
36,缆车,53
37,一次,50
38,游玩,48
39,价格,47
40,真的,46
41,不让,46
42,食物,44
43,知道,43
44,坐,42
45,不错,41
46,特别,41
47,时间,41
48,酒店,40
49,消费,39
50,游客,39
51,想,39
52,太贵,39
53,只能,39
54,差评,39
55,根本,38
56,看到,36
57,坑,35
58,没什么,35
59,不好,35
60,建议,33
61,小孩,33
62,性价比,33
63,票价,33
64,卖,32
65,广州,32
66,值得,31
67,态度,31
68,人太多,31
69,景点,31
70,退,31
71,不要,30
72,人多,30
73,免费,30
74,超级,30
75,需要,29
76,入园,29
77,两个,28
78,门口,28
79,以后,27
80,完全,27
81,一下,27
82,客服,27
83,一点,27
84,不到,26
85,更,26
86,熊猫,25
87,告知,25
88,去过,25
89,觉得,24
90,比较,24
91,好玩,24
92,难吃,24
93,米,24
94,买票,24
95,车,23
96,一张,23
97,不值,23
98,失望,23
99,大人,22
100,一瓶,22
101,实在,22
102,还行,22
103,管理,22
104,应该,22
105,月,22
106,不好玩,21
107,一天,21
108,最后,21
109,很差,21
110,整个,21
111,订票,21
112,高,20
113,极差,20
114,不了,20
115,春节,20
116,几个,19
117,马戏,19
118,餐厅,19
119,清楚,19
120,取票,19
121,外面,19
122,客户,19
123,表演,19
124,进园,18
125,一份,18
126,有点,18
127,必须,18
128,坑人,18
129,问题,18
130,世界,18
131,真是,18
132,已经,18
133,下次,18
134,排,18
135,窗口,18
136,号,18
137,退票,18
138,做,17
139,上海,17
140,每个,17
141,不行,17
142,便宜,17
143,不想,17
144,饭,17
145,订,17
146,食品,17
147,分钟,17
148,不准,17
149,儿童,17
150,居然,17
151,本来,16
152,儿童票,16
153,基本,16
154,水,16
155,野生动物,16
156,全是,16
157,再也,16
158,现在,16
159,网上,16
160,差差,16
161,其实,15
162,这种,15
163,设施,15
164,大雨,15
165,提前,15
166,现场,15
167,简直,15
168,旅游,15
169,心情,15
170,节假日,15
171,电话,15
172,方便,15
173,订单,15
174,项目,14
175,下午,14
176,花,14
177,长颈鹿,14
178,完,14
179,园内,14
180,服务态度,14
181,优惠,14
182,坐小,14
183,推荐,14
184,可能,14
185,商店,14
186,期间,14
187,第二次,14
188,短信,14
189,吃饭,13
190,真心,13
191,一根,13
192,半个,13
193,北门,13
194,假期,13
195,好多,13
196,巴士,13
197,成人,13
198,考拉,13
199,看不到,13
200,人山人海,13
201,一直,13
202,回复,13
203,投诉,13
204,找,13
205,总体,13
206,当时,13
207,人性化,13
208,日期,13
209,打电话,13
210,快,12
211,开车,12
212,路,12
213,反正,12
214,走路,12
215,小朋友,12
216,浪费,12
217,自驾游,12
218,三个,12
219,收费,12
220,太差,12
221,老人,12
222,希望,12
223,直接,12
224,好看,12
225,步行,12
226,日,12
227,一定,12
228,字,12
229,人员,12
230,不用,12
231,之后,11
232,取消,11
233,设计,11
234,花钱,11
235,通道,11
236,出去,11
237,自驾,11
238,办法,11
239,确实,11
240,进门,11
241,区别,11
242,好好,11
243,购买,11
244,喜欢,11
245,明明,11
246,一碗,11
247,爸爸,11
248,区域,11
249,使用,11
250,以下,11
251,块钱,10
252,无法,10
253,绝对,10
254,太高,10
255,不去,10
256,顾客,10
257,消费者,10
258,意思,10
259,自驾车,10
260,整体,10
261,挺,10
262,乐园,10
263,观看,10
264,条款,10
265,要死,10
266,暑假,10
267,无聊,10
268,之前,10
269,宣传,10
270,很大,10
271,实际,10
272,广告,10
273,参观,10
274,个人,10
275,餐饮,10
276,适合,10
277,站,10
278,安检,10
279,想象,10
280,手机,10
281,嘅,10
282,写,10
283,过去,10
284,套票,10
285,宝宝,10
286,今天,10
287,告诉,10
288,所谓,10
289,提醒,10
290,感受,9
291,矿泉水,9
292,挤,9
293,累,9
294,等待,9
295,赚钱,9
296,逛,9
297,物价,9
298,互动,9
299,恶心,9
300,收,9
301,结束,9
302,交通,9
303,唯一,9
304,珠海,9
305,贵得,9
306,拍,9
307,一圈,9
308,地铁,9
309,出行,9
310,联系,9
311,环境,9
312,半天,9
313,爹,9
314,进入,9
315,最差,9
316,定,9
317,小孩子,9
318,满意,9
319,朋友,9
320,特色,9
321,半小时,9
322,差劲,9
323,一般般,9
324,套餐,9
325,死贵,9
326,严重,9
327,补,9
328,黑,9
329,住,9
330,太坑,9
331,情况,9
332,近距离,8
333,够,8
334,不爽,8
335,不高,8
336,快捷,8
337,普通,8
338,树枝,8
339,南门,8
340,第一次,8
341,抢钱,8
342,控制,8
343,熊猫馆,8
344,平时,8
345,离谱,8
346,上当,8
347,太多,8
348,不合理,8
349,好不容易,8
350,看不见,8
351,味道,8
352,选择,8
353,帮,8
354,预定,8
355,差不多,8
356,入口,8
357,影响,8
358,意义,8
359,要钱,8
360,节目,8
361,热,8
362,到处,8
363,购票,8
364,二维码,8
365,第二天,8
366,麻烦,8
367,开水,8
368,感,8
369,远远,8
370,请,8
371,沟通,8
372,竟然,8
373,遇到,8
374,一米,7
375,一家,7
376,推,7
377,插队,7
378,进来,7
379,看看,7
380,千万别,7
381,快餐,7
382,后悔,7
383,理解,7
384,堵车,7
385,毫无,7
386,人挤,7
387,提供,7
388,太低,7
389,远,7
390,穿梭,7
391,饮料,7
392,不耐烦,7
393,再也不会,7
394,游园,7
395,规定,7
396,地铁站,7
397,垄断,7
398,是因为,7
399,回,7
400,印象,7
401,讲解,7
402,再来,7
403,家庭,7
404,一起,7
405,一个半,7
406,信息,7
407,事情,7
408,卡,7
409,支付,7
410,做好,7
411,快速通道,7
412,到位,7
413,没法,7
414,处理,7
415,发现,7
416,一只,7
417,睡觉,7
418,员工,7
419,混乱,7
420,下雨,7
421,考虑,7
422,差价,7
423,没人,7
424,深圳,7
425,老虎,7
426,旅行,7
427,保安,7
428,走马观花,7
429,早上,7
430,过程,7
431,验票,7
432,重新,7
433,申请,7
434,显示,7
435,房间,7
436,待遇,7
437,电子,7
438,导致,7
439,城市,7
440,收到,7
441,限制,6
442,好像,6
443,拍照,6
444,热情,6
445,超过,6
446,天气,6
447,抢,6
448,低,6
449,地铁口,6
450,逼,6
451,过年,6
452,搞,6
453,跟不上,6
454,出游,6
455,最好,6
456,要求,6
457,超多,6
458,人数,6
459,不够,6
460,霸王,6
461,起来,6
462,前面,6
463,当天,6
464,大象,6
465,内部,6
466,男,6
467,笼子,6
468,定位,6
469,解决,6
470,炒饭,6
471,游乐园,6
472,门票价格,6
473,位置,6
474,下车,6
475,队,6
476,下来,6
477,接触,6
478,品种,6
479,回来,6
480,一句,6
481,电瓶车,6
482,想着,6
483,累死,6
484,哭,6
485,出园,6
486,商业化,6
487,距离,6
488,猛兽,6
489,找到,6
490,不足,6
491,张票,6
492,花钱买,6
493,度,6
494,继续,6
495,出租车,6
496,娱乐,6
497,费用,6
498,强制,6
499,几只,6
500,看人,6
501,补票,6
502,厉害,6
503,确认,6
504,输,6
505,手机号,6
506,取,6
507,用户,6
508,回家,6
509,原因,6
510,突然,6
511,雨,6
512,那种,6
513,检票员,6
514,说好,6
515,行程,6
516,注明,6
517,须知,6
518,过期作废,6
519,版,6
520,包,5
521,人流,5
522,可爱,5
523,跑,5
524,很小,5
525,不太好,5
526,唔,5
527,太热,5
528,略贵,5
529,家长,5
530,素质,5
531,合理,5
532,安排,5
533,不住,5
534,隆,5
535,估计,5
536,接受,5
537,毕竟,5
538,放,5
539,寄存,5
540,引导,5
541,飞鸟,5
542,国外,5
543,倒,5
544,人头,5
545,旁边,5
546,一位,5
547,出现,5
548,允许,5
549,口,5
550,快速,5
551,好吃,5
552,设置,5
553,收钱,5
554,满满的,5
555,几乎,5
556,后来,5
557,人群,5
558,上午,5
559,大部分,5
560,经营,5
561,长,5
562,投,5
563,解释,5
564,游览,5
565,迪士尼,5
566,大失所望,5
567,扣,5
568,造成,5
569,购物,5
570,总结,5
571,机会,5
572,这是,5
573,法定,5
574,学生,5
575,係,5
576,出门,5
577,听说,5
578,工作,5
579,带来,5
580,期望,5
581,有钱,5
582,停车场,5
583,接待,5
584,生气,5
585,事,5
586,馆,5
587,检查,5
588,售票,5
589,学生票,5
590,地图,5
591,尤其,5
592,全程,5
593,门,5
594,凭证,5
595,耽误,5
596,观光车,5
597,正常,5
598,坑爹,5
599,车辆,5
600,几次,5
601,侏罗纪,5
602,更是,5
603,没太大,5
604,坐在,5
605,千万,5
606,恶劣,5
607,餐食,5
608,平台,5
609,服务员,5
610,房卡,5
611,租,5
612,雨衣,5
613,套路,5
614,明天,5
615,白白浪费,5
616,享受,5
617,改期,5
618,两张,5
619,人工,5
620,十分,5
621,过期,5
622,不来,5
623,厕所,5
624,全票,5
625,异常,5
626,零食,5
627,不停,4
628,样子,4
629,公里,4
630,来到,4
631,全国,4
632,讲,4
633,一趟,4
634,一条,4
635,可怜,4
636,堵,4
637,父母,4
638,几年,4
639,处处,4
640,点多,4
641,上海动物园,4
642,开心,4
643,上车,4
644,照片,4
645,打车,4
646,长时间,4
647,进出,4
648,餐,4
649,亲子,4
650,坐车,4
651,必要,4
652,水上,4
