,名字,频数
0,票,102
1,携程,93
2,马戏,72
3,表演,63
4,买,61
5,位置,48
6,时间,45
7,孩子,38
8,长隆,34
9,小时,34
10,座,33
11,取票,33
12,节目,31
13,坐,27
14,票价,27
15,不能,27
16,动物,27
17,不值,26
18,普通,26
19,酒店,26
20,真的,26
21,座位,26
22,价格,25
23,太,25
24,成人,25
25,不会,24
26,一等,24
27,客服,23
28,服务,23
29,订票,23
30,差,22
31,门票,21
32,根本,21
33,非常,19
34,坐在,19
35,只能,19
36,很多,19
37,提前,19
38,带,18
39,内容,18
40,演员,18
41,小孩,18
42,退,18
43,感觉,17
44,差评,17
45,知道,17
46,觉得,17
47,现场,17
48,最后,17
49,元,17
50,值得,16
51,想,16
52,订,16
53,体验,16
54,看到,16
55,电话,15
56,地方,14
57,推荐,14
58,精彩,14
59,购买,14
60,比较,14
61,出行,14
62,大人,14
63,一次,14
64,钱,14
65,不好,13
66,排队,13
67,贵,13
68,进去,13
69,这种,13
70,里面,13
71,演出,13
72,工作人员,13
73,以后,13
74,两个,13
75,广州,13
76,动物园,12
77,建议,12
78,儿童票,12
79,打电话,12
80,套票,12
81,必须,12
82,告知,12
83,珠海,12
84,特别,11
85,好看,11
86,完全,11
87,全程,11
88,手机,11
89,一直,11
90,国际,11
91,发现,11
92,便宜,11
93,一张,11
94,短信,11
95,直接,11
96,态度,10
97,花,10
98,买票,10
99,可能,10
100,看不到,10
101,不错,10
102,已经,10
103,之前,10
104,退票,10
105,找,10
106,提醒,10
107,老人,10
108,没什么,9
109,定,9
110,看过,9
111,问题,9
112,要求,9
113,一点,9
114,很差,9
115,门口,9
116,需要,9
117,月,9
118,一下,9
119,杂技,9
120,景区,9
121,不要,9
122,张,9
123,前面,9
124,无法,9
125,儿童,9
126,互动,8
127,网上,8
128,晚上,8
129,浪费,8
130,价钱,8
131,分钟,8
132,观众,8
133,走,8
134,网站,8
135,系统,8
136,真是,8
137,婴儿,8
138,马戏团,8
139,购票,8
140,改签,8
141,尾号,8
142,好多,7
143,明确,7
144,中间,7
145,真心,7
146,热,7
147,马戏表演,7
148,张票,7
149,不了,7
150,站,7
151,联系,7
152,希望,7
153,几个,7
154,后来,7
155,场次,7
156,人员,7
157,处理,7
158,更,7
159,现在,7
160,性价比,7
161,排,7
162,太坑,7
163,小孩子,7
164,弄,7
165,剧院,7
166,安排,7
167,选择,7
168,太贵,6
169,不让,6
170,严重,6
171,心情,6
172,块钱,6
173,实在,6
174,坑,6
175,基本,6
176,告诉,6
177,分开,6
178,提示,6
179,八点,6
180,太高,6
181,观看,6
182,本来,6
183,很大,6
184,居然,6
185,欢乐,6
186,一个半,6
187,不到,6
188,区域,6
189,完,6
190,米,6
191,导致,6
192,耽误,6
193,开演,6
194,卖,6
195,信息,6
196,五点,6
197,不用,6
198,差差,6
199,超级,5
200,说实话,5
201,野生,5
202,偏,5
203,快,5
204,后面,5
205,千古,5
206,情,5
207,舞台,5
208,剧场,5
209,有点,5
210,小丑,5
211,感受,5
212,朋友,5
213,侧面,5
214,竟然,5
215,平台,5
216,办法,5
217,订购,5
218,场,5
219,清楚,5
220,第一次,5
221,糟糕,5
222,进场,5
223,失望,5
224,验证码,5
225,差点,5
226,跑,5
227,占,5
228,小朋友,5
229,方便,5
230,号,5
231,近,5
232,坑爹,5
233,晚,5
234,取,5
235,回复,5
236,住,5
237,明明,5
238,携程网,5
239,考虑,5
240,三个,5
241,最好,5
242,我定,5
243,码,5
244,挤,4
245,挺,4
246,影响,4
247,预定,4
248,空调,4
249,使用,4
250,早,4
251,官网,4
252,简直,4
253,不怎么样,4
254,低,4
255,回来,4
256,熊,4
257,改变,4
258,事,4
259,外面,4
260,优惠,4
261,生气,4
262,马戏节目,4
263,不合理,4
264,去过,4
265,角度,4
266,最差,4
267,数字,4
268,错,4
269,亮点,4
270,取消,4
271,水平,4
272,宝宝,4
273,收,4
274,差不多,4
275,旅游,4
276,两张,4
277,条款,4
278,稍微,4
279,睡着,4
280,老虎,4
281,杂技表演,4
282,淘,4
283,宝贵,4
284,赶到,4
285,来不及,4
286,半小时,4
287,加钱,4
288,半天,4
289,适合,4
290,第二次,4
