,名字,频数
0,玩,100
1,排队,72
2,买,60
3,小时,48
4,项目,47
5,不能,42
6,票,42
7,太,34
8,坑坑,34
9,带,30
10,差,29
11,差评,23
12,真的,23
13,携程,22
14,工作人员,22
15,园区,22
16,吃,21
17,长隆,20
18,退,19
19,孩子,19
20,退票,19
21,东西,18
22,里面,18
23,时间,17
24,人太多,17
25,进去,17
26,地方,17
27,门票,17
28,设施,17
29,不会,17
30,客服,17
31,很多,16
32,体验,16
33,好玩,16
34,贵,15
35,服务,15
36,游客,15
37,不了,15
38,游玩,14
39,排,14
40,过山车,14
41,需要,14
42,基本,13
43,欢乐,13
44,世界,13
45,很差,13
46,不好玩,13
47,小孩,13
48,最后,12
49,以后,12
50,元,12
51,不让,12
52,消费,12
53,一次,12
54,买票,12
55,垃圾,12
56,刺激,11
57,分钟,11
58,不用,11
59,非常,11
60,几个,11
61,一天,11
62,下午,11
63,取票,11
64,态度,10
65,想,10
66,超级,10
67,钱,10
68,游乐,10
69,太贵,10
70,感觉,10
71,身高,10
72,知道,10
73,两个,10
74,问题,9
75,半个,9
76,游乐场,9
77,一直,9
78,已经,9
79,一点,9
80,走,9
81,限制,9
82,不好,9
83,不要,9
84,现在,9
85,人员,9
86,节假日,8
87,建议,8
88,觉得,8
89,好多,8
90,食品,8
91,特别,8
92,服务态度,8
93,游戏,8
94,景区,8
95,只能,8
96,发现,8
97,门口,8
98,鬼,8
99,拍摄,8
100,雨衣,7
101,极差,7
102,一张,7
103,本来,7
104,久,7
105,珠海,7
106,一般般,7
107,迪斯尼,7
108,出去,7
109,一起,7
110,比较,7
111,失望,7
112,不想,7
113,每个,7
114,价格,7
115,提前,7
116,广州,7
117,找,7
118,下雨,7
119,不行,7
120,张票,7
121,浪费,6
122,后面,6
123,直接,6
124,导致,6
125,米,6
126,鬼屋,6
127,网上,6
128,现场,6
129,应该,6
130,乐园,6
131,坑,6
132,坑人,6
133,第一次,6
134,垂直,6
135,不到,6
136,打电话,6
137,万圣节,6
138,小朋友,6
139,根本,6
140,便宜,6
141,开心,6
142,是不是,6
143,情况,6
144,成人,6
145,遇到,6
146,渣,6
147,月,6
148,朋友,6
149,队,5
150,做,5
151,景点,5
152,这种,5
153,订,5
154,夜场,5
155,值得,5
156,舒服,5
157,三个,5
158,欢乐谷,5
159,太阳,5
160,理解,5
161,考虑,5
162,人流,5
163,搞,5
164,放,5
165,真是,5
166,食物,5
167,看到,5
168,进园,5
169,使用,5
170,手机,5
171,入园,5
172,告诉,5
173,更,5
174,干嘛,5
175,订票,5
176,未,5
177,高,5
178,刚,5
179,换票,5
180,购票,5
181,出行,5
182,检票口,5
183,号,5
184,不错,4
185,没玩到,4
186,以前,4
187,不值,4
188,火箭,4
189,气氛,4
190,希望,4
191,喜欢,4
192,晚上,4
193,人性化,4
194,必须,4
195,关门,4
196,天气,4
197,快,4
198,之前,4
199,第二次,4
200,广东,4
201,今天,4
202,太差,4
203,插队,4
204,太多人,4
205,完,4
206,唯一,4
207,人头,4
208,花钱,4
209,儿童,4
210,长,4
211,实在,4
212,下次,4
213,感受,4
214,千万,4
215,没意思,4
216,随便,4
217,家长,4
218,摆锤,4
219,清楚,4
220,两次,4
221,主动,4
222,肚子,4
223,好不容易,4
224,规定,4
225,处理,4
226,兑换,4
227,停车场,4
228,允许,4
229,说法,4
230,一瓶,4
231,明明,4
232,心情,4
233,一米,4
234,霸王,4
235,条款,4
236,联票,4
237,推脱,4
238,娱乐,4
239,情侣,4
240,电话,4
241,一边,4
242,电脑,4
243,第一,3
244,第二,3
245,恶劣,3
246,饭,3
247,浪费时间,3
248,沒,3
249,想象,3
250,上海,3
251,售票处,3
252,两天,3
253,景色,3
254,园内,3
255,餐饮,3
256,主要,3
257,所谓,3
258,还行,3
259,收费,3
260,差不多,3
261,设备,3
262,一个多,3
263,水,3
264,休息,3
265,慎重,3
266,简直,3
267,男,3
268,女,3
269,价位,3
270,多人,3
271,安全,3
272,意思,3
273,印象,3
274,优惠,3
275,强制性,3
276,进入,3
277,卖,3
278,没什么,3
279,可能,3
280,真心,3
281,点去,3
282,女朋友,3
283,态度恶劣,3
284,愉快,3
285,赚钱,3
286,排排,3
287,人人,3
288,不够,3
289,验证码,3
290,定,3
291,选择,3
292,检查,3
293,语气,3
294,骗人,3
295,辣鸡,3
296,身体,3
297,询问,3
298,看见,3
299,几分钟,3
300,商店,3
301,一下,3
302,主题,3
303,地图,3
304,完全,3
305,写,3
306,反正,3
307,收,3
308,小孩子,3
309,拍,3
310,两张,3
311,中午,3
312,安排,3
313,排到,3
314,害,3
315,大热天,3
316,取,3
317,路上,3
318,差差,3
319,量,3
