,¹ÉÆ±´úÂë,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
0,000998,43184.17,343371.12,269912.27,52119.3,51492.39,52064.2,53642.49,53879.66,9425.21,4045.83
1,600265,21166.73,20152.67,19243.72,280.0,,,,2022.39,1000.0,5038.71
2,002556,40517.21,2834.8,2533.0,5546.5,7603.38,7393.43,1269.35,576.45,346.51,
3,002385,174916.25,94396.55,71028.35,63501.16,66434.46,63988.89,12703.67,11928.43,9488.83,5918.59
4,000713,5874.36,5446.55,2261.06,3278.12,3296.41,2703.98,3465.78,2551.89,1427.41,2032.45
5,002714,300588.24,254657.22,298501.12,207592.42,65711.25,52126.2,61450.55,45354.46,21028.35,7453.01
6,002891,17848.3,4469.16,748.79,739.06,752.01,1006.07,81.24,,,
7,600371,940.94,1062.5,2710.48,2815.4,3066.83,1404.76,996.69,797.29,942.58,1088.4
8,600598,11861.99,12138.84,7663.72,3066.58,2115.79,2277.17,32867.41,8144.92,7514.72,87253.27
9,000860,252346.22,336628.48,311135.3,330439.55,372564.91,224474.43,139905.1,190387.86,19513.44,88000.0
10,600354,13568.91,12378.93,5035.0,36909.03,31533.24,1137.03,1227.94,15202.77,31832.42,1829.84
11,600506,1102.33,1111.91,1105.68,1115.2,1081.8,1081.8,1081.8,1086.8,1106.8,1106.8
12,601952,24630.06,22187.81,21063.57,12886.7,12536.54,11597.1,10545.62,9639.93,,
13,600313,16180.18,16541.65,15115.78,14372.54,19162.07,16517.77,4299.81,5200.04,1414.09,
14,603668,4363.01,24330.59,1772.97,6780.87,2280.34,40.57,175.86,312.88,315.0,
15,603336,565.51,490.55,527.79,565.03,602.27,315.38,76.0,,,
16,300189,875.25,801.44,7293.36,8996.06,8544.49,7492.44,4846.56,2067.25,,
17,600108,193704.37,66701.56,149590.75,139789.11,142107.39,150416.73,16304.55,48617.32,55438.29,10796.58
18,002746,1418.24,429.77,447.34,192.34,302.4,3976.8,7303.2,919.57,,1146.98
19,002041,3540.97,4152.26,4976.55,7052.1,9442.89,9665.36,5680.36,6434.16,2982.96,1861.27
20,002157,461489.03,472875.35,276818.63,147450.67,233350.92,194716.16,142825.82,39967.35,31162.64,31026.44
21,601118,95220.69,139698.33,64788.31,192641.48,172108.16,21365.48,27252.3,27326.93,28058.33,78239.98
