,¹ÉÆ±´úÂë,2009
0,000998,58927.28999999999
1,600265,10821.420000000002
2,002556,2915.8399999999965
3,002385,23918.65000000001
4,000713,11616.320000000007
5,002714,3159.9799999999996
6,002891,
7,600371,4416.739999999998
8,600598,21502.20000000007
9,000860,16865.75
10,600354,11468.450000000012
11,600506,-416.47999999999956
12,601952,
13,600313,38689.36
14,603668,
15,603336,
16,300189,24996.050000000003
17,600108,-7243.630000000005
18,002746,-9659.89
19,002041,56040.880000000005
20,002157,25150.40000000001
21,601118,-64176.880000000005
22,002311,159660.13
23,300498,92791.62
24,002299,28729.509999999995
25,002696,5334.1900000000005
26,002124,6378.440000000002
27,600359,32391.350000000006
28,002086,17612.699999999997
29,002240,26855.809999999998
30,600076,-6809.76
31,300094,29968.050000000003
32,300106,5743.530000000001
33,002200,11061.950000000004
34,600275,-12904.089999999967
35,000592,44603.84
36,300087,5948.920000000002
37,002069,80787.20999999999
38,002234,3196.5099999999948
39,300313,3262.14
40,600540,38722.139999999985
41,600467,16664.840000000004
42,600257,-12735.760000000002
43,002679,18260.37
44,300262,6447.369999999999
45,300761,
46,600097,331.7099999999991
47,002321,23585.300000000003
48,000798,36667.87
49,000663,36975.81999999999
50,600975,18956.07
51,002458,-1720.289999999999
52,002688,-10180.27
53,002100,13642.830000000002
54,000735,33658.56999999999
55,600965,17874.879999999997
56,603363,
57,300511,
58,002505,3108.75
59,002772,
60,300143,-2166.7700000000004
61,600189,-8569.68
62,200992,3829.670000000002
