,¹ÉÆ±´úÂë,2009
0,000998,0.45401878617272734
1,600265,0.4567852993084667
2,002556,0.8359836574901097
3,002385,0.5182577279060067
4,000713,0.5900740469518105
5,002714,0.40485326525094034
6,002891,
7,600371,0.5400764820525332
8,600598,0.5148994288427922
9,000860,0.5603601106663109
10,600354,0.6568055870890894
11,600506,0.17353324307720314
12,601952,
13,600313,0.22956924772811238
14,603668,
15,603336,
16,300189,0.280506691804593
17,600108,0.3665446090646495
18,002746,0.6486076931151995
19,002041,0.38790219398571835
20,002157,0.4253068408971906
21,601118,0.3554842010570318
22,002311,0.25913986640463205
23,300498,0.4125333860979427
24,002299,0.20558152772135396
25,002696,0.4396520452532122
26,002124,0.3127582567221191
27,600359,0.4547682394521125
28,002086,0.2791637778331475
29,002240,0.17061317382115013
30,600076,0.626212509034698
31,300094,0.3952078893810247
32,300106,0.2676085696419036
33,002200,0.4178006671710172
34,600275,0.920892513823021
35,000592,0.2803985800550585
36,300087,0.5456723431177085
37,002069,0.3778934214443879
38,002234,0.42666910455100354
39,300313,0.08958369420867254
40,600540,0.5463143318919276
41,600467,0.21332561635567693
42,600257,0.4684514975752478
43,002679,0.21340227373933826
44,300262,0.6492941821990922
45,300761,
46,600097,0.2840962594104928
47,002321,0.4324924508155284
48,000798,0.07378307165276908
49,000663,0.26721822595944167
50,600975,0.3601375796683418
51,002458,0.2871875008597423
52,002688,0.6574196994318032
53,002100,0.5217756011064952
54,000735,0.2148965083553974
55,600965,0.16534493647622037
56,603363,
57,300511,
58,002505,0.31565683476446754
59,002772,
60,300143,0.2941796553475616
61,600189,0.33583337660190266
62,200992,0.264231808286468
