,¹ÉÆ±´úÂë,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
0,000998,814348.76,443872.63,384229.76,164647.73,205481.26,156405.11,155837.61,141195.88,149846.33,117219.09
1,600265,10152.28,13543.18,10422.38,30921.93,42834.84,40996.21,48518.88,43618.88,41493.65,34811.82
2,002556,495847.69,563829.27,519367.1,445108.49,355975.61,371979.88,335159.37,393585.83,350474.91,245802.62
3,002385,569176.64,643740.27,678028.62,459500.12,392595.77,361415.29,278742.31,130594.77,105167.98,80372.16
4,000713,79596.18,76440.13,79178.84,65001.78,46783.44,51712.83,66452.62,60524.06,67317.59,74527.16
5,002714,1816913.39,1358765.55,832301.42,519395.07,288841.49,164981.67,136320.63,65945.51,54955.59,41032.06
6,002891,57527.13,52901.2,22727.61,20429.54,16921.82,16070.2,11768.51,,,
7,600371,24259.06,26241.89,22748.93,27353.72,24151.57,38075.19,61590.48,57477.03,58296.93,38537.42
8,600598,129689.07,154417.28,169467.39,199471.72,168710.2,256771.58,853218.69,1012341.36,1178527.9,1120759.57
9,000860,1203782.77,875581.11,817351.08,770865.56,666774.5,811304.48,921400.96,758983.58,714388.34,625336.16
10,600354,128067.59,115012.17,141364.91,126613.47,150164.62,240367.63,245301.58,280123.22,207449.98,223771.88
11,600506,804.3,654.63,671.59,442.18,1128.05,516.0,424.41,3559.85,2830.47,3829.53
12,601952,155361.21,107905.0,112223.31,125067.78,145935.23,174747.4,165926.62,176070.72,,
13,600313,81099.42,85233.24,126969.65,141515.2,104074.22,44906.2,40806.08,46113.61,15516.14,6163.82
14,603668,128295.24,95177.11,81578.4,45714.38,43565.03,29009.84,22597.49,28985.08,20478.64,
15,603336,20266.71,15817.7,1719.17,3605.67,19906.62,18005.64,16465.07,9330.39,11179.03,
16,300189,6857.38,8086.85,35837.4,105485.0,14380.88,16643.33,17004.92,13048.1,4708.77,8995.97
