,¹ÉÆ±´úÂë,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
0,000998,312954.07,357971.74,319001.93,229941.02,202582.47,181542.49,188471.63,170530.98,155226.92,128039.66
1,600265,20324.53,11886.67,6597.36,7071.83,8784.72,9592.73,25023.85,12093.12,29787.01,25191.7
2,002556,1862608.33,1682714.08,1432925.15,884766.88,981779.1,943572.39,1010930.98,1120885.87,848086.32,555190.32
3,002385,1657790.18,1930206.67,1874173.86,1684093.71,1609808.52,1844491.6,1666112.4,1063957.01,783599.98,524838.48
4,000713,240395.59,192714.55,144671.4,121769.31,111265.56,137880.0,169393.49,184320.3,161974.51,150444.82
5,002714,2022133.25,1338815.77,1004241.59,560590.7,300347.47,260476.34,204440.28,149083.64,113426.95,44451.77
6,002891,171623.86,141225.83,101535.17,79094.64,64822.0,49112.78,50653.12,,,
7,600371,27537.77,26389.08,25777.39,31850.24,37171.59,43819.93,41301.51,66061.87,56214.66,58721.6
8,600598,311130.61,326477.88,299241.46,309477.86,365377.47,510908.75,938855.6,1357556.17,1330471.53,922768.74
9,000860,1490014.1,1207437.32,1173384.32,1119722.91,963742.34,948066.41,907235.54,834195.47,758020.65,626840.11
10,600354,118371.26,76746.91,48517.85,65513.76,130402.67,125586.05,187481.18,197443.68,181677.82,158935.65
11,600506,2202.94,4255.56,6531.85,6503.2,5386.58,11180.97,11510.79,6075.31,13835.33,6138.65
12,601952,802781.98,488360.48,431551.76,408420.67,417835.21,350825.57,346104.3,307927.71,,
13,600313,513572.52,344639.53,386669.51,441450.11,377297.79,305035.96,252914.88,278378.29,125438.58,52534.88
14,603668,242838.38,150618.11,113635.01,84366.34,80860.48,69939.55,55062.67,65006.79,44825.28,
15,603336,85195.81,76335.38,68428.84,67630.97,63175.31,51810.74,46188.17,48303.31,38613.15,
16,300189,11245.84,17189.54,45143.83,115941.46,33274.54,35566.0,45436.58,43151.84,42760.31,39503.2
17,600108,273151.27,250750.96,206634.17,206897.51,219111.76,224484.88,233683.72,224605.74,147021.52,141053.4
18,002746,353338.71,257779.77,216400.0,209501.88,175578.8,173468.94,177307.2,200712.14,,159366.44
19,002041,82317.7,76106.57,80382.1,160263.07,153077.33,148008.15,150537.51,117080.67,115298.88,93780.35
20,002157,2451777.05,2211298.39,2061492.23,1892014.48,1641626.72,1648354.78,1558249.36,1362673.58,1069009.31,742727.13
21,601118,1380289.02,675452.29,1081832.27,887650.68,840012.15,1119867.17,1169473.29,1167413.48,1052827.85,632554.82
22,002311,4761258.75,4215662.88,3255663.41,2718531.0,2556740.25,2109041.13,1793041.25,1545145.39,1197572.19,769769.23
23,300498,7312041.26,5723599.7,5565716.01,5935523.72,4823736.98,3804022.69,3518705.75,3351108.88,3099564.55,2182307.15
24,002299,1455843.68,1154722.87,1015879.49,834042.05,693982.53,643605.99,470822.77,409930.01,311134.75,206951.69
25,002696,284413.37,313358.39,239412.88,206852.51,186373.95,178081.51,134962.59,117078.38,101289.77,77017.5
26,002124,600688.34,451895.06,306106.06,237046.23,214129.37,260334.97,207840.19,204204.05,173644.65,110643.69
27,600359,55080.31,62656.27,108470.14,156219.29,63126.86,66772.97,86809.48,98041.09,162990.59,193209.5
28,002086,58557.58,72503.43,77940.73,70671.09,67460.64,60450.48,61551.03,67637.77,75247.23,62389.07
29,002240,227879.22,252370.2,201827.83,140156.52,143984.6,171545.25,177803.16,174400.4,189690.03,153557.89
30,600076,201262.85,228951.31,181810.6,130751.44,103084.71,1725.3,1366.75,668.6,829.88,973.88
31,300094,463716.52,473777.87,409580.67,262136.69,207046.99,212936.22,221382.74,145279.91,131591.23,122286.24
32,300106,64901.12,67781.18,69255.72,66458.48,59990.2,77137.98,45146.03,48103.89,31469.98,29463.36
33,002200,68222.51,75963.82,66826.63,100974.28,84326.74,73086.39,44466.85,34365.13,24810.8,35905.95
34,600275,3893.31,3789.05,1446.81,1788.98,1126.64,1191.24,1174.1,1310.16,1353.76,20253.7
35,000592,96639.72,93542.86,84838.77,78623.06,96318.17,86475.41,85786.05,72728.51,68860.96,49897.05
36,300087,115366.16,91031.54,94746.59,75721.82,60744.8,46902.28,46606.67,40674.85,27908.93,18024.9
37,002069,272886.92,279799.74,320584.6,305210.19,272678.02,266221.15,262085.78,260828.41,293741.07,225904.67
38,002234,327605.2,181771.14,106750.24,140870.29,90079.97,118641.74,99631.38,119114.94,134520.02,100311.89
39,300313,22900.57,10522.6,19530.57,37520.71,24686.79,12194.3,8265.66,8200.35,7548.49,5251.85
40,600540,138022.88,128351.08,110260.28,105026.32,119242.07,110326.5,136101.4,266452.14,182690.55,188626.88
41,600467,122612.31,114983.11,120791.18,105982.71,98696.74,88125.46,96933.18,102868.19,88086.63,77411.07
42,600257,111249.0,107008.79,99657.06,92619.37,80892.47,67646.62,62397.09,57531.7,52143.37,44780.97
43,002679,12855.22,16849.29,17489.81,13762.87,19878.67,19020.64,17426.37,15551.28,12760.2,11043.42
44,300262,95897.08,110427.22,91015.52,103022.12,67926.74,35071.77,45094.55,36153.16,15965.61,20652.5
45,300761,887046.66,721432.91,593183.61,519511.7,440906.06,407366.58,304411.14,289543.7,,
46,600097,221209.49,190997.62,178745.75,114873.09,67504.79,83101.09,81556.01,81981.89,73463.7,58120.41
47,002321,551768.61,534882.86,412192.59,251470.85,185749.95,184310.28,175636.92,180941.71,168587.87,130332.02
48,000798,57866.9,62621.29,74814.47,53445.97,52152.33,37875.64,29613.1,50383.65,35155.87,36448.07
49,000663,70215.31,75483.21,124003.41,155398.41,89166.13,46000.62,45893.19,45689.83,38274.41,29692.98
50,600975,213042.53,204103.99,172372.08,169137.43,132603.67,130249.39,113008.76,103794.42,96131.66,87725.13
51,002458,358353.41,147311.9,65640.49,161113.25,60429.03,84192.14,50287.58,60141.93,77037.82,45899.45
52,002688,178236.41,162889.01,145782.64,149568.63,125046.85,83980.58,74107.12,77040.51,72072.65,59021.83
53,002100,747631.64,527303.24,463002.57,444413.81,416728.94,401462.71,372476.02,332731.34,298398.42,236904.6
54,000735,116425.73,112125.48,129814.99,89107.73,72999.89,100581.72,171953.19,85129.58,110410.47,88240.48
55,600965,144684.06,145372.04,136055.89,137099.59,134381.24,110024.3,102667.31,96942.36,52144.96,50541.83
56,603363,578808.01,576189.19,490266.01,497847.06,401270.91,418444.27,295380.95,,,
57,300511,196457.47,184662.57,133028.39,99867.7,101900.1,88837.54,77302.54,48335.71,30235.46,
58,002505,1348818.1,1339482.05,1237798.98,622316.36,386738.09,58460.01,99649.68,70533.39,48468.75,38279.24
59,002772,115583.25,92643.21,73979.28,58501.85,47952.02,38349.73,26394.06,19040.17,13131.5,
60,300143,57293.64,50402.44,32922.96,43245.41,28013.72,30784.25,25483.75,24782.82,20756.94,16793.15
61,600189,160187.59,154647.34,102607.07,38403.08,134798.44,141750.18,133943.17,128085.48,154274.72,141067.23
62,200992,112895.19,102334.81,92411.68,84587.75,72372.3,59838.07,55424.67,43660.47,47233.29,48013.14
