,¹ÉÆ±´úÂë,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
0,000998,12476.85,9882.98,7010.02,6675.95,5376.82,5260.07,4584.64,2725.66,2150.13,1205.82
1,600265,393.05,972.84,1013.4,1101.29,1318.83,1308.44,1341.14,1585.96,1450.43,1557.12
2,002556,9515.11,4570.95,4592.4,4231.4,4115.54,2841.48,2432.94,2058.45,1553.19,1207.63
3,002385,44363.15,42665.4,35178.68,34949.87,33787.09,24493.48,15634.01,10174.85,6836.69,4692.65
4,000713,3732.3,3648.84,2684.85,2492.53,2581.14,3523.8,3360.64,3446.37,3032.18,3000.45
5,002714,166696.53,127155.5,88016.14,46094.82,22102.08,14808.07,15397.32,9674.88,6318.16,3851.24
6,002891,4560.32,2592.13,2042.8,1824.05,1527.85,1074.02,,,,
7,600371,1443.98,1347.6,1414.17,1497.29,1568.93,1851.87,1851.61,1654.54,1347.76,1228.95
8,600598,20565.12,22241.56,23403.67,28686.4,30141.39,32423.9,38700.59,39719.31,35200.47,31330.29
9,000860,22492.29,21657.07,20807.17,17292.87,17524.2,16424.45,14498.74,12555.66,10518.31,12297.08
10,600354,6278.84,4923.55,5304.28,6619.25,7743.03,8016.77,8033.04,7154.26,6070.09,4618.73
11,600506,617.63,553.84,570.19,585.36,697.92,739.9,710.45,754.41,952.66,992.09
12,601952,19933.4,17565.79,16132.72,15097.03,13909.85,12741.81,,,,
13,600313,6468.04,6579.56,7222.01,6393.01,3171.76,1396.5,1002.74,550.59,338.27,223.15
14,603668,4195.92,2434.74,1776.97,1292.02,1146.53,859.25,657.79,489.32,412.02,
15,603336,894.26,813.95,849.61,937.91,977.21,963.25,809.34,662.09,286.85,
16,300189,1128.93,1482.66,1870.05,1779.94,1704.35,1261.81,832.43,483.82,292.63,260.8
17,600108,10628.75,10685.74,10890.05,11344.68,11803.73,9363.51,6297.92,5335.74,4956.58,7470.86
18,002746,19340.59,16338.1,15441.32,12586.23,11487.93,9361.03,7785.9,8199.71,,
19,002041,6832.67,6942.82,6610.28,6556.63,6424.52,6133.6,5797.49,4253.9,3502.19,3229.03
20,002157,91867.19,83569.2,59016.8,47202.24,37735.67,28787.95,21166.99,13018.82,11291.92,8087.25
21,601118,27556.26,27362.4,24379.85,23535.5,24315.56,23959.09,21560.96,21149.74,22015.41,20201.91
22,002311,54989.44,43720.31,35297.6,36714.77,33306.8,30292.55,24971.17,18916.41,10768.8,6652.3
23,300498,279430.33,215009.9,190720.93,160993.8,144701.51,116247.9,156169.82,143274.44,178008.43,65081.97
24,002299,86229.7,83228.83,80479.24,67654.23,62924.38,48707.35,37797.95,30652.52,18801.64,13486.02
25,002696,9839.54,8512.04,7244.07,5509.27,4435.2,3300.82,2112.52,1765.02,1482.7,1154.59
26,002124,29053.45,29480.3,17729.86,10453.69,8783.36,8027.01,4002.46,3782.44,3250.54,3113.54
27,600359,5410.78,4910.97,4488.38,8929.27,5539.79,5110.69,4827.65,5705.99,8073.02,7200.04
28,002086,9908.44,8811.23,8522.58,7966.22,7505.69,7456.73,6839.6,5855.9,5129.98,4648.06
29,002240,14702.79,13555.21,11797.66,13112.55,14147.17,14331.04,14693.1,14829.2,14390.65,13151.21
30,600076,7953.02,7017.76,6494.2,6406.33,3431.92,56.29,55.09,74.31,123.91,499.92
31,300094,4824.72,4010.14,3534.52,3397.28,3323.92,3332.18,4790.21,2973.4,2338.87,2052.41
32,300106,4427.23,7442.32,8493.99,7776.46,5951.62,5734.68,5484.06,4514.25,2393.57,1727.87
33,002200,772.97,875.76,944.28,960.65,1191.37,1118.14,1009.32,985.53,1026.58,1272.24
34,600275,76.62,64.26,186.55,207.03,205.84,194.47,221.83,469.09,593.95,664.44
35,000592,4523.26,3909.31,4583.48,3458.07,3536.13,3661.64,3445.36,3419.43,3605.34,2174.48
36,300087,2190.88,2350.87,2034.44,1834.83,1900.31,1192.17,636.77,482.57,333.23,164.42
37,002069,8575.86,9483.88,9841.77,11570.5,12729.58,11714.11,9003.71,8444.41,6889.81,5821.32
38,002234,11972.23,11564.38,10259.33,8880.53,7611.46,6436.97,6170.67,5447.04,4953.48,4006.15
39,300313,1892.07,2001.09,2051.92,2519.75,1759.22,1297.53,1104.15,854.54,685.29,654.55
40,600540,3963.13,6165.38,6184.03,6212.37,6659.41,6714.37,5474.93,5514.35,5447.87,5468.25
41,600467,20637.58,19734.83,16638.65,16611.45,14362.9,13874.78,10595.88,8499.77,7121.9,6458.72
42,600257,2042.98,1699.36,1645.98,1744.53,1539.3,1434.49,1393.19,1366.04,1139.43,1218.29
43,002679,214.57,289.06,267.66,338.58,434.98,332.42,225.23,164.4,104.17,125.38
44,300262,1925.82,1424.4,930.02,502.85,466.11,461.03,321.78,180.22,99.1,55.65
45,300761,23968.21,17402.94,15442.7,13595.72,11802.18,,,,,
46,600097,10609.54,9312.62,10835.59,10125.25,10802.45,10262.86,11356.44,9918.86,9544.02,9704.85
47,002321,24402.57,24340.5,19280.24,20090.83,27713.62,20533.26,19667.53,16895.03,14576.0,11138.31
48,000798,3713.45,4065.95,4427.19,2908.75,2914.12,2315.04,2225.04,2042.94,1991.76,1841.05
49,000663,6050.2,6044.84,4217.93,4444.89,3619.41,3255.79,3336.58,3314.8,2998.59,3299.33
50,600975,6614.84,6381.92,5903.6,5610.63,4797.12,4241.24,3176.04,2885.82,2677.24,2723.67
51,002458,10092.87,9073.56,8457.58,7709.71,7759.18,7167.12,6099.8,4688.84,3470.75,15294.46
52,002688,8603.68,7429.53,6223.68,5125.2,5150.37,4092.42,3620.92,3778.52,3767.26,3407.0
53,002100,30228.61,20231.77,17456.32,16926.51,15559.8,9660.67,8542.9,5982.38,5412.74,4378.91
54,000735,15553.85,13306.66,11232.14,9799.51,8014.61,7496.38,7312.32,7556.32,7528.46,7511.53
55,600965,4206.11,4209.84,4162.18,4548.98,4789.46,3615.72,3604.11,2156.45,1925.97,1958.25
56,603363,14847.74,9969.91,6867.49,4899.91,3209.87,1599.61,,,,
57,300511,27797.29,25219.11,18943.52,11751.71,12637.7,10709.94,10027.57,,,
58,002505,12540.24,12019.36,5995.07,7239.15,5106.71,4666.18,4188.91,3074.8,1800.13,1034.31
59,002772,18401.01,13746.08,8627.7,6296.63,5183.83,4054.61,3231.97,2058.72,,
60,300143,2431.74,2085.92,1144.67,3894.66,3763.22,5413.09,4626.72,3017.33,2249.82,1622.61
61,600189,6792.27,6990.36,6332.5,3413.72,11591.56,11150.07,9544.8,9439.16,10111.96,10040.03
62,200992,4870.5,4330.38,3602.85,3461.04,3384.08,2671.38,2698.24,2238.46,2561.82,2276.02
