,¹ÉÆ±´úÂë,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
0,000998,58252.78,48326.23,43503.79,35870.62,17806.63,20353.97,19879.72,13643.95,10515.97,8457.95
1,600265,8.76,14.61,27.01,4171.08,31.77,916.71,1850.27,2129.26,1253.94,1523.61
2,002556,24002.74,16650.97,16398.56,14292.08,17119.51,17672.21,21354.98,19734.49,12679.47,7227.87
3,002385,67821.93,79557.44,39549.92,33704.13,29777.58,25177.41,16845.26,13869.77,11241.91,9534.83
4,000713,1772.44,1547.41,230.88,1061.03,1724.05,2655.15,3199.35,2850.77,2790.64,1557.48
5,002714,88377.69,147417.3,109560.52,34196.88,14492.74,16347.74,17186.07,9209.24,8797.28,3531.15
6,002891,3310.62,2219.46,3252.58,1891.59,543.46,2080.24,746.48,,,
7,600371,5381.2,4501.2,2025.54,585.02,794.44,1783.98,5055.43,6525.31,4403.84,4164.85
8,600598,71077.0,47991.03,60441.12,52441.56,69806.87,3116.04,33547.76,74424.36,61551.13,46396.5
9,000860,41559.86,41107.02,40916.75,44650.04,46375.39,59157.22,53008.51,56541.87,44402.66,27441.62
10,600354,14313.05,26233.7,6033.47,6156.05,13961.18,21415.91,15964.43,11923.64,8526.39,6174.16
11,600506,,,,,,,42.0,70.3,161.23,200.96
12,601952,29867.4,22679.7,21128.68,21903.44,22800.16,15926.36,4601.69,19224.65,,
13,600313,3054.17,3389.9,6076.69,5843.21,8604.12,2292.57,2034.35,1214.48,23.2,
14,603668,5132.68,3894.56,2760.5,2470.52,2475.87,2715.62,1182.54,1754.48,507.18,
15,603336,2612.55,2856.08,2672.23,727.7,859.5,836.85,575.41,417.96,99.32,
16,300189,0.24,444.16,2689.73,2889.57,386.5,1593.26,1717.58,1737.4,61.35,214.07
17,600108,17087.22,15972.43,13742.44,12716.4,14350.69,9872.34,10436.34,5843.29,2655.94,4689.6
18,002746,16407.52,7478.72,3845.79,1872.51,924.03,1976.59,1438.19,1724.58,,449.93
19,002041,8818.79,48739.38,6047.38,5431.38,22365.21,22927.06,9785.75,3581.35,3571.51,3520.0
20,002157,65100.72,56862.2,36304.66,30653.48,21978.89,27662.84,17526.26,14950.37,10744.76,5878.52
21,601118,22295.98,16404.24,17335.58,15913.4,13990.03,17215.38,23930.42,34756.56,40524.6,23589.04
22,002311,74098.56,61442.92,59177.83,47835.12,35449.63,37603.46,25470.55,17796.57,8596.16,6255.23
23,300498,488359.48,267970.06,485113.24,438223.72,107273.66,88361.33,175886.35,114660.91,81180.44,51627.16
24,002299,140525.92,21911.71,78640.76,23057.53,30568.84,25607.77,16313.74,38793.52,15884.21,11159.65
25,002696,9224.07,11667.42,7350.73,4132.31,5655.83,4101.18,4234.74,1339.41,2154.2,860.21
26,002124,8397.0,13931.53,11426.84,8063.19,7858.18,6711.58,5503.29,4861.11,4340.62,4283.99
27,600359,3798.16,5041.06,5019.22,5571.3,4478.7,4380.5,4728.58,8931.14,9363.06,11988.2
28,002086,5341.18,4364.73,3614.65,7464.86,8187.4,6667.03,5490.62,10821.25,3445.85,2710.41
29,002240,3965.84,5016.6,3342.46,3106.6,3788.75,4645.49,6482.02,7838.65,8264.42,5839.47
30,600076,6320.51,6334.65,3168.03,3356.53,6670.28,,95.11,94.58,101.34,106.69
31,300094,16359.41,10897.62,6281.79,4472.34,3885.88,3508.57,3178.5,2562.18,1262.11,1406.58
32,300106,845.65,3858.36,4349.42,3435.28,6213.34,3347.79,2223.07,1699.31,523.65,599.49
33,002200,18925.7,14721.4,9675.48,7389.37,5701.89,4468.38,3033.38,1356.45,1573.16,1399.46
34,600275,,848.66,1280.0,1519.52,786.43,,,,,3.0
35,000592,1499.18,2404.42,2176.54,705.88,4209.55,1914.38,3412.17,3394.28,3798.45,3188.68
36,300087,3469.74,5340.72,6183.03,338.4,716.24,2356.08,488.66,2595.64,1607.63,54.87
37,002069,13969.97,13813.77,14348.41,16417.86,19594.81,29504.24,37039.23,40965.57,30611.29,16669.61
38,002234,4246.83,7078.47,5601.68,4668.55,4566.25,5499.47,3793.28,18048.86,3512.63,2179.39
39,300313,1402.96,2136.81,2066.74,2085.64,1502.6,754.98,236.81,782.32,1169.75,73.12
40,600540,3704.91,3056.48,3679.63,4711.35,4171.38,6885.97,7397.07,8796.17,7063.07,3911.99
41,600467,13556.06,14434.22,11553.88,11219.49,9350.7,9835.03,12481.72,7769.59,2997.09,5864.18
42,600257,1070.36,877.04,1379.57,2346.82,3136.01,2869.61,3367.7,2941.16,2852.39,2603.72
43,002679,9064.28,7732.81,5564.97,5947.29,6376.4,5706.07,4351.27,834.61,808.86,764.68
44,300262,14782.7,8686.14,3370.86,4161.5,3015.6,2767.15,2162.24,265.54,104.08,147.62
45,300761,48888.47,403.63,5261.71,9956.63,7910.85,3500.32,2694.58,1724.28,,
46,600097,5769.11,3736.42,1626.34,1573.94,4346.61,5453.57,5612.88,3958.21,3657.33,4385.88
47,002321,17481.1,25727.02,12117.86,9265.18,10219.44,9206.04,7266.57,6764.86,7172.12,4773.22
48,000798,504.95,198.01,435.25,163.01,1708.85,1757.0,1974.81,1725.55,1818.92,958.37
49,000663,6949.71,6545.64,6981.64,5705.49,5843.53,5407.42,5869.8,7356.91,6313.46,4905.53
50,600975,680.2,7358.34,7848.75,3134.26,2074.64,2527.29,2669.06,802.25,426.26,3437.45
51,002458,24715.73,2728.15,1444.26,2166.77,5051.18,4279.58,2792.17,15658.28,4343.11,1399.11
52,002688,23197.22,7498.63,14170.01,9876.78,4041.91,3190.36,5647.21,1456.35,1627.43,1567.57
53,002100,26293.2,15184.57,12687.23,13921.36,8620.95,7766.46,3669.91,8813.7,6915.56,4729.84
54,000735,5857.13,2813.21,6830.78,4714.68,11323.24,11611.11,9856.3,7838.86,5450.56,2327.03
55,600965,13092.36,6694.11,7587.59,6873.05,4396.58,3384.52,1529.6,1416.49,888.51,987.07
56,603363,8657.32,7661.71,3224.46,1777.99,4278.86,1185.94,420.06,,,
57,300511,13438.67,11162.81,7597.99,7300.58,6738.1,7689.87,5299.13,3350.06,2415.88,
58,002505,43191.6,37982.94,34367.49,20988.98,3933.18,3345.75,2949.13,1865.42,756.61,1083.4
59,002772,7803.81,4978.57,5467.14,3140.37,3556.58,2529.28,1627.3,2343.6,2376.73,
60,300143,3638.18,2743.47,1000.0,1791.52,1766.84,2016.43,1545.24,3149.17,63.19,489.52
61,600189,12349.58,13270.67,13740.41,16044.77,19334.67,16765.9,13157.39,15157.82,9153.83,5727.46
62,200992,405.04,521.86,791.17,388.39,486.48,321.91,404.66,237.44,204.88,266.56
