,¹ÉÆ±´úÂë,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
0,000998,300920.8,291034.97,219608.23,152074.06,129782.11,120154.71,134341.97,139627.98,101616.26,76073.59
1,600265,20473.12,17950.86,19755.74,19125.94,20546.79,22062.53,20255.56,27333.21,31084.01,35612.72
2,002556,197582.45,214211.13,189306.84,149798.37,112640.05,102935.38,126215.92,182165.68,191669.92,97422.42
3,002385,229797.77,229770.29,272180.69,204575.76,166316.33,191746.77,194209.71,118301.81,96146.85,81782.96
4,000713,79820.73,75128.64,77740.74,68007.69,51781.81,50131.61,59577.36,68767.35,66906.82,54544.01
5,002714,716617.62,581272.82,418989.26,261804.78,115600.08,103537.73,102141.61,50611.73,42799.33,19350.27
6,002891,29460.27,27393.65,20227.22,15943.21,12699.24,9163.48,9316.35,,,
7,600371,15800.1,14152.06,14381.1,16593.32,21003.1,34543.99,52641.92,56688.67,50663.22,29107.84
8,600598,21776.54,24654.34,78630.07,85903.48,110034.68,135207.16,383198.29,482975.62,581550.69,648497.77
9,000860,815981.95,821305.39,781706.49,779886.97,755342.55,738351.77,683761.86,540487.41,425774.45,248885.53
10,600354,36204.19,45923.13,58013.64,59882.99,55638.41,81323.91,94632.77,117541.07,117598.73,76896.28
11,600506,781.08,812.76,2465.83,3577.45,2198.01,4265.47,4710.3,2835.07,1395.43,484.6
12,601952,252557.36,203108.46,177630.71,167624.73,180117.79,170177.62,140559.74,128204.17,,
13,600313,41019.08,43402.37,37213.28,35324.03,39553.5,32960.21,21826.42,17272.22,5503.96,368.79
14,603668,75338.76,38643.61,37664.6,17884.87,14133.22,11606.89,14624.34,16603.96,10284.24,
15,603336,32016.43,31555.78,23516.7,20372.72,17008.66,16971.39,9006.95,7707.85,8218.9,
16,300189,4526.18,10240.69,22872.17,23303.3,29059.96,37013.67,41497.02,33503.39,18129.64,14847.15
17,600108,111916.43,85774.97,87298.28,77438.63,83526.05,85413.0,66733.61,47643.52,42121.14,32019.29
18,002746,35756.03,35588.29,27381.68,26586.16,27153.79,30720.3,25238.95,25274.16,,23397.79
19,002041,60849.63,79090.01,90904.59,69743.49,56077.76,68406.46,69496.62,63188.85,39471.45,25339.68
20,002157,513766.96,423357.22,332885.03,207549.91,150544.47,145719.05,132304.43,105002.38,80883.81,71461.12
21,601118,142820.49,139420.86,174366.22,177469.7,187876.84,141968.23,223052.86,211405.36,177893.32,140716.87
22,002311,446331.9,484378.01,338384.83,205736.03,163455.03,196024.93,141876.67,129081.98,78715.06,56046.7
23,300498,1248638.85,1288876.93,1132845.65,1054750.88,889480.66,808703.3,763606.72,657961.05,519050.25,424147.2
24,002299,187899.59,183470.96,177731.5,149147.65,144664.29,136837.17,96816.09,72591.75,61968.48,34569.59
25,002696,35345.4,25387.06,27302.79,30872.88,27263.03,19357.17,9847.97,8645.27,8804.76,8853.99
26,002124,105364.99,149071.97,99753.88,48825.42,34683.01,42097.84,37991.42,25264.38,22473.76,17979.84
27,600359,31266.67,32272.31,28134.84,50416.87,45510.88,50113.68,45026.87,53306.58,81298.0,105348.9
28,002086,43110.56,96449.17,106536.95,98352.99,94703.75,92892.41,80059.11,66256.0,56605.21,41515.96
29,002240,105020.31,101119.45,56665.46,50210.52,51319.4,59992.09,60452.27,51672.23,64945.71,73442.91
30,600076,266391.69,217186.28,175097.98,125993.83,93222.88,67452.17,41949.26,31098.92,25463.68,309.69
31,300094,225247.24,245699.97,203481.3,135049.78,108663.95,119133.52,98952.32,76114.28,71443.22,56379.2
32,300106,11586.65,15966.32,52992.68,61572.62,56543.3,55954.22,38255.99,28549.82,20651.89,12896.38
33,002200,124605.02,130842.83,130681.43,136715.39,152730.38,118820.44,81646.57,54722.23,29205.27,21033.74
34,600275,123.24,219.73,,352.32,377.95,248.95,103.22,56.19,253159.46,251722.5
35,000592,226511.18,209832.59,141604.87,144784.33,124749.31,109009.67,91684.65,66672.46,73594.44,64671.68
36,300087,73395.43,66197.71,49100.18,42144.31,35142.3,36634.89,37915.36,39403.34,31396.32,12184.0
37,002069,70475.27,113885.86,120917.08,175135.43,154340.1,170675.56,268435.22,244949.12,235786.43,171558.74
38,002234,35625.22,36545.9,27345.48,24629.83,17834.66,23694.57,19830.45,21646.96,21354.95,15876.8
39,300313,6832.77,6632.82,5239.24,8570.17,20616.14,8508.89,6415.21,4465.44,2678.99,2250.2
40,600540,36315.05,64023.99,62178.23,31864.16,24728.25,39802.37,39189.53,35575.24,107518.85,130113.86
41,600467,109523.44,98238.79,82390.38,76742.09,85891.46,101742.13,130781.05,112693.23,92701.94,56696.75
42,600257,49278.47,54864.9,50585.5,49384.22,46250.51,47909.48,44171.46,41607.45,33887.68,27252.32
43,002679,130766.32,130850.18,119036.56,113454.78,96349.66,85498.26,81008.47,29258.8,19695.53,19287.32
44,300262,66371.75,59164.85,60203.11,34672.4,7268.37,577.49,705.8,33384.25,3188.14,3031.56
45,300761,111661.33,106031.46,91672.37,81448.19,62436.85,61761.05,61781.12,52041.82,,
46,600097,45117.26,36991.47,31882.13,32304.65,21751.02,16206.21,14751.1,12543.6,11147.69,15888.25
47,002321,102634.36,113372.3,104195.96,62149.85,51057.88,52480.41,49467.75,44322.52,43088.52,31859.77
48,000798,21156.71,17338.91,19192.81,15140.24,15207.86,13924.09,14181.3,27802.0,27235.94,15884.72
49,000663,86392.95,80183.82,74718.99,83487.6,105260.53,65639.75,64695.97,61532.56,59673.55,55687.24
50,600975,54139.26,46439.36,39137.04,48177.68,33791.14,33423.97,34809.31,28500.56,21779.0,16978.8
51,002458,16174.15,12551.91,12639.27,12016.77,9865.02,10383.54,8991.4,6080.33,5843.8,4207.45
52,002688,42961.08,36604.93,33679.38,30034.08,31038.93,30069.74,12524.64,11567.91,10701.65,11342.64
