,¹ÉÆ±´úÂë,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
0,000998,33624.13,60474.31,40211.67,35890.97,31033.92,28836.26,23880.64,33597.72,21932.91,6936.99
1,600265,69.19,177.64,96.99,130.36,115.21,112.37,77.56,274.25,575.66,189.33
2,002556,11976.59,8656.92,7245.29,10904.63,9373.37,17911.44,18544.0,15031.66,5921.93,6045.26
3,002385,86487.42,98697.52,106577.48,89065.58,114844.84,98456.86,144290.14,90947.48,44840.31,29707.63
4,000713,12003.61,15674.01,11309.9,8949.25,5186.36,6997.77,5157.76,5969.36,8192.01,8523.79
5,002714,1312060.03,504729.91,627636.12,436188.9,179905.19,73480.36,65703.96,58444.42,40521.9,22231.01
6,002891,15200.24,25108.76,13720.48,4686.32,3526.87,9766.34,876.89,,,
7,600371,1438.65,193.9,507.52,317.32,293.24,107.33,2580.03,6984.28,4387.33,5178.47
8,600598,23791.32,26756.06,38204.87,23518.71,21647.29,19923.79,21447.29,45839.54,44057.43,63757.07
9,000860,12895.74,24680.19,20829.34,38027.76,10788.49,45108.44,65655.87,54621.62,48660.53,120216.58
10,600354,9938.11,2840.61,4131.22,3631.08,3200.9,7728.2,7689.86,18236.57,20433.1,23734.15
11,600506,180.88,85.7,2803.13,42.21,92.59,4395.53,29.03,129.59,113.43,130.76
12,601952,25040.09,20501.72,25918.07,21574.38,20712.89,23897.12,19874.82,28582.36,,
13,600313,4869.96,6705.28,12734.31,10704.39,11123.5,6411.53,2817.67,1519.7,329.55,104.52
14,603668,18072.16,9130.79,11789.24,4139.27,12904.54,5380.34,2433.96,3778.12,1231.46,
15,603336,10780.16,6271.39,1671.53,430.75,1407.05,723.13,2750.9,2991.94,7232.19,
16,300189,114.21,790.7,4509.16,10677.4,13615.0,8500.48,30032.36,11488.87,9856.68,1394.56
17,600108,14690.89,8075.65,9793.44,9467.85,8398.27,33096.35,53090.78,45955.2,20061.64,12027.61
18,002746,36187.09,17325.89,20855.44,29092.23,12335.31,6779.66,21224.95,24438.6,,9962.21
19,002041,4985.93,7811.91,13550.48,10290.83,7831.15,9464.98,9284.92,15722.86,8952.31,6150.23
20,002157,571068.08,315497.21,412779.48,210918.73,94096.31,146665.43,122776.43,93661.09,26118.17,29371.32
21,601118,58854.88,50650.73,66135.13,58421.21,68826.45,76596.04,84894.57,50459.69,60850.15,85991.84
22,002311,232481.27,186516.88,121717.77,66871.61,47929.76,53837.77,73960.78,113262.51,87623.5,40110.47
23,300498,1239197.87,940259.84,977667.77,728856.62,452465.34,408332.86,536170.17,492772.31,299862.18,143596.62
24,002299,139454.34,114657.98,127391.79,107425.07,159859.25,199350.77,172153.24,148966.53,128911.7,83835.72
25,002696,14202.03,8294.2,5063.2,9813.91,8832.44,21001.01,18585.81,6815.07,6648.13,6310.62
26,002124,123506.82,170891.48,98692.39,65906.67,9921.75,15431.71,11376.45,7159.74,6151.36,12680.44
27,600359,13610.2,3686.01,8201.82,22398.85,17783.18,3376.36,5953.69,16094.55,36095.96,15799.47
28,002086,3233.44,14313.92,33166.43,15439.97,6479.08,5569.24,11551.15,18490.19,15892.25,16596.71
29,002240,39568.25,32553.92,21388.18,6371.87,1198.18,1224.91,3141.89,4826.35,4407.55,18528.14
30,600076,24011.89,57929.06,41900.02,41403.89,22710.83,4.42,109.95,17.19,9.53,6.69
31,300094,32147.95,40418.73,14123.11,4397.53,1834.74,5490.75,6723.04,20423.19,11628.9,2375.6
32,300106,2870.05,3318.24,12592.44,15456.14,10011.92,11162.03,7021.44,14099.29,6265.93,6088.96
33,002200,1070.23,828.82,516.09,1000.36,4037.28,477.07,942.14,770.98,58.02,429.42
34,600275,321.78,275.72,0.77,97.76,463.21,170.1,72.98,16.94,3.07,117.26
35,000592,3305.72,14673.38,21323.58,9309.19,9562.19,2305.29,3237.49,3992.13,3576.11,13510.45
36,300087,3021.1,2787.63,3363.67,4119.71,8419.37,5423.82,7647.51,9943.14,800.9,864.02
37,002069,2973.7,4845.51,9339.23,6486.06,7312.45,22584.41,39516.29,63456.11,28485.41,28616.04
38,002234,16975.63,17304.35,31895.32,29513.68,20053.48,16619.19,10939.45,15011.9,11485.74,18473.5
39,300313,1341.09,1394.91,1838.98,7647.28,11691.26,9173.17,3995.58,1952.52,2395.65,3561.03
