,¹ÉÆ±´úÂë,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
0,000998,-100272.16000000003,266842.93999999994,191139.55000000005,331542.93999999994,53950.84,79260.94,82204.55000000002,90875.13999999998,52281.21000000002,53003.25
1,600265,18779.489999999998,15349.529999999999,10887.62,-9969.240000000002,-21537.679999999997,-15975.349999999999,-12798.219999999994,-13266.489999999998,-5806.139999999999,9894.849999999999
2,002556,38399.47000000003,55410.40000000002,60332.48999999999,56724.330000000016,59252.32000000001,55449.29999999999,41913.57000000001,77158.04999999999,143747.85000000003,9193.559999999998
3,002385,121360.39000000001,49962.28000000003,233291.08999999997,306688.38,350956.03,211167.11000000004,152090.64,204088.81,230551.53000000003,228868.88999999998
4,000713,77862.53,66465.03,46217.2,56791.94,52938.78,51109.5,61488.51000000001,64628.020000000004,59261.5,59261.139999999985
5,002714,142321.18000000017,-380695.7300000001,41913.94999999995,-147577.94,-37463.42999999999,-13917.380000000005,-12304.01000000001,5610.600000000006,8249.620000000003,81.93000000000029
6,002891,18868.890000000007,10730.160000000003,35122.75,13645.75,8673.170000000002,2341.0999999999985,4864.1,,,
7,600371,31041.91,27800.47,27320.33,19282.15,12010.160000000003,7745.149999999994,245.57999999999447,6456.0,7066.540000000001,3091.810000000005
8,600598,164262.45,150146.25999999998,137579.74,122617.29000000001,96661.71999999997,84836.01000000004,-124082.37,-127641.32999999996,-53894.779999999795,64183.659999999916
9,000860,551896.79,656490.58,566713.12,539129.03,438085.42999999993,257201.67999999993,16214.479999999981,97832.3500000001,5265.290000000037,-129343.39000000001
10,600354,-19604.17,22510.289999999994,57696.130000000005,66111.37,80682.1,20711.97,47210.380000000034,51234.79000000004,86248.88999999998,15730.179999999993
11,600506,13850.470000000001,14062.92,12144.75,11343.289999999999,11158.900000000001,6753.33,11533.87,10123.31,9829.04,990.2800000000002
12,601952,456107.8500000001,438201.98,397365.33,132042.22,107791.37999999998,83614.93,53973.76000000001,18884.98999999999,,
13,600313,103038.08,97432.86,95691.86000000002,123464.97999999998,108352.92000000001,108512.33,88919.55,88996.61,39224.66,41754.26
14,603668,39519.81999999999,61476.37999999999,38311.04000000001,16643.18,10596.720000000001,17247.920000000002,19985.76,9848.330000000002,7519.279999999999,
15,603336,50077.9,56399.28,61538.520000000004,58330.72,23834.63,17766.83,12357.95,12032.52,9103.139999999998,
16,300189,18390.67,40722.61,119120.32,126956.82,129109.85999999999,65657.38,82929.95,110874.2,114349.20999999999,28048.760000000002
17,600108,218674.61999999997,83285.13,146246.39999999997,111874.13000000003,181785.11000000002,180700.49,114059.93,160312.86000000002,26594.180000000008,-21760.180000000008
18,002746,229896.89999999997,150298.15999999997,109481.90999999999,104543.1,6745.299999999996,-2448.8799999999974,1103.3499999999985,7055.029999999999,,7710.720000000001
19,002041,236814.85000000003,244656.88,294658.45,296697.33,251455.77999999997,234857.49,202107.97,152383.72999999998,125734.01000000001,90038.48999999999
20,002157,-549574.8799999999,-278988.86,-140548.06999999995,62505.630000000005,21215.25,-41986.84,-56857.18000000002,-51513.42000000001,25939.399999999994,43801.77000000002
21,601118,107853.31999999995,249354.30000000005,-14683.150000000023,189059.58000000007,231957.33000000002,222812.12,294545.36,347426.47,386685.37000000005,398155.99999999994
22,002311,82908.02000000002,234111.74,87828.66000000003,97695.87999999995,81684.86000000004,157282.43000000002,135843.0,87282.87999999998,166178.53999999998,136520.37
23,300498,1219707.3699999999,851904.5599999998,756944.1500000001,861104.7200000001,633869.2999999999,146691.54999999993,120876.20000000007,387016.33999999997,520838.87,189021.88999999996
24,002299,-25142.119999999995,-196055.14,-318719.5800000001,-241659.24000000002,-262877.27,-304344.13,-213844.07,-15563.100000000006,60832.64,1669.2600000000093
25,002696,8638.25,36193.630000000005,45489.12000000001,15789.029999999999,21729.670000000013,30869.630000000005,44929.259999999995,60889.94,9165.599999999999,10891.77
26,002124,-184077.89,-113501.04999999999,30780.79999999999,-7212.029999999999,4599.559999999998,-41815.2,-29236.570000000007,-7221.369999999995,-6609.489999999998,-1932.3899999999994
27,600359,-35748.67999999999,-2384.5099999999948,28583.690000000002,-45134.56999999999,-41516.04000000001,23209.42,-28401.36,-25563.75,-86075.25,21352.400000000023
28,002086,35280.100000000006,135796.71999999997,105494.56999999999,110873.01,166432.78,28752.17,13966.850000000006,5060.62999999999,5524.760000000009,11551.769999999997
