,name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,000998,2180,2370,3198,3414,3715,3999,7133,7932,13043,15291
1,600265,657,698,593,510,509,426,348,327,321,323
2,002556, ,4431,6283,6928,5600,6379,5869,8071,7908,8908
3,002385,1968,3983,4765,6067,8103,10184,13488,15533,19198,17474
4,000713,1401,1710,1772,1783,1989,1810,1866,2051,2172,2466
5,002714, , , , ,3691,4332,8005,14676,26588,31103
6,002891, , , , , , , ,656,1084,1680
7,600371,783,809,1009,1062,939,756,774,746,815,784
8,600598,14122,19260,19262,17219,10890,9331,8720,9790,10232,10777
9,000860,8647,10681,10520,12991,15026,16022,17755,18342,17932,20403
10,600354,2372,3442,3917,3922,3427,3504,3141,3206,2145,1982
11,600506,349,327,315,307,305,286,289,281,291,297
12,601952, , , , , , , , ,6594,7502
13,600313,619,651,941,1755,2098,2355,3949,4272,3671,3365
14,603668, , , , , , , ,1163,1475,2173
15,603336, , , , , , , ,792,822,954
16,300189, ,1348,1362,1609,1664,1554,2260,3283,2485,1481
17,600108,4822,4395,4431,6167,6576,7537,7570,7880,8064,8727
18,002746, , , , , ,1463,1465,2517,2718,3339
19,002041,1487,1868,2322,2882,3290,3735,4261,4345,3806,3607
20,002157,2391,2990,3376,5237,6368,7537,9441,12462,16828,21350
21,601118, ,11889,10787,11035,12346,12143,13112,14003,14553,14007
22,002311,2944,3895,5105,7268,7852,8640,9017,12073,14957,19207
23,300498, , , , , , ,34343,43055,50277,53090
24,002299,2166,3445,5785,7103,8370,10008,10977,11770,13081,14183
25,002696, , , ,1175,1319,1580,1772,1851,3471,3797
26,002124,854,971,1106,1287,1809,1781,2001,4329,5165,6174
27,600359,3254,3908,3642,2055,1716,2351,2965,2871,2375,2245
28,002086,1712,1938,2138,2408,2607,2920,3625,3843,4075,4173
29,002240,3192,3528,3194,3019,2823,2722,2384,2547,2929,3740
30,600076,310,318,335,418,542,782,3383,3912,5182,6048
31,300094, ,1870,2127,2060,2317,2574,2555,3182,4001,5197
32,300106, ,735,922,1102,1247,1690,2545,2807,2390,1132
33,002200,1098,782,920,1146,1633,2312,2866,3529,3201,3085
34,600275,2985,2811,2874,339,302,368,367,322,311,228
35,000592,1184,1963,1828,1837,1828,2246,3730,4199,4298,4156
36,300087, ,618,895,936,1003,1015,1117,1327,1407,1624
37,002069,2731,4079,4794,4796,5494,4812,4451,4559,3687,3538
38,002234,1016,1140,2006,2041,2282,2103,2041,2214,2296,2896
39,300313, , , ,432,470,660,1059,861,674,1366
40,600540,1796,2367,2761,1973,2493,2944,2780,2348,2172,1575
41,600467,1856,2197,3671,3984,4260,4791,5048,5209,5686,6104
42,600257,1063,1185,1205,1366,1338,1497,1524,1589,1598,1791
43,002679, , , ,956,1363,1508,1640,1639,1648,1650
44,300262, , ,504,866,1081,1252,2107,3731,4545,5856
45,300761, , , , , , , , , ,6821
46,600097,1201,1247,1339,1381,1283,1294,1098,1693,1816,2320
47,002321,1893,2189,2502,2829,3744,4621,5557,6834,8092,8720
48,000798,719,789,881,854,914,1170,830,891,1018,979
49,000663,1420,1582,1537,1412,1357,1338,3986,4356,4068,2834
50,600975,803,655,824,932,1212,1315,1741,1899,1739,1532
51,002458, ,1210,1448,1445,1569,1794,1941,1935,2158,2563
52,002688, , , ,1021,1024,1673,2264,2734,2955,3446
53,002100,1770,2264,2258,2404,2770,3093,3882,4454,6014,9487
54,000735,2525,3243,3629,4515,4261,4170,6200,5871,6481,6250
55,600965,635,602,644,714,1133,1238,2002,2576,2451,2811
56,603363, , , , , , , , ,3082,3537
57,300511, , , , , , , ,2607,3784,3858
