,name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,000998,-1,0,0,0,0,0,0,0,2,1
1,600265,0,0,,,,,,,,
2,002556, ,10,4,6,9,5,5,10,7,11
3,002385,12,14,28,36,34,19,34,40,28,27
4,000713,3,2,2,1,0,0,0,0,4,4
5,002714, , , , ,,,,,0,3
6,002891, , , , , , , ,,6,5
7,600371,5,3,4,-1,,,,,,
8,600598,,,2,0,0,0,0,0,0,0
9,000860,27,23,29,34,64,74,61,56,131,181
10,600354,13,9,2,6,1,0,1,1,0,0
11,600506,,,,,,,,0,0,
12,601952, , , , , , , , ,2,10
13,600313,0,0,0,,,,3,2,1,0
14,603668, , , , , , , ,2,4,2
15,603336, , , , , , , ,0,0,
16,300189, ,1,0,1,0,0,0,3,1,
17,600108,,,,1,2,3,1,3,3,2
18,002746, , , , , ,,,,,
19,002041,,1,2,3,3,5,16,4,0,0
20,002157,3,2,4,3,5,2,2,4,4,5
21,601118, ,8,3,5,-10,5,13,6,-28,30
22,002311,-2,3,2,2,3,4,9,8,10,23
23,300498, , , , , , ,13,44,15,82
24,002299,0,0,0,1,0,0,0,0,14,19
25,002696, , , ,0,1,0,-1,0,-1,-2
26,002124,3,0,1,0,5,1,2,3,4,1
27,600359,,3,,1,,,,,,
28,002086,,,0,0,0,0,0,0,0,0
29,002240,0,0,,,,,,,0,3
30,600076,,,,0,,,9,8,20,10
31,300094, ,,0,1,4,0,0,1,15,3
32,300106, ,,0,0,0,1,-1,0,,0
33,002200,4,3,0,3,1,3,2,2,0,5
34,600275,1,,,,,,,,,
35,000592,0,0,1,0,0,2,0,0,0,1
36,300087, ,1,1,,0,0,0,0,0,0
37,002069,14,16,7,5,5,0,1,0,0,-2
38,002234,0,0,0,0,0,0,0,0,0,0
39,300313, , , ,0,0,0,0,0,0,1
40,600540,1,,0,0,0,0,0,,,0
41,600467,0,,0,0,0,0,1,,1,2
42,600257,0,0,,0,2,0,0,1,3,1
43,002679, , , ,,,,,,,
44,300262, , ,0,1,1,2,3,6,11,11
45,300761, , , , , , , , , ,0
46,600097,,,,,,,,1,0,3
47,002321,0,0,0,1,0,0,0,3,13,6
48,000798,0,0,0,0,,1,,,,
49,000663,,0,,,0,0,0,0,1,0
50,600975,0,0,0,0,0,0,0,0,0,0
51,002458, ,0,0,0,0,0,0,0,,
52,002688, , , ,3,3,3,7,7,5,11
53,002100,6,5,5,5,5,7,9,11,4,6
54,000735,,,,,1,-2,2,26,1,1
55,600965,0,,,5,3,6,10,9,13,7
56,603363, , , , , , , , ,3,-1
57,300511, , , , , , , ,0,0,0
