,name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,000998,51,97,139,171,134,143,151,273,257,152
1,600265,-13,0,-21,-16,-10,-10,-8,-6,-6,0
2,002556, ,40,17,23,37,41,34,57,65,59
3,002385,91,151,223,244,204,122,176,256,227,-27
4,000713,34,34,23,15,14,20,14,-5,19,41
5,002714, , , , ,-56,-20,368,680,136,-554
6,002891, , , , , , , ,34,22,16
7,600371,19,17,18,13,-10,7,11,12,14,14
8,600598,100,115,127,134,808,150,82,238,287,268
9,000860,134,121,113,140,248,267,239,246,496,609
10,600354,92,57,-47,3,-70,-58,-69,268,-56,-42
11,600506,-2,-2,3,4,-1,-2,-1,0,-1,-1
12,601952, , , , , , , , ,147,142
13,600313,-4,1,1,-3,-3,-17,5,-12,-20,-13
14,603668, , , , , , , ,14,21,16
15,603336, , , , , , , ,19,15,16
16,300189, ,35,36,36,19,-11,-2,15,15,-12
17,600108,22,30,49,64,56,33,15,23,30,32
18,002746, , , , , ,2,20,16,32,169
19,002041,178,115,37,120,153,106,162,55,12,-13
20,002157,15,29,46,11,-84,-66,224,133,52,-405
21,601118, ,198,106,60,-3,-104,-74,20,-279,45
22,002311,-9,10,6,6,14,20,52,77,120,147
23,300498, , , , , , ,3225,1516,1500,-372
24,002299,26,45,70,-90,-129,-218,62,10,140,699
25,002696, , , ,3,6,-12,0,0,13,6
26,002124,4,-15,1,-17,8,-26,71,55,35,-335
27,600359,15,24,-33,3,-3,0,-22,3,-9,1
28,002086,5,6,7,7,2,2,2,2,3,1
29,002240,17,-27,-34,-10,-6,-3,-35,1,1,24
30,600076,-6,-4,-6,-6,-6,-6,120,119,158,148
31,300094, ,-3,-30,-8,20,-22,-3,19,111,11
32,300106, ,7,4,4,6,8,-15,-17,-37,2
33,002200,20,-11,-1,0,4,4,3,-15,-39,12
34,600275,-2,-6,-4,-7,-5,-3,-5,-7,-11,-3
35,000592,3,-5,-18,-2,1,1,-2,-18,-8,-3
36,300087, ,5,10,4,7,6,4,5,8,9
37,002069,108,127,87,33,33,-9,-8,3,-9,-46
38,002234,-16,39,12,-39,-39,-42,69,-76,-16,386
39,300313, , , ,-2,0,-9,-21,-6,-5,-7
40,600540,4,4,-41,8,2,-11,-8,7,8,-11
41,600467,24,24,24,24,10,7,8,10,11,10
42,600257,9,11,11,14,15,7,9,7,9,5
43,002679, , , ,-11,-13,-19,-23,-21,2,-12
44,300262, , ,2,5,6,11,17,27,39,36
45,300761, , , , , , , , , ,107
46,600097,-1,4,8,17,-26,-53,-92,-40,-23,-19
47,002321,9,17,17,2,-53,14,11,17,40,29
48,000798,9,5,-29,-16,5,7,-9,-5,18,-23
49,000663,0,-2,-6,-1,-9,0,-16,-17,-23,-18
50,600975,3,4,12,4,-24,-27,48,29,-6,-28
51,002458, ,22,26,-25,-70,-64,83,3,10,381
52,002688, , , ,21,25,29,62,53,39,47
53,002100,29,36,44,54,52,59,105,117,58,6
54,000735,4,6,8,4,-21,15,9,113,333,-13
55,600965,0,2,3,27,21,28,51,34,49,48
56,603363, , , , , , , , ,14,25
57,300511, , , , , , , ,49,112,139
