,日期,变动人,变动数量（股）,交易均价（元）,结存股票（股）,交易方式,董监高管,高管职位,与高管关系
0,2019-12-31,郭志先,-5047419,--,15142258,股份转让,郭志先,"董事,总经理",本人
1,2019-12-31,李洁,-41330558,--,123991675,股份转让,李洁,"董事,副总经理",本人
2,2019-12-31,周晓璐,-3762374,--,11287122,股份转让,周晓璐,"董事,副总经理(离任)",本人
3,2019-11-11,郭志先,-5047419,--,15142258,协议转让,郭志先,董事长,本人
4,2019-11-11,李洁,-41330558,--,123991675,协议转让,李洁,"副董事长,总经理",本人
5,2019-11-11,周晓璐,-3762374,--,11287122,协议转让,周晓璐,"董事,副总经理",本人
6,2018-12-31,郭志先,-6729892,--,20189677,股份转让,郭志先,董事长,本人
7,2018-12-31,李洁,-55107410,--,165322233,股份转让,李洁,"副董事长,总经理",本人
8,2018-12-31,周晓璐,-5016498,--,15049496,股份转让,周晓璐,"董事,副总经理",本人
9,2018-12-26,郭志先,-6729892,6.50,20189677,协议转让,郭志先,董事长,本人
10,2018-12-26,李洁,-55107410,--,165322233,协议转让,李洁,副董事长、总经理,本人
11,2018-12-26,周晓璐,-5016498,6.50,15049496,协议转让,周晓璐,董事、副总经理,本人
12,2016-12-31,郭志先,1336100,--,26919569,增持,郭志先,董事长,本人
13,2016-12-31,杨其礼,-2100000,--,6357345,减持,杨其礼,副总经理、总工程师(离任),本人
14,2016-11-18,杨其礼,-2100000,11.57,6357345,二级市场买卖,杨其礼,高级管理人员,本人
15,2016-07-06,郭志先,1336100,--,26919569,竞价交易,郭志先,董事长,本人
16,2015-12-31,郭志先,25583469,--,25583469,公司发行股份购买资产,郭志先,董事长,本人
17,2015-12-31,李洁,220429643,--,220429643,公司发行股份购买资产,李洁,副董事长、总经理,本人
18,2015-12-31,杨其礼,8457345,--,8457345,公司发行股份购买资产,杨其礼,副总经理、总工程师,本人
19,2015-12-31,周晓璐,20065994,--,20065994,公司发行股份购买资产,周晓璐,董事,本人
20,2007-12-31,徐丰纪,-1900,--,5700,按规定减持四分之一,徐丰纪,职工监事,本人
21,2007-06-30,徐丰纪,-1900,--,5700,二级市场买卖,徐丰纪,--,本人
22,2007-05-23,徐丰纪,-1900,--,5700,二级市场买卖,徐丰纪,监事,本人
23,2006-12-31,任松国,936,--,1976,股权分置改革转增,任松国,董事、总经理、党委书记,本人
24,2006-12-31,徐丰纪,3600,--,7600,股权分置改革转增,徐丰纪,监事,本人
25,2006-08-08,任松国,936,--,1976,股改对价支付,任松国,高级管理人员,本人
26,2006-08-08,徐丰纪,3600,--,7600,股改对价支付,徐丰纪,监事,本人
