,日期,变动人,变动数量（股）,交易均价（元）,结存股票（股）,交易方式,董监高管,高管职位,与高管关系
0,2020-06-29,郑坤,-613000,10.10,15366900,二级市场买卖,郑坤,董事,本人
1,2020-03-25,郑坤,-1051900,9.43,15979900,二级市场买卖,郑坤,董事,本人
2,2020-03-24,姚建忠,-10000,9.32,529225,二级市场买卖,姚建忠,监事,本人
3,2020-03-23,姚建忠,-116400,9.20,539225,二级市场买卖,姚建忠,监事,本人
4,2020-03-18,何修明,-462300,8.61,9698100,二级市场买卖,何修明,监事,本人
5,2020-03-18,林家兴,-1609140,8.60,9698100,二级市场买卖,林家兴,董事,本人
6,2020-03-18,姚建忠,-50000,8.92,655625,二级市场买卖,姚建忠,监事,本人
7,2020-03-18,张蕉霖,-32000,8.61,3064025,二级市场买卖,张蕉霖,董事、高级管理人员,本人
8,2020-03-17,何修明,-650400,8.11,10160400,二级市场买卖,何修明,监事,本人
9,2020-03-17,郑坤,-1349600,8.10,17031800,二级市场买卖,郑坤,董事,本人
10,2020-03-13,郑坤,-4800,--,18381400,集中竞价,郑坤,董事,本人
11,2020-03-12,郑坤,-1000000,7.77,18386200,二级市场买卖,郑坤,董事,本人
12,2020-03-11,何修明,-500000,8.04,10810800,二级市场买卖,何修明,监事,本人
13,2020-03-10,张蕉霖,-468600,7.84,3096025,二级市场买卖,张蕉霖,董事、高级管理人员,本人
14,2020-03-09,何修明,-20000,8.08,11310800,二级市场买卖,何修明,监事,本人
15,2020-03-09,林家兴,-820000,8.11,11307240,二级市场买卖,林家兴,董事,本人
16,2020-03-09,张蕉霖,-10000,8.10,3564625,二级市场买卖,张蕉霖,董事、高级管理人员,本人
17,2020-03-06,何修明,-220000,8.15,11330800,二级市场买卖,何修明,监事,本人
18,2020-03-06,林家兴,-803560,8.15,12127240,二级市场买卖,林家兴,董事,本人
19,2020-03-06,张蕉霖,-190000,8.17,3574625,二级市场买卖,张蕉霖,董事、高级管理人员,本人
20,2020-03-05,何修明,-1000000,8.00,11550800,二级市场买卖,何修明,监事,本人
21,2020-03-04,何修明,-380000,7.72,12550800,二级市场买卖,何修明,监事,本人
22,2020-03-04,张蕉霖,-320000,7.71,3764625,二级市场买卖,张蕉霖,董事、高级管理人员,本人
23,2019-12-31,陈庆堂,9000,--,86557557,二级市场增持,陈庆堂,"董事长,总经理",本人
24,2019-12-31,许梦华,3500,--,610000,二级市场增持,许梦华,"副总经理,财务总监",本人
25,2019-06-30,陈庆堂,9000,--,86557557,二级市场增持,陈庆堂,董事,本人
26,2019-06-30,许梦华,3500,--,610000,二级市场增持,许梦华,"副总经理,财务总监",本人
27,2019-06-13,陈庆堂,5000,8.80,86557557,二级市场买卖,陈庆堂,董事,本人
28,2019-06-06,许梦华,3500,8.93,610000,二级市场买卖,许梦华,高级管理人员,本人
29,2019-06-05,陈庆堂,4000,9.47,86552557,二级市场买卖,陈庆堂,董事,本人
30,2018-12-31,陈加成,50800,--,50800,二级市场增持,陈加成,"董事,副总经理",本人
31,2018-12-31,陈庆昌,53400,--,1806375,二级市场增持,陈庆昌,董事,本人
32,2018-12-31,陈庆堂,1014507,--,86548557,二级市场增持,陈庆堂,"董事长,总经理",本人
33,2018-12-31,陈延嗣,50000,--,50000,二级市场增持,陈延嗣,"副总经理,董事会秘书",本人
34,2018-12-31,何腾飞,310000,--,310000,股权激励、二级市场增持,何腾飞,副总经理,本人
35,2018-12-31,何修明,20000,--,12930800,二级市场增持,何修明,监事会主席,本人
36,2018-12-31,林家兴,20000,--,12930800,二级市场增持,林家兴,董事,本人
37,2018-12-31,吴景红,-1972880,--,2061745,二级市场减持,吴景红,监事,本人
38,2018-12-31,许梦华,50000,--,606500,二级市场增持,许梦华,"副总经理,财务总监",本人
39,2018-12-31,姚建忠,10000,--,705625,二级市场增持,姚建忠,"监事,董事",本人
