,日期,变动人,变动数量（股）,交易均价（元）,结存股票（股）,交易方式,董监高管,高管职位,与高管关系
0,2018-12-31,谢伟,2300,--,2300,二级市场购入,谢伟,职工监事,本人
1,2018-07-03,谢伟,2300,8.35,2300,二级市场买卖,谢伟,监事,本人
2,2016-12-31,管大源,76930,--,199930,增持,管大源,董事长,本人
3,2016-06-30,管大源,76930,--,199930,增持,管大源,董事长,本人
4,2016-01-08,管大源,19900,--,199930,竞价交易,管大源,董事长,本人
5,2016-01-06,管大源,12030,--,180030,竞价交易,管大源,董事长,本人
6,2016-01-05,管大源,45000,--,168000,竞价交易,管大源,董事长,本人
7,2015-12-31,管大源,123000,--,123000,增持,管大源,董事长,本人
8,2015-09-08,管大源,29500,--,123000,竞价交易,管大源,董事长,本人
9,2015-07-22,管大源,30000,--,93500,竞价交易,管大源,董事长,本人
10,2015-07-17,管大源,63500,--,63500,竞价交易,管大源,董事长,本人
11,2010-12-31,金鹤祥,3000,--,3000,二级市场买入,金鹤祥,独立董事,本人
12,2010-09-06,金鹤祥,3000,13.00,3000,二级市场买卖,金鹤祥,董事,本人
