,日期,变动人,变动数量（股）,交易均价（元）,结存股票（股）,交易方式,董监高管,高管职位,与高管关系
0,2018-11-29,贺天元,18153,14.27,18153,其他,贺天元,董事,本人
1,2018-11-29,姜秀奇,3812,14.27,3812,其他,姜秀奇,董事,本人
2,2018-11-29,刘长友,18153,14.27,18153,其他,刘长友,董事,本人
3,2018-11-29,史晓丹,16338,14.27,16338,其他,史晓丹,董事,本人
4,2018-11-29,杨占海,13615,14.27,13615,其他,杨占海,董事,本人
5,2018-11-29,叶凤仪,13615,14.27,13615,其他,叶凤仪,董事,本人
6,2015-12-31,贺天元,18153,--,18153,员工持股,贺天元,董事、总经理,本人
7,2015-12-31,姜秀奇,3812,--,3812,员工持股,姜秀奇,监事,本人
8,2015-12-31,刘长友,18153,--,18153,员工持股,刘长友,董事长,本人
9,2015-12-31,史晓丹,16338,--,16338,员工持股,史晓丹,监事会主席,本人
10,2015-12-31,杨占海,13615,--,13615,员工持股,杨占海,董事、副总经理、总会计师,本人
11,2015-12-31,叶凤仪,13615,--,13615,员工持股,叶凤仪,董事、工会主席,本人
12,2015-11-30,贺天元,18153,14.27,18153,二级市场买卖,贺天元,董事,本人
13,2015-11-30,姜秀奇,3812,14.27,3812,二级市场买卖,姜秀奇,监事,本人
14,2015-11-30,刘长友,18153,14.27,18153,二级市场买卖,刘长友,董事,本人
15,2015-11-30,史晓丹,16338,14.27,16338,二级市场买卖,史晓丹,监事,本人
16,2015-11-30,杨占海,13615,14.27,13615,二级市场买卖,杨占海,董事,本人
17,2015-11-30,叶凤仪,13615,14.27,13615,二级市场买卖,叶凤仪,董事,本人
