,日期,变动人,变动数量（股）,交易均价（元）,结存股票（股）,交易方式,董监高管,高管职位,与高管关系
0,2015-12-31,包峰,151945,--,151945,募集配套资金认购股份,包峰,副董事长,本人
1,2015-12-31,陈章瑞,202594,--,202594,募集配套资金认购股份,陈章瑞,董事长、总经理,本人
2,2015-12-31,黄金鑑,50649,--,50649,募集配套资金认购股份,黄金鑑,总会计师,本人
3,2015-12-31,苏智强,101297,--,101297,募集配套资金认购股份,苏智强,纪委书记,本人
4,2015-12-31,王平,101297,--,101297,募集配套资金认购股份,王平,副总经理,本人
5,2015-12-31,周紫雨,50649,--,50649,募集配套资金认购股份,周紫雨,副总经理、董事会秘书,本人
6,2007-06-30,黄金鑑,7000,--,7000,二级市场买卖,黄金鑑,高级管理人员,本人
7,2007-06-30,王岩,-7600,--,0,二级市场买卖,王岩,--,本人
8,2007-02-05,黄金鑑,-3000,4.29,0,二级市场买卖,黄金鑑,高级管理人员,本人
9,2007-01-18,黄金鑑,-2000,4.49,3000,二级市场买卖,黄金鑑,高级管理人员,本人
10,2007-01-17,黄金鑑,5000,4.34,5000,二级市场买卖,黄金鑑,高级管理人员,本人
11,2007-01-16,黄金鑑,-2000,4.27,0,二级市场买卖,黄金鑑,高级管理人员,本人
12,2007-01-15,黄金鑑,2000,4.06,2000,二级市场买卖,黄金鑑,高级管理人员,本人
13,2007-01-10,王岩,-7600,3.89,0,二级市场买卖,王岩,高级管理人员,本人
14,2006-12-21,王岩,3500,3.66,7600,二级市场买卖,王岩,高级管理人员,本人
15,2006-12-04,王岩,-4000,3.22,4100,二级市场买卖,王岩,高级管理人员,本人
16,2006-10-16,王岩,4600,4.05,8100,二级市场买卖,王岩,高级管理人员,本人
17,2006-10-16,王岩,3500,3.84,3500,二级市场买卖,王岩,高级管理人员,本人
