,日期,变动人,变动数量（股）,交易均价（元）,结存股票（股）,交易方式,董监高管,高管职位,与高管关系
0,2015-12-31,陈圣文,10000,--,10000,增持,陈圣文,副总裁,本人
1,2015-12-31,李昌,10000,--,10000,增持,李昌,副总裁,本人
2,2015-12-31,李智全,10000,--,10000,增持,李智全,执行副总裁,本人
3,2015-12-31,林兴,10000,--,10000,增持,林兴,副总裁,本人
4,2015-12-31,刘大卫,60000,--,60000,增持,刘大卫,董事长、总裁,本人
5,2015-12-31,彭富庆,10000,--,10000,增持,彭富庆,董事,本人
6,2015-12-31,谢兴怀,10000,--,10000,增持,谢兴怀,执行副总裁,本人
7,2015-08-31,李昌,10000,--,10000,二级市场择机增持,李昌,总裁助理,本人
8,2015-08-31,李智全,10000,--,10000,二级市场择机增持,李智全,执行副总裁,本人
9,2015-08-31,林兴,10000,--,10000,二级市场择机增持,林兴,副总裁,本人
10,2015-08-31,配偶,60000,--,60000,二级市场择机增持,刘大卫,副董事长、总裁,配偶
11,2015-08-31,彭富庆,11000,--,11000,二级市场择机增持,彭富庆,董事,本人
12,2015-08-31,谢兴怀,3000,--,3000,二级市场择机增持,谢兴怀,执行副总裁,本人
