,日期,变动人,变动数量（股）,交易均价（元）,结存股票（股）,交易方式,董监高管,高管职位,与高管关系
0,2010-12-31,杜崇军,-6770,--,0,不详,杜崇军,董事,本人
1,2007-12-31,杜崇军,-2200,--,6770,售出,杜崇军,董事,本人
2,2007-08-24,张玉岩,-1400,14.08,4396,二级市场买卖,张玉岩,高级管理人员,本人
3,2007-06-30,杜崇军,-2200,--,6770,二级市场卖出,杜崇军,--,本人
4,2007-01-09,杜崇军,-2200,9.50,6770,二级市场买卖,杜崇军,董事,本人
5,2006-12-31,徐世范,-1700,--,5200,售出,徐世范,董事、副总经理,本人
6,2005-12-31,杜崇军,2470,--,8970,实施股权分置改革方案,杜崇军,--,本人
7,2005-12-31,贺秉铎,1482,--,5382,实施股权分置改革方案,贺秉铎,--,本人
8,2005-12-31,田树华,2964,--,10764,实施股权分置改革方案,田树华,--,本人
9,2005-12-31,徐福庆,2470,--,8970,实施股权分置改革方案,徐福庆,--,本人
10,2005-12-31,徐世范,1900,--,6900,实施股权分置改革方案,徐世范,--,本人
11,2005-12-28,徐世范,1700,--,5200,二级市场买卖,徐世范,董事,本人
12,2005-12-19,杜崇军,2470,--,8970,股改对价支付,杜崇军,董事,本人
13,2005-12-19,贺秉铎,1482,--,5382,股改对价支付,贺秉铎,监事,本人
14,2005-12-19,田树华,2964,--,10764,股改对价支付,田树华,董事,本人
15,2005-12-19,徐福庆,2470,--,8970,股改对价支付,徐福庆,监事,本人
