,日期,变动人,变动数量（股）,交易均价（元）,结存股票（股）,交易方式,董监高管,高管职位,与高管关系
0,2020-07-16,刘勇,-210900,22.09,1359507,二级市场买卖,刘勇,高级管理人员,本人
1,2020-07-15,刘勇,-9100,24.27,1570407,二级市场买卖,刘勇,高级管理人员,本人
2,2020-06-30,饶晓勇,-200000,22.84,2218146,二级市场买卖,饶晓勇,高级管理人员,本人
3,2020-06-30,张敬学,-200000,23.03,2038146,二级市场买卖,张敬学,监事,本人
4,2020-06-29,周通,-146600,22.65,2286593,二级市场买卖,周通,董事,本人
5,2020-06-23,周通,-60000,22.97,2433193,二级市场买卖,周通,董事,本人
6,2020-06-19,仲伟迎,-100000,22.06,700094,二级市场买卖,仲伟迎,监事,本人
7,2020-06-18,张敬学,-200000,22.07,2238146,二级市场买卖,张敬学,监事,本人
8,2020-06-16,周通,-80000,20.54,2493193,二级市场买卖,周通,董事,本人
9,2020-06-15,杨再龙,-61000,20.13,1847263,二级市场买卖,杨再龙,高级管理人员,本人
10,2020-06-15,周通,-70000,20.25,2573193,二级市场买卖,周通,董事,本人
11,2020-06-12,刘国梁,-242437,19.06,1720037,二级市场买卖,刘国梁,董事,本人
12,2020-06-11,刘国梁,-200000,19.41,1962474,二级市场买卖,刘国梁,董事,本人
13,2020-06-11,杨再龙,-22700,19.45,1908263,二级市场买卖,杨再龙,高级管理人员,本人
14,2020-06-10,刘国梁,-129100,19.93,2162474,二级市场买卖,刘国梁,董事,本人
15,2020-06-08,刘勇,-104600,19.86,1579507,二级市场买卖,刘勇,高级管理人员,本人
16,2020-06-04,刘勇,-75400,20.88,1684107,二级市场买卖,刘勇,高级管理人员,本人
17,2020-06-03,杨再龙,-200000,20.00,1930963,二级市场买卖,杨再龙,高级管理人员,本人
18,2020-06-02,刘勇,-40000,20.43,1759507,二级市场买卖,刘勇,高级管理人员,本人
19,2020-05-18,吴有林,5000000,18.39,67784182,增发,吴有林,"董事长,总经理",本人
20,2019-12-31,郭泗虎,85000,--,85000,授予股权激励限制性股票,郭泗虎,副总经理,本人
21,2019-12-31,侯浩峰,-150000,--,800094,二级市场减持,侯浩峰,"副总经理,董事会秘书",本人
22,2019-12-31,黄华栋,-450000,--,1993099,二级市场减持,黄华栋,董事,本人
23,2019-12-31,黄泽森,150000,--,150000,授予股权激励限制性股票,黄泽森,财务负责人,本人
24,2019-12-31,黄祖尧,-1822096,--,6292479,二级市场减持,黄祖尧,副董事长,本人
25,2019-12-31,赖军,98500,--,103100,授予股权激励限制性股票、二级市场买卖,赖军,副总经理,本人
26,2019-12-31,雷支成,80000,--,80000,授予股权激励限制性股票,雷支成,副总经理,本人
27,2019-12-31,李海峰,330000,--,940975,授予股权激励限制性股票、二级市场减持,李海峰,副总经理,本人
28,2019-12-31,刘国梁,-762300,--,2291574,二级市场减持,刘国梁,董事(离任),本人
29,2019-12-31,刘勇,-440000,--,1799507,二级市场减持,刘勇,副总经理,本人
30,2019-12-31,饶晓勇,-500000,--,2418146,二级市场减持,饶晓勇,副总经理,本人
31,2019-12-31,温庆琪,-670000,--,2723193,二级市场减持,温庆琪,监事会主席,本人
32,2019-12-31,吴俊,250000,--,250000,授予股权激励限制性股票,吴俊,董事,本人
33,2019-12-31,徐翠珍,-170000,--,712230,二级市场减持,徐翠珍,副总经理,本人
34,2019-12-31,杨再龙,-380000,--,2130963,二级市场减持,杨再龙,副总经理,本人
35,2019-12-31,叶俊标,-200000,--,1021550,二级市场减持,叶俊标,副总经理,本人
36,2019-12-31,张敬学,-480000,--,2438146,二级市场减持,张敬学,监事,本人
37,2019-12-31,仲伟迎,-150000,--,800094,二级市场减持,仲伟迎,监事,本人
38,2019-12-31,周通,-750000,--,2643193,二级市场减持,周通,副董事长,本人
39,2019-11-29,李海峰,-20000,16.02,940975,二级市场买卖,李海峰,高级管理人员,本人
40,2019-11-20,刘勇,-50000,17.74,1799507,二级市场买卖,刘勇,高级管理人员,本人
41,2019-11-18,刘勇,-100000,18.45,1849507,二级市场买卖,刘勇,高级管理人员,本人
42,2019-11-08,刘勇,-100000,19.64,1949507,二级市场买卖,刘勇,高级管理人员,本人
43,2019-11-05,李海峰,-50000,20.80,960975,二级市场买卖,李海峰,高级管理人员,本人
44,2019-09-19,张敬学,-100000,21.64,2438146,二级市场买卖,张敬学,监事,本人
45,2019-09-11,刘国梁,-37000,21.68,2291574,二级市场买卖,刘国梁,董事,本人
46,2019-09-11,徐翠珍,-70000,21.89,712230,二级市场买卖,徐翠珍,高级管理人员,本人
47,2019-09-09,刘国梁,-350000,21.40,2328574,二级市场买卖,刘国梁,董事,本人
48,2019-09-06,刘国梁,-135300,21.39,2678574,二级市场买卖,刘国梁,董事,本人
49,2019-09-05,刘国梁,-240000,22.00,2813874,二级市场买卖,刘国梁,董事,本人
50,2019-08-27,温庆琪,-60000,23.10,2723193,二级市场买卖,温庆琪,监事,本人
51,2019-08-26,徐翠珍,-50000,22.08,782230,二级市场买卖,徐翠珍,高级管理人员,本人
52,2019-08-20,温庆琪,-60000,22.90,2783193,二级市场买卖,温庆琪,监事,本人
53,2019-08-19,饶晓勇,-120000,22.49,2418146,二级市场买卖,饶晓勇,高级管理人员,本人
54,2019-08-16,黄祖尧,-367700,22.49,6292479,二级市场买卖,黄祖尧,董事,本人
55,2019-08-16,温庆琪,-150000,22.41,2843193,二级市场买卖,温庆琪,监事,本人
56,2019-08-15,黄祖尧,-575200,22.12,6660179,二级市场买卖,黄祖尧,董事,本人
57,2019-08-15,温庆琪,-300000,21.75,2993193,二级市场买卖,温庆琪,监事,本人
58,2019-08-14,黄华栋,-150000,20.99,1993099,二级市场买卖,黄华栋,董事、高级管理人员,本人
59,2019-08-14,黄祖尧,-206100,21.59,7235379,二级市场买卖,黄祖尧,董事,本人
60,2019-08-14,饶晓勇,-123500,21.24,2538146,二级市场买卖,饶晓勇,高级管理人员,本人
61,2019-08-12,黄华栋,-50000,21.16,2143099,二级市场买卖,黄华栋,董事,本人
62,2019-08-12,张敬学,-80000,20.81,2538146,二级市场买卖,张敬学,监事,本人
63,2019-07-01,黄华栋,-50000,19.35,2193099,二级市场买卖,黄华栋,董事,本人
64,2019-06-30,侯浩峰,-150000,--,800094,减持,侯浩峰,"副总经理,董事会秘书",本人
65,2019-06-30,黄华栋,-200000,--,2243099,减持,黄华栋,"董事,常务副总经理",本人
66,2019-06-30,黄泽森,150000,--,150000,2018年限制性股票激励计划授予股份,黄泽森,财务负责人,本人
67,2019-06-30,黄祖尧,-673096,--,7441479,减持,黄祖尧,副董事长,本人
68,2019-06-30,李海峰,400000,--,1010975,2018年限制性股票激励计划授予股份,李海峰,副总经理,本人
69,2019-06-30,刘勇,-190000,--,2049507,减持,刘勇,副总经理,本人
70,2019-06-30,饶晓勇,-256500,--,2661646,减持,饶晓勇,副总经理,本人
71,2019-06-30,温庆琪,-100000,--,3293193,减持,温庆琪,监事会主席,本人
72,2019-06-30,吴俊,250000,--,250000,2018年限制性股票激励计划授予股份,吴俊,副总经理,本人
73,2019-06-30,徐翠珍,-50000,--,832230,减持,徐翠珍,副总经理,本人
74,2019-06-30,杨再龙,-380000,--,2130963,减持,杨再龙,副总经理,本人
75,2019-06-30,叶俊标,-200000,--,1021550,减持,叶俊标,副总经理,本人
76,2019-06-30,张敬学,-300000,--,2618146,减持,张敬学,监事,本人
77,2019-06-30,仲伟迎,-150000,--,800094,减持,仲伟迎,监事,本人
78,2019-06-30,周通,-750000,--,2643193,减持,周通,副董事长,本人
79,2019-06-28,周通,-62000,19.21,2643193,二级市场买卖,周通,董事,本人
80,2019-06-27,饶晓勇,-76500,19.40,2661646,二级市场买卖,饶晓勇,高级管理人员,本人
