,日期,变动人,变动数量（股）,交易均价（元）,结存股票（股）,交易方式,董监高管,高管职位,与高管关系
0,2015-01-30,符继军,35000,10.23,35000,二级市场买卖,符继军,高级管理人员,本人
1,2012-12-31,李开斌,-23768,--,15000,二级市场减持,李开斌,董事(已离任),本人
2,2011-12-31,李开斌,38768,--,38768,二级市买入,李开斌,董事,本人
3,2010-12-31,王沛宁,-1000,--,0,二级市场卖出,王沛宁,职工监事,本人
4,2010-12-17,王沛宁,-1000,6.35,0,二级市场买卖,王沛宁,监事,本人
5,2008-06-30,焦永强,-1650,--,5100,二级市场卖出,焦永强,--,本人
6,2008-03-06,焦永强,-1650,10.28,5100,二级市场买卖,焦永强,董事,本人
7,2007-12-31,焦永强,-2245,--,6750,二级市场卖出,焦永强,董事,本人
8,2007-12-31,刘文学,-28056,--,0,二级市场买卖,刘文学,监事,本人
9,2007-12-31,王承济,-228000,--,685848,二级市场卖出,王承济,董事,本人
10,2007-12-31,王恒智,-56000,--,170886,二级市场卖出,王恒智,监事,本人
11,2007-12-31,王红英,-1537,--,0,二级市场卖出,王红英,职工代表监事,本人
12,2007-12-31,王景胜,-370000,--,1111064,二级市场卖出,王景胜,副董事长,本人
13,2007-12-31,岳霞,-1515,--,4545,二级市场卖出,岳霞,副总经理,本人
14,2007-12-31,周文萍,-380,--,1135,二级市场卖出,周文萍,"副总经理,董事会秘书",本人
15,2007-06-30,焦永强,-2245,--,6750,二级市场卖出,焦永强,--,本人
16,2007-06-30,刘文学,-28056,--,0,二级市场卖出,刘文学,--,本人
17,2007-06-30,王承济,-228000,--,685848,二级市场卖出,王承济,--,本人
18,2007-06-30,王恒智,-56000,--,170886,二级市场卖出,王恒智,--,本人
19,2007-06-30,王红英,-1537,--,0,二级市场卖出,王红英,--,本人
20,2007-06-30,王景胜,-370000,--,1111064,二级市场卖出,王景胜,--,本人
21,2007-06-30,岳霞,-1515,--,4545,二级市场卖出,岳霞,--,本人
22,2007-06-30,周文萍,-380,--,1135,二级市场卖出,周文萍,--,本人
23,2007-03-20,王红英,-380,--,1157,二级市场买卖,王红英,监事,本人
24,2007-03-20,王红英,-1157,--,0,二级市场买卖,王红英,监事,本人
25,2007-03-19,焦永强,-2245,--,6750,二级市场买卖,焦永强,董事,本人
26,2007-03-16,王承济,-228000,--,685848,二级市场买卖,王承济,董事,本人
27,2007-03-16,王恒智,-56000,--,170886,二级市场买卖,王恒智,监事,本人
28,2007-03-16,王景胜,-370000,--,1111064,二级市场买卖,王景胜,董事,本人
29,2007-03-06,刘文学,-10300,4.07,0,二级市场买卖,刘文学,监事,本人
30,2007-02-26,刘文学,300,3.82,10300,二级市场买卖,刘文学,监事,本人
31,2007-02-01,岳霞,-1515,--,4545,二级市场买卖,岳霞,高级管理人员,本人
32,2007-01-26,刘文学,2200,2.78,12200,二级市场买卖,刘文学,监事,本人
33,2007-01-26,刘文学,-2200,2.93,10000,二级市场买卖,刘文学,监事,本人
34,2007-01-25,刘文学,-18056,3.13,10000,二级市场买卖,刘文学,监事,本人
35,2007-01-19,周文萍,-2,2.60,1135,二级市场买卖,周文萍,高级管理人员,本人
36,2007-01-19,周文萍,-378,--,1137,二级市场买卖,周文萍,高级管理人员,本人
37,2006-12-31,焦永强,3064,--,8995,股权分置改革,焦永强,董事,本人
38,2006-12-31,刘文学,9667,--,28056,股权分置改革,刘文学,监事,本人
39,2006-12-31,王承济,461448,--,913848,股权分置改革,王承济,董事,本人
40,2006-12-31,王恒智,114566,--,226886,股权分置改革,王恒智,--,本人
41,2006-12-31,王红英,776,--,1537,股权分置改革,王红英,监事,本人
42,2006-12-31,王景胜,747864,--,1481064,股权分置改革,王景胜,副董事长,本人
43,2006-12-31,易礼金,1306,--,3841,股权分置改革,易礼金,独立董事,本人
44,2006-12-31,岳霞,3060,--,6060,股权分置改革,岳霞,副总经理,本人
45,2006-12-31,周文萍,515,--,1515,股权分置改革,周文萍,董事会秘书,本人
46,2006-06-30,焦永强,6050,--,11981,股权分置改革,焦永强,--,本人
47,2006-06-30,刘文学,9667,--,28056,股权分置改革,刘文学,--,本人
48,2006-06-30,王承济,461448,--,913848,股权分置改革,王承济,--,本人
49,2006-06-30,王恒智,114566,--,226886,股权分置改革,王恒智,--,本人
50,2006-06-30,王红英,776,--,1537,股权分置改革,王红英,--,本人
51,2006-06-30,王景胜,747864,--,1481064,股权分置改革,王景胜,--,本人
52,2006-06-30,易礼金,25860,--,51210,股权分置改革,易礼金,--,本人
53,2006-06-30,岳霞,3060,--,6060,股权分置改革,岳霞,--,本人
54,2006-06-30,周文萍,515,--,1515,股权分置改革,周文萍,--,本人
