,name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,000998,2442,2979,3592,3833,4105,5024,7943,12977,15364, 
1,600265,685,572,495,538,416,343,329,322,369, 
2,002556,2998,5256,5972,5443,5973,5940,6867,7663,8247, 
3,002385,4045,4737,5708,8206,10551,13849,15258,19258,18096, 
4,000713,1882,1840,1844,1998,1889,1863,2073,2193,2443, 
5,002714,892,1489,2140,3235,4119,7068,12931,24045,29842,52887
6,002891, , , , ,414,499,613,1005,1407, 
7,600371,763,1008,1032,1013,795,668,749,767,788, 
8,600598,17905,18002,15696,13852,8229,7235,7742,7647,7973, 
9,000860,9929,10333,12480,13789,15543,15897,17835,18412,19851, 
10,600354,3343,4026,4543,4122,3701,3527,3031,2767,2125, 
11,600506,332,328,331,304,288,300,289,295,299, 
12,601952, , , , ,3876,3894,4001,6611,6985, 
13,600313,576,776,1726,1772,2324,3766,4122,3543,3115, 
14,603668, , , ,529,627,849,984,1658,2135,2726
15,603336, , , ,465,529,613,783,800,999, 
16,300189,448,1339,1587,1684,1584,2282,3238,2491,1498, 
17,600108,4287,4474,6115,6501,7611,7619,7796,8041,8559, 
18,002746, , ,1182,1376,1498,1451,2485,2580,3098, 
19,002041,1953,2288,2942,3495,3949,4298,4467,4446,3758, 
20,002157,2824,3198,4467,5984,7312,9764,12259,16616,21326, 
21,601118,12532,11133,11124,12017,12268,12892,13694,13368,14933, 
22,002311,3290,4225,6139,7392,7666,8185,10288,13160,17366, 
23,300498, , , , , ,32735,41438,49040,53950, 
24,002299,3204,5043,6629,8201,10039,10961,11412,13202,14656, 
25,002696,529,648,1237,1342,1707,1886,1914,3581,3717, 
26,002124,908,1072,1168,1715,1885,1967,2490,4443,6229, 
27,600359,4042,3821,1929,1912,2448,2745,2803,2555,2140, 
28,002086,1886,2125,2342,2515,2646,3768,3843,4048,4162, 
29,002240,3348,3260,3053,2784,2681,2402,2522,2957,3664, 
30,600076,317,339,394,558,784,3662,3626,4890,5865, 
31,300094,2080,2068,2105,2545,2749,2596,3088,3932,4921, 
32,300106,736,831,1100,1280,1749,2271,2773,2423,1137, 
33,002200,806,867,1068,1536,2416,2885,3437,3323,3560, 
34,600275,2896,2818,346,315,367,386,325,330,239, 
35,000592,1927,1823,1825,1827,2145,3798,4171,4345,4304, 
36,300087,619,888,1002,1002,1048,1108,1430,1588,1906, 
37,002069,3304,4420,4922,5316,4878,4485,4474,3944,3554, 
38,002234,1108,2115,2062,1813,2190,1809,2179,2275,2624, 
39,300313,149, ,425,534,610,912,855,691,1403, 
40,600540,2536,2863,2417,2657,3361,2918,2527,2257,1905, 
41,600467,2121,3689,3853,4183,4740,5135,5318,5793,5957, 
42,600257,1202,1198,1299,1368,1436,1504,1677,1683,1803, 
43,002679,331,378,941,1375,1389,1653,1670,1682,1705, 
44,300262,235,498,722,1135,1190,1768,3564,4436,5369, 
45,300761, , , , , ,2726,3428,4134,5692, 
46,600097,1234,1333,1321,1300,1351,1177,1736,1801,2307, 
47,002321,2280,2340,2769,3607,4276,4964,6204,8063,9064, 
48,000798,786,924,891,935,929,826,900,1027,1046, 
49,000663,1522,1512,1460,1355,1371,3984,4324,4136,2789, 
50,600975,679,754,921,1203,1286,1691,1915,1778,1594, 
51,002458,1222,1271,1526,1563,1825,1755,1937,2144,2311,4141
52,002688,624,671,1003,1017,1519,1885,2662,2960,3335, 
53,002100,1906,2301,2527,2876,3011,3805,4491,5873,8509, 
54,000735,2911,3627,4362,4301,4250,4503,6185,6182,6315, 
55,600965,638,643,696,1162,1239,2016,2603,2412,2813, 
56,603363, , , , ,927,1348,1712,2538,3305, 
57,300511, , , ,1463,1549,1775,2461,3836,3893, 
