,name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,000998,1213,1593,1951,2095,2085,2570,2168,6541,7872, 
1,600265,399,425,456,485,410,428,312,297,337, 
2,002556,2458,3323,3942,3364,3794,3636,4507,5219,5667, 
3,002385,863,1147,1425,2914,4254,4590,5230,7491,7381, 
4,000713,772,687,631,699,544,501,683,814,819, 
5,002714,485,760,1113,1978,2171,3546,7270,11308,16134,21175
6,002891, , , , ,171,177,212,235,574, 
7,600371,396,592,583,626,395,272,302,255,273, 
8,600598,12031,11860,10205,8861,2590,1708,2025,1771,1666, 
9,000860,7133,7339,9494,10613,10358,10393,11013,11285,12122, 
10,600354,2256,2393,2953,2493,2458,1817,1635,1464,1274, 
11,600506,49,39,46,15,16,22,16,18,18, 
12,601952, , , , ,1863,1585,1380,1333,1301, 
13,600313,66,169,513,451,614,1232,1559,1421,1018, 
14,603668, , , ,228,291,458,525,834,1195,1327
15,603336, , , ,165,183,205,42,22,163, 
16,300189,90,47,151,219,241,229,1145,431,89, 
17,600108,1613,1739,1754,1789,2851,2866,3059,3280,3757, 
18,002746, , ,476,618,696,453,430,461,612, 
19,002041,651,594,845,902,1046,1113,806,687,494, 
20,002157,1606,1884,3109,4486,4891,6212,6040,9914,14506, 
21,601118,4214,1930,1929,2809,3166,4765,5504,5417,4926, 
22,002311,1012,1640,3100,3309,3264,3087,4480,6324,9142, 
23,300498, , , , , ,9705,10059,15670,18377, 
24,002299,1420,1320,3156,4823,6397,5381,5150,6660,6563, 
25,002696,231,305,323,400,712,817,793,1279,1410, 
26,002124,455,588,651,1154,1265,842,1066,1395,3832, 
27,600359,2868,3581,1594,1611,1594,1905,2141,1879,1679, 
28,002086,700,842,1007,1122,1215,942,956,1048,1385, 
29,002240,1656,1552,1465,1195,1083,1002,978,829,1419, 
30,600076,178,161,178,296,536,1122,698,1455,2066, 
31,300094,443,419,682,936,1034,863,1274,1983,2731, 
32,300106,204,255,443,593,994,1539,1679,1707,438, 
33,002200,487,593,739,1187,1527,1959,2441,2752,3212, 
34,600275,2636,2587,90,99,145,200,180,181,86, 
35,000592,684,588,553,479,715,372,680,847,921, 
36,300087,55,244,318,280,320,322,556,615,851, 
37,002069,1613,1702,2364,2874,3722,3577,3383,3541,3113, 
38,002234,475,509,690,683,998,932,1148,1536,1503, 
39,300313,48, ,35,132,174,497,454,328,1197, 
40,600540,1538,2144,1597,1794,1957,1668,1994,1699,1439, 
41,600467,687,958,948,1242,1822,2193,2343,2780,2899, 
42,600257,588,551,640,559,630,706,341,345,443, 
43,002679,172,172,308,709,690,929,932,900,944, 
44,300262,101,74,251,603,582,1076,1546,2284,3050, 
45,300761, , , , , ,1063,1334,1285,1544, 
46,600097,602,650,525,448,433,384,910,264,641, 
47,002321,1263,1266,1704,2076,2761,3429,3473,5187,6070, 
48,000798,99,197,120,96,86,304,314,341,256, 
49,000663,1093,1135,1080,994,1017,1940,2162,1957,1951, 
50,600975,211,214,309,581,684,561,617,508,432, 
51,002458,337,184,568,890,1117,1433,463,919,706,534
52,002688,369,336,140,117,563,831,1078,1323,1556, 
53,002100,860,1170,1288,1156,1141,1420,1787,2818,5230, 
54,000735,1272,1803,2541,2488,2438,2672,2642,2509,2224, 
55,600965,164,155,197,274,309,388,847,557,737, 
56,603363, , , , ,712,903,1118,1573,2296, 
57,300511, , , ,1030,1020,1132,1171,2420,2323, 
