,电影名称,当日票房,票房占比,排片场次,排片占比,场均人次,上座率
1,宠爱,3712.43,24.9%,6.5%,110298,10,6.5%
2,叶问4：完结篇,2456.77,16.5%,6.5%,76730,9,6.5%
3,误杀,2070.21,13.9%,8.1%,58817,11,8.1%
4,变身特工,960.21,6.4%,7.4%,34121,9,7.4%
5,我为你牺牲,858.85,5.7%,100%,1858,64,100%
6,美丽人生,767.85,5.1%,7.7%,28761,9,7.7%
7,天使陷落,557.40,3.7%,9.0%,18800,9,9.0%
8,熊出没·狂野大陆,486.45,3.2%,13.2%,8351,17,13.2%
9,我和我的祖国,420.99,2.8%,100%,646,83,100%
10,半个喜剧,343.64,2.3%,9.6%,10283,9,9.6%
