,电影名称,当日票房,票房占比,排片场次,排片占比,场均人次,上座率
1,宠爱,3225.61,32.9%,5.2%,124981,8,5.2%
2,叶问4：完结篇,1821.21,18.6%,5.4%,73127,7,5.4%
3,误杀,1254.55,12.8%,5.6%,55044,7,5.6%
4,我为你牺牲,685.51,7.0%,68.2%,1742,43,68.2%
5,天使陷落,412.42,4.2%,6.2%,20895,7,6.2%
6,我和我的祖国,296.57,3.0%,100%,449,98,100%
7,半个喜剧,251.03,2.5%,5.7%,12754,6,5.7%
8,亲爱的新年好,243.99,2.4%,1.6%,39166,2,1.6%
9,解放·终局营救,128.00,1.3%,33.8%,878,30,33.8%
10,哪吒之魔童降世,118.94,1.2%,100%,162,127,100%
