,电影名称,当日票房,票房占比,排片场次,排片占比,场均人次,上座率
1,宠爱,3450.52,27.5%,6.2%,110145,9,6.2%
2,叶问4：完结篇,1991.47,15.9%,5.8%,71728,8,5.8%
3,误杀,1462.63,11.6%,6.5%,53240,8,6.5%
4,我为你牺牲,1015.01,8.1%,100%,2334,61,100%
5,美丽人生,683.90,5.4%,8.5%,25560,9,8.5%
6,我和我的祖国,523.63,4.1%,100%,825,89,100%
7,变身特工,454.93,3.6%,3.0%,36974,4,3.0%
8,天使陷落,395.70,3.1%,6.7%,18318,7,6.7%
9,半个喜剧,235.07,1.8%,6.8%,10023,7,6.8%
10,小小的愿望,214.81,1.7%,100%,313,97,100%
