,电影名称,当日票房,票房占比,排片场次,排片占比,场均人次,上座率
1,宠爱,4714.82,26.2%,8.1%,112372,12,8.1%
2,叶问4：完结篇,3108.80,17.3%,8.2%,76732,12,8.2%
3,误杀,2525.10,14.0%,10.2%,57163,13,10.2%
4,我为你牺牲,1145.68,6.3%,100%,2270,68,100%
5,变身特工,1120.63,6.2%,8.4%,34783,10,8.4%
6,美丽人生,929.15,5.1%,9.0%,30178,10,9.0%
7,天使陷落,629.76,3.5%,10.3%,18549,11,10.3%
8,我和我的祖国,568.04,3.1%,100%,775,103,100%
9,熊出没·狂野大陆,502.42,2.7%,13.6%,8413,17,13.6%
10,半个喜剧,413.18,2.3%,12.5%,9581,12,12.5%
