,城市名称,用户性别,评论,用户id,用户昵称,用户评分,用户等级
73,重庆,1,血**真实的 三点记录剧情战争片！好看,1111235410,Darion,5.0,3
74,淄博,1,牛逼 很牛逼 ,1111233911,ｇ.,5.0,2
75,广州,1,"历史的回忆，其实当时比电影更残酷
",1111238145,优纳斯国际,5.0,2
76,北京,,倒叙的拍摄手法不多见，震撼。,1111235295,故址风雪声,5.0,2
77,长治,,挺好的，就是有点重复太多,1111233730,PcS237933221,5.0,2
78,正定,,非常好，很震撼，让我感受到了先人英雄勇往直前的气概,1111238051,Ai龙哥哥,4.5,2
79,西安,,不值得推荐。,1111235239,wendofson,1.5,2
80,永城,2,真不错嘻嘻嘻,1111235202,WYss1201,5.0,2
81,顺德,,炸桥，埋伏，修桥，干架，筑桥，过桥，完结。,1111233555,HtP477712136,3.0,2
82,沈阳,,和女朋友一起看的电影  前期非常震撼人心 后期各方面各视角讲述同一件事,1111234210,小七爱咪咪,5.0,1
83,衡阳,,挺好看的，不错,1111236014,Pqy829958841,5.0,2
84,广州,,喜欢在电影院的感觉，舒服😘,1111236002,忘忧1007,5.0,3
85,福州,2,不好看反反复复都是演那些一点意思都没有,1111225041,西西,1.0,1
86,乌兰察布,1,非常好看，值得推荐,1111230931,Z周zuly一切安好,3.5,2
87,通辽,,好看好看，赞,1111233323,葛家姑凉,4.5,2
88,张家口,2,这个就是爱国去看的,1111231826,薇薇嫣然,0.5,2
89,铜仁,2,哪有什么岁月静好，好好工作，,1111233176,啊谢😄,5.0,1
90,资阳,,好看好看好看极了,1111231699,bAd76735033,5.0,2
91,芜湖,1,比较好看的电影,1111233148,xiexieli,4.5,2
92,惠州,,非常好看😊,1111232539,YANGJINGCHUNG,5.0,2
93,西安,1,演的什么啊，演了两个小时的修桥。无聊透顶，浪费时间,1111218271,安于此生.,0.5,2
94,武汉,2,感动～好看的电影！比较震撼！,1111232441,Iuuuu29,4.5,2
95,上海,,很不错的国产战争片，可以通过不同视角看战斗情况。多少有些煽情，但不严重。纪念在朝鲜战争中牺牲的志愿军烈士,1111210718,JasonYu35,4.5,5
96,广州,1,一般 前面还行 后面太墨迹 演的就是几个炮手 大结局演的人桥  那个时候抗日都结束了 怎么就那几发炮弹呢 演的不太真实啊,1111227907,༊࿐寶 哥,0.0,2
97,郑州,,好看，值得去看,1111232320,Avever,5.0,2
98,丽江,,不错，很值得看,1111231440,oSe480962621,5.0,2
99,焦作,1,电影好看，太真实了。我一个大男人带女朋友看的，眼泪是悄悄流啊。不过前面看着有点乱，但是看完也就看明白了，从三个视觉看这部电影,1111218207,浅若ら清风,5.0,1
100,鞍山,2,😊😊😊,1111229604,V小七V,4.0,3
101,通辽,,嗯，还可以波,1111231405,WFS723217286,3.0,2
102,广州,1,还可以。。。,1111231400,小太阳4719,4.5,1
103,重庆,,感觉一般般，,1111218171,Djz891795135,3.5,1
104,常州,,一般配的话我,1111227777,llV667980887,3.0,3
105,深圳,,好看，剧情很到位。,1111230422,Mni410893105,4.0,2
106,青岛,,好还好哈哈哈,1111227743,jm19900513,4.5,2
107,武汉,1,好看很好看的,1111229444,VDl526549141,5.0,1
108,六安,,值得观影，好看,1111232103,aZb258914971,5.0,2
109,夏津,1,一般一般，达不到全国第三！,1111230333,TWN931733503,2.5,3
110,北京,,这部电影值得去看,1111232084,YYW102719940,5.0,3
111,兴城,,好看，太过瘾了,1111232032,liililllil,5.0,2
112,商洛,1,非常精彩，对抗美援朝战争人物刻画的比较细，很感动地爱国电影,1111229358,清樽独醉,5.0,2
113,上海,,不错爱国教育,1111230275,shala1780,4.5,2
114,玉山,,一般般吧，没,1111229275,九亿少女的垩梦,2.0,1
115,南宁,,非常好看，值得推荐,1111206654,CXw915427985,5.0,2
116,永安,,好看！！！！,1111227446,QMp823098074,5.0,3
117,高阳,1,张毅演技太厉害,1111229184,信用卡代办代刷代还,5.0,2
118,郑州,1,老菜新超  这五分完全是给故事内容的  电影拍没有任何突出点。能看 但是不要抱太大期望,1111227395,光芒万丈🇨🇳,2.5,3
119,西安,2,2个小时的电影，1个5分钟的炸桥、修桥片段重复演了两个小时，而且这5分钟片段的时间，地点，人物都一模一样。其中美国一个飞行员死了三次，“复活”了三次，真的太假了，也不知道这么高的评分是怎么来的🙄 ,1111223947,작은 버섯은 차갑다    🍹  🍭,0.5,2
120,北京,,可以吧 嗯en,1111205610,怪兽打奥特曼123,3.5,4
121,北京,,可以吧 嗯en,1111223944,怪兽打奥特曼123,3.5,4
122,衡阳,1,很不错的电影，值得一看,1111223937,qinxiaobo1988,5.0,2
123,苏州,2,超感人。值得看,1111224815,疯子cwt,5.0,2
124,包头,1,不错不错  从多角度讲述故事  很震撼,1111229140,我会爆炸.com,4.5,2
125,梅州,1,我评一分不是因为它真的1分，而是它的评分太假，我只是尽可能拉下到理性范围,1111223894,鱼子酱999,0.5,3
126,深圳,1,题材不错，表现形式一般，张译演技不错,1111227293,王世王⁴ ². ¹ ⁹ ⁵,3.0,2
127,临沂,,催眠效果很好，镜头来回重复。让我进入了睡梦中。失眠的可以看一下。,1111227281,izJ774165829,5.0,3
128,北海,,非常好看，我很喜欢,1111222947,我是晓星同学呀,4.5,3
129,北京,1,很好看。真实演绎了还原了历史,1111227189,久离她,5.0,1
130,西宁,,如果不是张译在第三段撑起了整部电影，真心绝得不如看纪录片，摇晃的镜头看得想吐，重复的片段竟然台词也是重复的，要说泪点在哪，在最后志愿军英雄回国。,1111227177,Coutinhooo,2.5,2
131,洛阳,,hai hu cu,1111224627,SOt593385239,5.0,2
132,腾冲,,重复的情节……,1111210419,丫丿、丫,4.5,3
133,惠阳,1,感觉挺好看的，挺感动的，,1111223702,波波自来胡,4.0,2
134,铜陵,,真实写照，值得一看。,1111210408,xiangyu916,5.0,3
135,哈尔滨,,几点吃饭店啊你说，。嗯,1111222791,QqP44880686,5.0,1
136,雅安,,一般嘛，我觉得不怎么好看,1111223679,项链的幸福0688,4.5,2
137,建湖,,勿忘历史，总有那些人替我们负重前行。,1111223677,大建314,5.0,2
138,鹿泉,2,很不错，第一遍没看懂、看了第二遍才明白什么意思！,1111221891,Su.小雅,4.5,2
139,成都,,修桥炸桥在修桥,1111223666,seV587666400,4.5,2
140,深圳,,"不错.不错
",1111223658,邪惡家,4.0,2
141,渭南,,重复三遍 不要再说什么爱国情怀我的神 一分是给演员的,1111227081,Ivs649272766,0.5,2
142,沈阳,,很好不错，很好,1111222765,金信翰林CEO,5.0,2
143,文山,,还好，就是重复的镜头有点多,1111221855,SWH244257361,5.0,2
144,内江,,感觉一般，重复镜头太多。,1111223624,Kao769614748,4.5,1
145,广州,,"还没看 但是很期待 

去年开始喜欢张译 喜欢他是演技上爱上的
😆😆",1107660786,XDM258967228,5.0,3
146,德州,,感觉是八百一个系列的，但是没有八佰好看,1111221791,权权二儿,3.0,2
147,北京,,看了很振奋！！！,1111220995,jCb202670261,4.5,3
148,深圳,,一般般。不怎么样,1111223582,CHB19940929,5.0,2
149,郑州,,值得一看的电影,1111197849,EvI897541450,5.0,2
150,孝感,2,反反复复地重复,1111223579,y乐乐718,2.5,2
151,德州,,好看，很棒的电影,1111220977,草莓味的糖丶,5.0,2
152,河池,,循环太多了，浪费时间，但是致敬,1111222644,牙小明,1.5,2
153,宁波,1,不错的  喜欢吴京,1111223545,HaY990649640,5.0,3
154,太原,,好看的电影🎬,1111224401,RT熊,4.5,2
155,佛山,2,好看值得一看,1111222584,小倩8628,4.5,1
156,上海,,OK啦，还可以,1111222555,明天自己做饭,4.0,2
157,随州,,挺好看的，蛮喜欢这种电影,1111137645,m永远有多远mm,4.5,1
158,沈阳,,挺好看的，不错,1111221660,PRd641629679,5.0,2
159,黄石,2,爱国教育电影，值得观看！,1111197795,张静,3.5,3
