,城市名称,用户性别,评论,用户id,用户昵称,用户评分,用户等级
66,南京,,绘画水平不行，只能勉强及格,1108687474,fcbb11fb-8f0782,3.0,2
67,深圳,,还是挺不错的,1108632134,UzZ443797700,5.0,2
68,牡丹江,2,效果故事情节都太一般,1108610652,gwA407137266,2.5,2
69,南京,,还可以，就是情节简单,1108534583,cFm157221027,4.0,3
70,合肥,,吐槽的人都是没真正看过的吧，我觉得很好看呀，建议你们还是亲自去影院观看，带着弟弟妹妹一起,1106880336,我是一个柠檬精。z,5.0,4
71,泰兴,2,"为什么要在下着暴雨的凌晨一点开车40公里出来看呢？家里的床不香吗非要这样对自己呢。
唉算了中国国漫还是应该支持在行动上。",1108479602,陆家嘴肉包啊呜,3.0,4
72,深圳,,棒棒的呀饿得,1108478745,jinvenusxing,5.0,3
73,北京,,还可以，孩子愿意看,1108443189,GML564211339,2.5,2
74,长春,1,电影很好，期待下一部,1108382687,看到我让我滚去健身,5.0,1
75,广州,,大部分都可以，最后打boss败笔,1108374029,timtimpig,3.5,5
76,扬州,,还想在看一遍。๑乛◡乛๑,1108344124,cdz274558860,5.0,2
77,广州,,小朋友看可能好看些,1108312541,ydy835946397,3.5,2
78,南昌,2,感觉还挺不错的，内容挺精彩的。喜欢喜欢。,1108273789,咚当,5.0,2
79,黄石,2,好看 动画特效特别好  真的 太好看了 喜欢喜欢,1108294768,tGO685343062,5.0,2
80,武汉,1,花木兰这部影片把替父从军的故事线，表现的非常不错的！,1108280371,时之沙286,5.0,1
81,上虞,1,很不错，太精彩了，真是一部很棒的电影啊,1108280348,爱栗,5.0,3
82,南宁,,很好看，一直很喜欢花木兰，影片里的花木兰是我喜欢的,1108232202,yiz607011619,5.0,1
83,南宁,,别人推荐看的，题材新颖剧情也是相当的给力完全达到预期！,1108273488,ZEV1988,5.0,1
84,慈溪,,还可以吧，不错,1108285499,keyesfang,4.0,3
85,余姚,2,很轻松的一部电影,1108270963,健身小公举,4.0,3
86,南京,2,不错，值得一看,1108246199,ydW882700189,5.0,3
87,北京,1,带着家人一起去看的。,1108245938,染年凉城情似瑾,5.0,4
88,绵阳,,全家人都可以看的一部电影，画面很唯美，动画人物都很有个性，推荐观看,1106638055,sxt783,5.0,4
89,威海,,终于有了自己的国漫  无论是剧情还是音效  都很棒  中国国漫真是不鸣则已  一鸣惊人！,1106783815,会飞的佩琪i,5.0,1
90,固原,,吼吼吼吼松坡婆婆,1108193382,djdjhdhxjj,5.0,4
