,城市名称,用户性别,评论,用户id,用户昵称,用户评分,用户等级
0,合肥,,"感觉演员演的很平凡。。感情不怎么浓烈。。
全剧过于夸张的说女主是个胖子。。其实并不是很胖。。全面包装女主很丑很胖。实则没有。这样电影感觉全程在内涵一些其它胖子。真的不喜欢这个电影。。会让人觉得尴尬。。",1111240414,我是图图小淘气,0.5,2
1,荆州,,挺好的，中途离场,1111226497,默卜卜默,3.0,2
2,丽水,2,关晓彤可可爱爱,1111239808,Eai602260142,5.0,2
3,湘潭,1,还行！一般一般,1111226387,楠泽,4.5,6
4,寿光,,得动不哭都体育,1111236818,BVk774634699,5.0,2
5,聊城,1,不错不错，挺好的！,1111233945,快乐地小肥猪,4.5,2
6,阿城区,,太棒了，很喜欢，,1111233680,小姐姐hui,5.0,2
7,中山,2,太差劲，不好看！！,1111234071,彩彩彩容儿,2.0,3
8,公主岭,1,还行挺神奇的的。,1111206603,伊卡璐丶,4.5,3
9,汶上,,还可以，挺梦幻的，情侣可以一起去,1111222698,kkv511344920,3.5,2
10,德州,,好看，很棒的电影,1111224444,草莓味的糖丶,5.0,2
11,张家港,,非常非常好看,1111217998,GlikZ,5.0,1
12,潮州,,还是挺好看的,1111211871,fWa609449841,4.5,2
13,赤峰,1,还行吧。就那样,1111188781,Hjw384920336,3.5,2
14,溧阳,1,还行吧还行吧,1111212309,高阿呆、,4.0,1
15,德阳,,挺好的。   ,1111208514,奕霏少女,5.0,3
16,湛江,,😁😁😁,1111189652,OQf312402912,5.0,4
17,温州,,真好看，。，？？,1111195655,吃货水桶,4.5,3
18,青岛,,还可以吧，没有想象的那么好看,1111156602,QDI474197147,5.0,2
19,阿城区,1,电影很好看，关晓彤演的很好,1111186967,让明天更加美好,5.0,1
20,怀宁,,确实挺好看的,1111183797,yLN428254809,4.5,2
21,曹妃甸,2,少年时代的忧郁，是对整个宇宙的骄傲,1111185360,草莓小丸子1121,4.5,2
22,潍坊,1,很喜欢这部片 每个人身边都会有一个温暖你的人 所以我们要好好珍惜,1111181606,慢慢,4.0,2
23,伊宁,,无聊至极的电影、毫无演技、,1111182038,Rkt966127226,0.5,2
24,石家庄,,挺好看的，非常喜欢,1111180474,zhu313313,5.0,2
25,苏州,,真就魔幻，就音乐可以。,1111180245,顾嗣裕,2.5,2
26,广州,1,挺好看的、不错,1109385124,AA罗志,0.5,2
27,昆明,,一般般吧，俗套剧情,1111164341,lazzyeater,2.5,2
28,青岛,,一个人看的！！,1111142815,jjm77777,5.0,2
