,城市名称,用户性别,评论,用户id,用户昵称,用户评分,用户等级
80,南通,,电影还可以。,1111202830,一杯加冰,3.0,2
81,临汾,,一般般吧 还行,1111204285,oON863049443,2.5,1
82,滁州,2,真的不怎么样,1111201607,安稳,0.5,2
83,衢州,,还算不错的。,1111202744,林sir523622,5.0,2
84,阜新,,还好吧一般般,1111199668,找不到外卖,3.0,3
85,正定,,挺好看的电影,1111203370,嗨丶老村长,4.5,3
86,海口,,看的不是很懂～只能这么说～～～～～,1111201386,xtt美团88888,2.5,2
87,石家庄,,很好看。值得推荐,1111201334,FKq215165602,5.0,2
88,金华,,剧情好老套，开头就能猜到结局，一点悬念都没有,1111188250,uDK827291485,3.0,2
89,海口,2,不太看得懂剧情,1111201310,涙笑,4.0,2
90,哈尔滨,,电影很好看的,1111199380,半夏65869,4.5,2
91,广州,,还好，剧情基本能猜到,1111202247,Smile.4406,3.0,3
92,济南,,不好看  烂片,1111178543,ciT108601187,0.5,2
93,重庆,,"完美好看
羡慕嫉妒了😂😂😂",1111202149,郭炎鹏love,5.0,2
94,怀化,,哭的不行，，，,1111194963,qBT456492934,5.0,2
95,南京,,还不错，值得去看看,1111198505,xyitong艺,4.5,3
96,南通,,一般 逻辑硬伤,1111188125,雅思12,2.0,2
97,慈溪,,无法吐槽，真的,1111156754,xTX915764675,1.0,2
98,郑州,,睡着了，没感觉,1111194784,RUE488619489,2.5,2
99,苏州,,挺不错的！！,1111178465,UNW781248996,4.5,2
100,深圳,,剧情玄幻 跌宕起伏,1111188072,KtE596377453,4.5,2
101,上海,,超级好看，泪目,1111198290,pYu359640691,5.0,3
102,成都,1,爱一个人真的可以做到无私,1111189045,你麻嘛。,4.5,2
103,费县,,非常完美，和前对象看的，看完就分手了,1111196804,vpw831616051,5.0,3
104,成都,,不太适合我，,1111195528,自量96,4.5,4
105,葫芦岛,2,整个影片下来感觉还行,1111198128,沈闫啊,5.0,1
106,海口,,体验感有点差,1111169992,zph225472260,1.0,1
107,连云港,,一般 没有很多触心的地方,1111194580,安儿baby1105,4.5,2
108,石家庄,1,"。
。。。。",1111169980,烟雨风飘泪少,3.0,1
109,佛山,1,好好看好好的,1111198034,《阿陈》,5.0,2
110,遵义,2,耶斯莫拉 哭死我,1111156637,梳子妹儿,5.0,3
111,云浮,2,还不错哦！！,1111194339,卖1女2孩的小火柴,4.5,3
112,沈阳,,爱你的人又怎么会只爱上你一次,1111169840,四叶欣冉,4.5,3
113,上海,,"好看好看好
",1111194155,OWr301822308,3.5,2
114,重庆,,没看懂，剧情狗血,1111192289,飞哥哥1984,4.5,3
115,阿城区,1,电影不错，很感人，电影很好看,1111192269,让明天更加美好,5.0,1
116,长沙,2,不错，可以去看看,1111137119,vbm747751728,4.5,1
117,贵阳,1,自己一个人看的 现实中不会有这样的爱情,1111190798,钟情与瘾丶i,5.0,3
118,赣榆,,一般般吧！。,1111190778,迷惑的方向,2.5,2
119,汕头,,这个电影真的是太烂了，看得我犯困，这个剧情男主女主都在卡bug？？？？？看了个寂寞,1103489347,ㅤ,1.5,2
120,英德,,一般般吧哈哈哈哈,1111171505,IpP961323216,3.5,3
121,淄博,1,还可以吧。。,1111186515,原来43,5.0,3
122,济南,2,挺好的挺好的,1111184756,没生气.,4.5,2
123,惠州,1,一般般吧，没什么感觉,1103482771,￼,2.5,2
124,昆明,,👍👍👍👍👍,1111156343,Abx135708168,5.0,2
125,深圳,,感觉挺不错的,1111070992,qsh…华,4.0,1
126,梅州,,看了，感觉挺好的,1111183127,十七size,5.0,2
127,济南,2,李鸿其 爱了爱了,1111168318,王静,5.0,1
128,沈阳,,也是很遗憾吧,1107232177,拒绝,4.0,2
129,罗源县,2,真的超级好看 特别感人 哭了将近1个小时 超级喜欢 已经三刷了 但是每次都会哭 这种双向的爱真的太让人羡慕了！！！,1111177849,年年_,5.0,1
130,邢台,,很好看，好看,1111181528,z欣欣09,5.0,2
131,南宁,,很棒的一部电影,1111182151,叫我小键就好i,4.5,2
132,天津,,很好看，，，,1111171043,bEm821052185,5.0,1
133,宜宾,2,并分他们说的那么好看,1111179380,ʚ🧸ྀིɞ,2.5,1
134,南京,1,"挺好的东西
",1111177404,温热之感,4.5,2
135,拉萨,,挺好看的   ,1111156097,jungkook果娜,5.0,2
136,日照,,还行挺好一般般,1111175879,Qou435433030,3.0,2
137,赤峰,,挺好看的 很不错,1111173643,杜莉莉哇,4.5,2
138,开封,,剧情都能猜到,1111176087,楚王曾此梦瑶姬,4.0,2
139,嵩明县,2,一点不好看。,1111174492,小泥巴芳,1.5,2
140,九江,,很好看，建议大家去看,1111170941,徐尐尐、,5.0,2
141,太原,1,有一说一，女主好看,1111172299,l吕瑞林,5.0,2
142,苏州,,一般般，并不是很好看,1111170590,遗失的流年275,3.5,2
143,宝鸡,,珍惜眼前，是最好的,1111152602,天下6贼,5.0,2
144,哈尔滨,,太感人了我喜欢,1111149670,别动晨晨的小🐻,5.0,1
145,兰州,,一般没什么感觉,1111166958,只不过wan,2.5,1
146,天津,2,时光错过不会再来,1111172129,yezirong0412.,4.5,3
147,南昌,,一般般值得一看吧,1111167864,VYR251933750,2.5,2
148,河源,1,还不错挺喜欢的,1111125807,XTV113516503,5.0,2
149,新余,,演出了三个世纪的故事。个人认为演的非常不错。,1111170101,萱儿,5.0,1
150,石家庄,,"好看
！！！！！",1111165563,WWMM9090,5.0,2
151,临沂,,一般一般，不是特别好看,1111167422,古妖岚,1.5,1
152,仁寿,2,2020年看的第一部电影，感动,1111166428,Palpitate.,5.0,2
