,城市名称,用户性别,评论,用户id,用户昵称,用户评分,用户等级
65,北京,2,演员跑的挺快。嗖嗖的,1111233616,xiaokeai🙈,5.0,2
66,西安,2,"不好看没意思

",1111234279,咚吧啦,2.5,1
67,西安,,苦难中的人性微光,1111235151,tRj294574206,5.0,3
68,西安,2,一下子就把我带回那个年代，感慨万千哦.剧中人物形象设计鲜明.太入心了,1111232954,杨月梅（通贵）,4.0,2
69,烟台,,今年看过最好的一部电影!,1111225055,PEa690632485,5.0,3
70,南宁,2,张导的影片总是那么接地气！那个年代的那些事本是不该发生的事。,1111234199,🌸 守心自暖,5.0,4
71,常熟,,不错挺好的！,1111236004,NLR601862486,3.0,2
72,惠州,,很有深度的一部电影,1111234188,szjim92,4.5,5
73,西安,,没看明白，有点困，,1111137817,大大大阳光媛,2.5,2
74,北京,,演技在线，刘浩存好美,1111218375,朱皓轩zhx,5.0,2
75,都江堰,2,主角演技在线，但是故事线平平，没有亮点,1111230951,Julie,3.0,2
76,锦州,1,"1秒钟是父亲见到孩子的1秒钟
1秒钟是记录生活的一个短暂瞬间。
1秒钟是姐姐和弟弟的短暂重逢。
1秒钟能够找到这张胶卷。
1秒钟可以不让刘弟弟受到伤害。
1秒钟是我2020年看到最好的电影！",1111230904,玖捌玖陆陆,5.0,2
77,连云港,2,我觉得还可以,1111206974,耳语,5.0,2
78,昆明,,演技都挺好，为了张译来的，但是剧情一分钟都看不下去。 ,1111233261,uninhibited499,1.5,3
79,兰州,,挺好看的，不错的,1111229969,曲院～风荷,5.0,2
80,唐山,,一秒钟，真的很短......,1111229965,💭,5.0,2
81,大连,2,来看看吧  挺好的,1111230854,阿霞📿15640866966,5.0,1
82,沈阳,1,不如看英雄儿女了,1111232583,好好学习，天天写字,0.0,2
83,郑州,,还不错啊！👍,1111231683,ikq396894681,4.5,2
84,南京,,平凡的人们，不平凡的人生,1111229688,zZK731319224,4.0,1
85,重庆,2,好看，细腻而深刻。,1111205792,杜老,5.0,2
86,贵阳,2,没有想象中的那么好看,1111227809,uJv22831704,3.5,2
87,长沙,,电影好看好看好看 给10分完全不辜负！！！,1111230417,uli120381110,5.0,2
88,綦江,2,朴实中见人性本质！干净、利落、真诚的人性表达。,1111232169,桃子,5.0,1
