,城市名称,用户性别,评论,用户id,用户昵称,用户评分,用户等级
0,吴江,,好看刺激惊心动魄,1111248466,camile佩佩,5.0,1
1,德州,,"演技炸裂，非常经典，最后结局的确有些简单，不过打斗戏很激烈
",1111249677,日落黄昏才思君,5.0,2
2,南京,,剧情一般般吧。演技还可以,1111219309,wSv885765589,3.0,2
3,巴彦淖尔,1,六碗面要做多久，告诉他们，我请客。,1111249624,不搭。,5.0,3
4,杭州,,真不错，值得看,1111253131,yrH992862960,5.0,2
5,重庆,1,有出彩的情节，但剧情逻辑性不强,1111250281,会飞的公鸡,3.5,4
6,泌阳,1,好不错 完美,1111253112,随性随风吹,4.5,2
7,常州,1,还不错，推荐一下,1111237249,jc8691123,5.0,2
8,上海,,没有期待的好看,1111226894,遇见最好的自己yn,5.0,3
9,西安,,真实事件是最大看点，演员演技也还是可以，但是整体的悬疑性不够，看起来太轻松,1111250240,大头佛99,4.0,2
10,沈阳,,非常好看、我看的是晚十点多的，回家睡不着觉了。,1111249550,WeY126887956,4.5,2
11,北京,,两大男主演技炸裂呀 尤其阿祖,1111248362,Atria_,5.0,3
12,呼和浩特,,我觉得挺好看的呀，最起码不拖沓,1111248358,郝宝宝1314,4.0,2
13,内江,1,"哈哈哈
安逸，",1111249535,闻晓武,4.5,1
14,调兵山,,对于国产来说 还可以吧 打斗的戏挺好的 真实事件改变的 挺好,1111251047,wVR364338718,4.0,2
15,龙海,,挺不错的 好看,1111249507,bjb848809797,5.0,3
16,滕州,,挺好的。。。。。,1111251008,刘信LiuXin,4.5,2
17,滕州,,好(✪▽✪),1111253002,姗姗来迟呦,4.0,2
18,楚雄,,"很精彩呢！
",1111251003,uDR286165251,5.0,2
19,辽阳,,就喜欢看这种电影,1111247995,DlA268537246,5.0,4
20,广元,,好看…………,1111225861,淺笑笑、,5.0,2
21,长春,2,很好看，枪战效果很逼真！情节激烈，有内容，值得一看。,1111200035,zgy朱莉叶,4.0,2
22,肥东县,1,估计删减了不少，造成有些不连贯，希望以后能看到为删版,1111225833,TOh384908602,5.0,3
23,广州,,我觉得挺好看的，真实改编的电影,1111250074,Yookki小蛋,5.0,3
24,太原,1,情节紧凑，故事真实,1111250070,yLH865474416,4.0,1
25,句容,1,阿祖的演技我是相信的，王千源也是老演员了，不错的,1111225819,曼奇尼多云,4.5,3
26,北京,,期待值太高，有落差。,1111247872,童童悦悦的爸爸,3.0,4
27,株洲,1,吴彦祖撑起了整部剧,1111248196,UserChao88,3.0,2
28,牡丹江,1,还行吧。。。,1111248195,彭纳尔多,3.5,2
29,台州,2,"好看……

",1111247835,尘缘0929,5.0,2
30,涟水,,还行吧，，，,1111219235,浅夏、蔷薇】,3.5,2
31,重庆,,还可以，不错将就看。,1111249294,没德名字,4.5,2
32,珠海,1,演技真心不错,1111245810,叾屾,4.0,2
33,柳州,2,还好吧，也可以去看看,1111249274,DL多多DL,4.0,2
34,宿迁,1,不好看，粗制滥造,1111249266,黑鲨,0.0,2
35,天津,1,挺不错的电影，主要是我们还包场了,1111247729,Wang浅反,5.0,2
36,成都,1,叔叔们也太不容易了吧,1111249231,wNU371280112,3.5,4
