,城市名称,用户性别,评论,用户id,用户昵称,用户评分,用户等级
0,武汉,,还可以吧，剧情老套！！！！！,1111265317,咔吃咔吃好吃好吃,3.5,2
1,阎良,,好看，感觉不错,1111260709,LfU885566099,5.0,3
2,宝鸡,,"！！！！可以
",1111264267,SHineyZHang,4.5,2
3,北京,,还不错，挺好看的,1111258771,HCr251401025,5.0,1
4,西安,,蛮好看的，剧情紧凑,1111257809,醒醒小公举,4.5,3
5,北京,,不错 一如既往的好看,1111246233,Fop661640323,5.0,1
6,枝江,,垃圾不好看😔,1111244402,SFb448592953,1.5,1
7,枝江,,垃圾不好看😔,1111258594,SFb448592953,1.5,1
8,江门,,不错，可以去看看！,1111257572,_qq8hf1437397854,4.0,2
9,广州,1,好看吧，非要评论,1111243349,该用户还没昵称,3.5,2
10,慈溪,1,IP默默聚居于兔兔啦啦啦,1111257362,乔山强,4.5,2
11,成都,,精彩，好看。,1111243277,彩色M豆,5.0,1
12,哈尔滨,,大爱这个喜欢,1111256309,A.姜小歪,4.5,3
13,合川,,好看，值得观看,1111250908,HQF456370079,5.0,2
14,宜兴,1,主要是给古天乐打分，港片已经没落了,1111251524,黑山老妖T,3.5,3
15,白城,,好看，忘了评价了,1111251350,GtV988835590,5.0,2
16,武汉,2,电影挺不错的！,1111250210,墨黯香辰,4.5,2
17,柳州,2,嗯，还不错，可以去看看,1111249287,DL多多DL,4.5,2
18,吴川,1,不错很好非常好,1111245771,jyK744889660,4.5,1
19,佛山,,好看！非常喜欢,1111242829,rMn190310876,4.5,2
20,郑州,2,好看的很！！,1111242771,美少女壮士kay,5.0,3
21,遂宁,1,还可以！！！,1111242340,肖桂元520,5.0,1
22,雅安,1,挺好，支持古校长,1111234995,初来乍到sS,4.5,2
23,驻马店,,还不错还不错,1111236769,gao418657041,5.0,2
24,成都,1,不错；很好看的哦,1111233620,孤独成瘾1234,5.0,1
25,天津,,很一般没啥意思,1111231755,dQY396561099,2.5,2
26,南宁,,挺好看的！！值得一看,1111205762,卢家二哥哥,3.5,2
27,长沙,1,好看，值得一看,1062621672,Der Fremde,5.0,1
28,常州,,不错的电影， 值得一看,1111231272,iHW330976320,5.0,1
29,包头,,好看，赞赞赞,1111223939,Ssf858857759,5.0,2
30,咸宁,2,好看。喜欢古天乐的每一部电影,1111223057,微笑很迷人8,4.5,2
31,中山,,还行吧，就那样,1111197613,林词忆,4.0,2
32,常州,1,不错的 很好看,1111220239,鞍马GG,5.0,2
33,深圳,,很好看的哦，建议看看,1111217460,领风521,4.5,1
34,太原,2,不错👌👌👍,1111137513,臭美的灵芝宝宝,5.0,4
35,珠海,,"好看好看的
",1111214489,SMJ402061162,5.0,1
36,长葛,,都忘了看的情节了,1111214215,_qq2nm1435369739,4.0,2
37,烟台,1,这个系列的电影一直在看，最近港片也越来越少了，期待有更好看的,1111212836,Murakamim,4.5,2
38,广州,1,港产片没落.,1111209965,无敌铁金刚19K,4.5,2
39,广州,,这个都知道的啦  老戏骨    果断跟上,1111189828,XOm378647126,5.0,2
40,金华,,还算OK吧 看了都忘了,1111211650,Dec531076560,4.5,2
41,襄阳,,正能量片子，喜欢看,1111211499,星月很赞哒哒哒,3.5,2
42,抚州,1,好看看哈你明明哦,1111191487,nZF178750710,4.5,3
43,蚌埠,2,🤩🤩🤩,1111207356,l陌陌l33,5.0,3
44,北京,,还不错，值得看,1111208177,wt7692,3.5,3
45,南昌,,还可以，不错不错,1111188375,PMS291335873,4.5,2
46,青岛,,个人感觉还不错,1111189334,ojN495109256,4.0,3
47,深圳,2,还不错咯哈哈,1111204142,慧发财哇,5.0,2
48,深圳,,非常精彩  ,1111204080,_weixin072666105,5.0,3
49,深圳,2,震撼心灵，不错的电影！,1111156826,彭C清,5.0,1
50,鸡西,,还行，感觉还不错,1111194843,BKQ511142057,3.5,2
51,广州,1,很好看，是的,1111194553,zXM547636793,5.0,2
52,昆明,2,还可以  这个系列追完了,1111192497,再见萨菲娜,3.5,3
53,南充,2,中国的电影我就是喜欢,1111168743,CY19720811,5.0,1
54,即墨,,好看快去看吧,1111171591,我问你能伴我多久,5.0,2
55,汉中,,还可以还可以,1111183886,Yesiyuaaa,5.0,1
56,韶关,1,"66666
",1111185669,wakeup丶d,4.5,3
57,许昌,2,不得不说港剧真的太好看了,1111184956,UAI426741347,5.0,2
58,河源,,hao kan,1111186317,wXI673895703,5.0,2
59,海口,2,总之还可以吧！,1111168124,郭王子硕,4.5,2
60,濮阳,1,还好，代入感一般,1111181231,sunnyery,4.0,3
61,天津,2,和弟弟一起看的，挺好,1111176750,柠萌桃子酱,4.5,2
62,博山,1,不哭等不及时间也不够,1111175908,sun小年轻,4.0,2
63,盐城,,还行吧哈哈哈,1111170940,风与风筝GaGa,4.5,1
64,深圳,1,不错，还有港产片的余味,1111151671,士多CEO,5.0,2
65,长春,2,🙂🙂🙂,1111125883,养猪的仙女527528,0.0,2
66,烟台,,还可以 连续剧,1111174062,CaptainSun22,4.0,2
67,肇庆,,好看，全部是实力演员,1111174013,马蹄糕218,4.5,2
68,宜宾,2,一般般吧…………,1111161081,azF260188600,2.5,1
69,湘潭,,值得观看……,1111165076,iai761720402,5.0,2
70,西安,,明送__省__市__街道__小区__单元__室,1111163352,以后要少吃外卖,4.5,3
71,珠海,1,值得一看。。,1111160790,_qqms51369560088,5.0,2
72,海口,,不错，很好看,1111160732,DtT940648524,5.0,1
73,长沙,,好看，可以，挺好,1111162406,帕比熊王,5.0,1
74,石家庄,,好看。       ,1111155981,今天開伈了嗎,4.5,1
75,杭州,,好看，非常喜欢。,1111160028,glm495420261,5.0,2
76,延边,,古天乐还是很帅,1111155451,FQL824963008,4.0,1
77,广州,,剧情还是比较好看的,1111125284,BLZ569585586,4.0,2
78,成都,,很不错的电影，剧情很真实，逻辑性很强,1111153246,vdS687091303,4.5,4
79,新沂,1,这部电影她想看，快下架的时候，我们去了很远的影城去看的，和她只看过这么一次,1111153172,我是你的帅帅哥,5.0,2
80,青岛,,确实挺精彩的,1111150298,CJK223,5.0,3
81,淮安,1,很好呢哈哈不错,1111146561,酒仙吃评专用号,4.5,1
82,自贡,,非常不错，值得一看,1111134251,奈何泪599916599,5.0,2
83,成都,,纯商业片。。。。。,1111140989,灬亚力大,3.0,2
84,九江,,非常喜欢！！,1111139534,罗氏影虫,4.5,3
85,广州,,还行  视觉感好,1111136630,罗伯特唐尼1994,5.0,1
86,常州,,还好吧，可以,1111135863,WYHLL花,3.5,2
87,张家界,2,非常好看，点赞！,1111135382,EDGMeiko的小迷妹,5.0,1
88,武汉,,还不错，值得一看,1111132799,slg190056607,4.5,2
89,钟祥,2,不错 一直在看这个系列,1111111569,zxtvsudan,4.5,2
90,盐城,2,还行吧，没看,1111132264,蕾13,3.5,1
91,长沙,,"好好看
    ",1111129076,YGs334982192,4.5,3
92,苏州,1,好看呜呜欧  ,1111129060,L鱼丸,4.5,2
93,桐庐,,超级好看哈哈,1111126899,xudong61,5.0,1
94,顺德,1,精彩好看不错,1111127462,Yqt971656817,5.0,1
95,梧州,,好看，棒棒的！,1111126692,gig861180114,5.0,2
96,益阳,,还行吧。。。。,1111122953,独～白。,3.5,2
97,即墨,,香港电影就是好看，喜欢看🇭🇰片,1111123253,Wnv730552627,5.0,4
98,广州,1,还不错，挺好的,1111123166,马健生MJ,4.5,2
99,成都,,很好看^ω^,1111120448,niU131910513,3.5,1
100,佛山,,好看，非常精彩,1111116920,秋星辰,5.0,3
101,广州,,很好看，爱了,1111102223,Alex陈鑫淼,5.0,2
102,东莞,,😯不错不错,1111108340,but850261401,3.5,3
103,佛山,2,剧情都快忘记了还没评价,1111096492,无终＊,5.0,2
104,沈阳,1,非常好看，推荐,1111089006,朝阳亮哥,5.0,2
105,高陵,2,挺好的，重新又看了之前的几部,1111087373,uKv819430142,4.5,2
106,曲靖,,哼好看，特别好看,1111081994,cpV751193610,5.0,2
107,石狮,,我觉得一般般,1111076922,sofia依然,2.5,1
108,桂林,2,"好看推荐

",1111061810,ahu269445507,4.5,2
109,上饶,2,好看的嘞。嘿嘿,1111043545,Auc37007302,5.0,1
110,厦门,,还行，比较喜欢漫威的，,1111055525,王小猪耶嗯哼,5.0,3
111,中山,1,还可以，港片特色,1111045629,boby005,4.0,2
112,深圳,2,不错哦！一般的,1111035171,少年乀不忘初心,5.0,2
113,仙游县,,不错的。很好很好,1110999811,拉芒er,4.5,1
114,重庆,,一般一般，没啥特别值得推荐的。,1111033923,HpY133858066,4.0,3
115,合肥,1,很好看的电影,1111040006,gchl1977,4.0,1
116,广州,,反贪系列追就好了,1111032887,gqU652019032,4.5,3
117,襄阳,2,好看！！！！,1110944703,aZF314228348,4.5,2
118,成都,,很好，支持支持支持,1111033295,S苏旋,4.5,2
119,柳州,,和你说中智哥啊哈哈,1111033190,九点哥,5.0,2
120,防城港,,挺不错的电影好看,1111027219,李润缘,4.5,1
121,丽水,,突然跳出我不知道这么说,1111022904,我不错,5.0,1
122,泉州,1,挺好看的不错,1111005314,NUT866234175,4.0,2
123,阜阳,2,好看的真好啊,1110991596,hWU449933248,4.5,2
