,城市名称,用户性别,评论,用户id,用户昵称,用户评分,用户等级
82,揭阳,1,提好的，哈哈哈哈,1111203710,小岳嘉,4.5,2
83,广州,,哈哈哈哈我的话,1111188424,zhoushu1019,4.5,3
84,西安,,太好看了，强力推荐,1111202946,wy我的好兄弟,4.5,2
85,长春,2,看后觉得一般吧。,1111202875,crv93005554,4.5,1
86,深圳,,还可以了。。。。,1111202847,玲玲玲九,4.5,2
87,北京,,挺好的哈哈哈哈吧,1111201601,xy小野xy,3.5,2
88,潍坊,,真好看，确实不容易,1111201600,八部老几康师傅并,5.0,2
89,郑州,2,好看死了，跟朋友一起去的，超激动,1111156887,QJd398771194,4.5,2
90,永登县,,看得我热泪盈眶最后看哭了,1111202718,HUZI你的虎子,5.0,2
91,重庆,2,就那样吧，看着我矫情,1111188319,G不鸡,3.0,1
92,合肥,2,没想到会得最佳,1111199426,汪礼迎,4.5,3
93,长春,,这个郎导，太有气势了,1111156813,被遗弃的情兽,5.0,3
94,成都,,还不错的哈 ,1111198800,Zld908317920,5.0,2
95,天津,1,很好！很励志！,1111195985,尘埃123098,5.0,2
96,绵阳,,感受很深，有情怀,1111201121,SunShine学长,5.0,2
97,泰州,1,还行，就是没有名字太难受了,1111178554,hua0523,4.0,1
98,济南,,体育精神牛逼,1111178519,LA丶LBJ,5.0,2
99,北京,,挺好看的 。,1111195815,ITx980515629,4.0,2
100,佛山,,好看。很不错,1111202067,LcL379163921,5.0,2
101,南通,,热血沸腾！冲,1111198479,雅思12,3.5,2
102,北京,,很感动，昔日从演,1111195780,jMr898254736,4.5,3
103,洛阳,,好看，强推！,1111188112,Mav886666925,5.0,1
104,晋江市,,中国排球精神值得我学习,1111192978,nCu422842153,5.0,3
105,娄底,,第一次给我们一家人买的电影票，看的很感动,1111189088,css898773034,5.0,2
106,宿迁,2,很好看，拍的很不错,1111196948,treble2014,4.5,3
107,南京,2,还是挺好看的,1111194754,圈圈圈灬,5.0,3
108,上海,,非常好看，值得一看,1111198224,pYu359640691,5.0,3
109,邯郸,2,期待太高了，不过还是热血沸腾,1111198217,imWendy1325,4.0,2
110,宿迁,2,好看，女排粉,1111188004,benjao,4.5,2
111,北京,,好看励志经典,1111168968,_qqd4k1439367875,5.0,1
112,锡林郭勒,1,一般。。。。,1111196549,Sliory,4.5,2
113,西安,1,不错，巩俐把郎平还原的不错，黄渤还原的陈忠和不是很像，行为举止看不太出陈忠和的味,1111193984,秦时南月,4.5,2
114,阿拉善盟,,看的我热血沸腾,1111137166,这个冬天热不热,5.0,4
115,长沙,,还可以的，推荐,1111195309,bluesakura250,4.5,2
116,邹城,,很好，至永远在拼搏的人们,1111193887,ESE796613360,4.5,3
117,南京,1,很用心的一部片子,1111169920,吊炸天的周总,4.5,2
118,深圳,,中国女排  加油,1111192516,tkE972332659,5.0,3
119,慈利,,感受夺冠历程 ,1111193732,BTm854930306,5.0,2
120,运城,2,感觉不大，不是很有触感,1111196221,ewg312129912,3.5,2
121,永康,1,值票价钱，好看的电影。,1111193709,人男小,4.5,4
122,北京,,挺不错的。喜欢😊。,1111196185,wLa240150548,4.5,1
