,城市名称,用户性别,评论,用户id,用户昵称,用户评分,用户等级
80,遵义,2,车主金卡，加油88折领取步骤，非常简单方便快捷1分钟搞定[转圈][转圈][转圈]车主金卡，加油88折领取步骤，非常简单方便快捷1分钟搞定[转圈][转圈][转圈]车主金卡，加油88折领取步骤，非常简单方便快捷1分钟搞定[转圈][转圈][转圈]车主金卡，加油88折领取步骤，非常简单方便快捷1分钟搞定[转圈][转圈][转圈],1111233958,zhC538235230,5.0,2
81,汤阴,,好看！特别好看,1111233868,NCs395726513,5.0,2
82,河源,1,感人至极，好评如潮,1111238167,ZzDyq0419,4.5,3
83,焦作,,电影很不错的,1111236341,小仙女的饲养员66,5.0,2
84,合肥,2,今年到目前为止看的最好看的一部电影了，和麻麻一起去的，欢笑声不断~,1111234505,喵小小小奇,4.5,1
85,武汉,2,很好看哦！满满的感动,1111235328,BWd600612723,4.0,1
86,武汉,,故事情节生动,1111236256,滴滴滴滴sss,4.5,2
87,北京,2,我和妈妈一起看的，我俩都觉得很好,1111236235,wRv48232331,4.5,2
88,江门,1,有笑点有泪点，黄渤的UFO全场都笑了,1111137844,为啥会胖,5.0,1
89,鹿邑,1,剧情三个片段，讲了三个故事，幽默中带着感动,1111238053,小鸡小鸡小鸡蘑菇,4.5,2
90,长春,,"好
看的。喜欢",1111218478,炒番茄007,4.5,2
91,兰州,2,不错，和家人一起看的。,1111210975,KBo106962009,4.5,2
92,丹东,,非常好，很喜欢,1111238036,wnj744068671,4.0,2
93,西安,,好看！起码是很轻松搞笑的，让人心情比较爽,1111232987,IMx209403118,4.0,2
94,驻马店,,挺感人的一部电影。很喜欢。,1111225095,ESY456936515,5.0,2
95,西安,,挺感人的，女朋友都看哭了,1111210951,河豚ing,5.0,2
96,太原,,和对象一起看的那必须好看呀,1111233629,陪你去看海.🌊,5.0,1
97,大连,2,超级好看！！,1111226054,我是雪雪阿,5.0,2
98,盘锦,2,🍀🍀🍀🍀,1111232951,傻婷子19971229,5.0,2
99,临沂,,还行吧666,1111187819,mm大佬6,3.0,2
100,中山,1,有史以来看过最值得深思的电影！徐峥演技还是那么棒,1111234206,pKj177692942,4.5,2
