,城市名称,用户性别,评论,用户id,用户昵称,用户评分,用户等级
0,深圳,,带小孩一起看，还不错。,1111245818,无色心境,4.0,2
1,昆明,,不错好看完美,1111241565,zsq1161505110,5.0,2
2,湘潭,,挺好，适合小朋友看,1111226591,小陈laila,4.5,3
3,杭州,,非常好看的电影,1111242573,HuYun726,5.0,4
4,遵义,,不错…………,1111240248,EMP1.1.3.7.5.3,5.0,2
5,黄山,,很好的体验，非常喜欢,1111240076,鱼深深,4.5,2
6,怀化,2,很好看，非常好看,1111218569,颖崽music,5.0,2
7,兰州,2,女孩都喜欢的片子，很喜欢,1111187866,KBo106962009,4.5,2
8,毕节,,一般般的好看,1111236266,aa饿死啦aa,4.0,2
9,南昌,,挺好看的……,1111232881,CHEN燕婷。,5.0,2
10,上虞,2,推荐，很好看啦,1111233125,旺旺本仙,5.0,1
11,从化,2,有意思，孩子们很喜欢！歌曲很洗脑！不错，值得推荐！分享！,1111229805,Yellow酱1990,0.0,1
12,郑州,2,好看的一批:D,1111231587,S_Jingyi.,5.0,2
13,梅州,,很适合跟女朋友去看，歌挺好听的，典型的迪士尼动漫片,1111232351,WLT843220751,4.5,3
14,淄博,1,非常好，超级棒,1111231433,姜能猛,4.5,3
15,临汾,,很好看。肯定不一样,1111224972,mt7772_1976,4.5,2
16,贵阳,1,一般，还行吧,1111210489,兼程丶,4.0,2
17,丽水,1,拉个骷髅头婆婆去,1111223737,不负韶华’,5.0,1
18,泰安,2,孩子很喜欢看,1111221853,zpa749504872,5.0,3
19,重庆,,强烈推荐！！！,1111137643,海菲菲NASA2,5.0,2
20,云浮,,不错，很好。,1111221527,忧星卅,5.0,2
21,渭南,2,专门带孩子去看的，很好,1111222390,xlhhot,4.5,1
22,贵阳,2,很喜欢丽莎。,1111206346,玥婷团购,5.0,2
23,北京,,很好，值得推荐,1111216905,果果优优21,5.0,2
24,济宁,2,嗯，挺好的啊啊,1111217943,我摘桃桃换茶吃,4.5,1
25,无锡,,好看好看，宝宝喜欢的。,1111217702,fxZ295358401,4.5,2
26,北京,,适合带孩子看,1111220147,万有引力给力,4.5,3
27,惠州,,很好看，妹妹超级喜欢,1111216418,ptA166754538,4.5,2
28,九江,,还可以，，，，,1111188904,口误咯,3.5,2
29,新乡,,很喜欢💕！,1111211776,ugf791118279,4.5,2
30,凉山,,特效一级棒！,1111213122,Tqh939791994,5.0,3
