,姓名,性别,出生日期（计算值）,职位,年龄,学历,简介
0,王龙祥,男,1971,"董事长,法定代表人,董事",49,大专,"王龙祥先生:中国国籍,1971年11月出生,会计师,大专学历。1990年参加工作以来,一直从事公司财务管理工作。历任公司主管会计、财务科长、财务部会计负责人。2007年至今任山东登海种业股份有限公司财务总监。2018年10月至今兼任河南登海正粮种业有限公司、河南登海中研种业有限公司董事长。未兼任其他单位职务。于2019年4月17日因换届辞去山东登海种业股份有限公司财务总监职务,于2019年4月18日被山东登海种业股份有限公司任命为董事长和法定代表人职务."
1,李登海,男,1949,名誉董事长,71,大专,"李登海先生:中国国籍,1949年9月出生,大专学历,研究员。曾经担任的重要职务和任期:1990-1998年,全国杂交玉米专家顾问组成员;1993-1998年,农业部种植业专家顾问组成员、国家科委中国农业及农村科学技术专家咨询委员会委员;1997年1月至2007年3月全国农作物品种审定委员会玉米专业委员会委员;2002年至今山东农业大学教授;2006年8月至今中国种子协会副会长;2006年10月至今中国作物学会常务理事;中共十四大代表;第八届全国人大代表、常委;第八届全国青联副主席;第九届全国人大代表、常委兼全国人大农业与农村委员会委员;第十届全国人大代表、全国人大农业与农村委员会委员;现为中共十七大代表;第十一届全国人大代表、全国人大农业与农村委员会委员、中共第九届山东省委委员。现任山东登海种业股份有限公司董事长,山东登海先锋种业有限公司董事长,国家玉米工程研究中心(山东)主任。主要成果:1972年至今,进行紧凑型玉米杂交种的育种研究,主持选育了30多个在我国玉米生产上应用的玉米骨干自交系,育成48个通过省级以上审定的玉米杂交种。先后主持39项国家和省部级课题,2007年主持承担“十一五”国家支撑计划“超级玉米新品种选育与产业化开发”重点项目。2008年1月,“一种玉米杂交制种方法”获得第十届中国专利优秀奖。获得的奖励:先后有13项科研成果获省部级以上奖励。1981年,“春玉米亩产1800斤栽培技术”获山东省科委科技成果二等奖;1983年,“高产、优质玉米自交系掖107及其单交种掖单2号”获山东省科委科技成果二等奖;1989年,“玉米良种选育及其推广”获国家星火一等奖;1991年,“山东省220万亩吨粮田科技开发与管理”获山东省星火一等奖;1992年,“山东省220万亩吨粮田科技开发”获国家星火二等奖;1995年,“紧凑、高产玉米新品种掖单13号选育”获山东省科技进步一等奖;1995年,荣获“亚洲农业研究发展基金奖”;1997年,“紧凑型玉米新品种开发应用”获山东省科技星火一等奖;1997年,“高产玉米新品种掖单12号选育”获农业部科技成果二等奖;1998年,“高产玉米新品种掖单12号选育”获国家科技进步三等奖;2001年,“高产抗病玉米新品种掖单22号选育”获山东省科技进步二等奖;2004年,“高产玉米新品种掖单13号的选育和推广”获国家科技进步一等奖;2005年11月,“优良玉米自交系‘478’的选育与应用”获山东省科技进步一等奖;2005年,荣获亚太地区种子协会“中国玉米产业重大贡献奖”;2007年4月,山东省科学技术最高奖;2008年4、12月,分别获得第二届中华农业英才奖、国家第四届发明创业奖;2009年被评为中国民营科技发展功勋企业家;2009年4月,被中国发明协会、国家科学技术奖励工作办公室等单位联合授予“第四届中国发明创业奖特等奖”,同时荣获“中国当代发明家”荣誉称号;2009年9月,当选“双百”新中国成立以来感动中国人物;2010年1月荣获CCTV2009年度三农人物。2019年4月11日因换届辞去山东登海种业股份有限公司董事。"
2,颜理想,男,1979,"总经理,非独立董事",41,本科,"颜理想先生:中国国籍,1979年11月出生,中共党员,大学本科学历。2002年参加工作以来,一直从事紧凑型玉米新品种的推广、销售工作。历任山东登海种业股份有限公司山东大区销售经理、营销中心副经理、销售部副经理兼市场部经理、黄淮海东区大区销售经理、山东登海种业股份有限公司副总经理、董事长助理。未兼任其他单位职务。于2019年4月17日因换届辞去山东登海种业股份有限公司副总经理职务,于2019年4月18日被山东登海种业股份有限公司任命为总经理职务"
3,李小霞,女,1965,董事长助理,55,大专,"李小霞女士:中国国籍,1965年10月出生,大专学历。1995年至1999年任莱州市农业科学院院长助理;1999年9月至2001年任登海种业辽南办事处主任;2001年至2007年4月任山东登海种业股份有限公司区域经理,兼任山东登海种业股份有限公司农业高科技研究院辽南试验站站长;2007年5月至2013年5月任山东登海种业股份有限公司总经理;2013年5月28日,任山东登海种业股份有限公司董事;2013年7月至2016年8月任青岛登海种业有限公司董事长;2014年9月任北京登海种业有限公司董事。2016年3月任黑龙江登海九科种业有限公司董事长;2016年8月任山东登海种业股份有限公司董事长助理;2016年11月任北京登海种业有限公司董事长;2016年12月任吉林登海种业有限公司董事长,未兼任其他单位职务。2019年4月11日因换届辞去山东登海种业股份有限公司董事。"
4,盛斋刚,男,1958,董事长助理,62,大专,"盛斋刚:男,中国国籍,1958年10月出生,农艺师,大专学历。1988年5月-1993年4月任莱州市玉米研究所副所长;1993年5月-1998年1月任莱州市农科院远征种子公司总经理;1998年1月-2000年11月任莱州市登海种业(集团)有限公司副总经理、三北公司总经理;2000年12月至2010年5月任登海种业副总经理,2007年7月至今任昌吉州登海种业有限公司董事长,2014年10月至至2016年12月任吉林登海种业有限公司董事长,2014年9月至2016年11月任北京登海种业有限公司董事长。2016年9月任泰安登海五岳泰山种业有限公司董事长,2016年8月任山东登海种业股份有限公司董事长助理,未在其他单位兼任职务。主要成果及获得的奖项:1994年,被中华人民共和国农业部授予紧凑型玉米试验、示范、推广""先进工作者""荣誉称号;1997年,""高产玉米新品种掖单12号选育""获农业部科技进步二等奖第5位完成人;1997年,""紧凑型玉米新品种开发应用""获山东省科技星火一等奖第4位主要完成人员。2003年,""高产玉米新品种掖单13号选育和推广""获国学科技进步一等奖第12位完成人。"
5,吴树科,男,1955,董事长助理,65,本科,"吴树科:男,中国国籍,1955年12月出生,高级农艺师,本科学历。1984年1月-1998年9月任西由种子公司副经理;1998年9月-2000年11月任莱州市登海种业(集团)有限公司副总经理兼中南公司总经理;2000年12月至2010年5月任登海种业副总经理,2011年2月至今任张掖市登海种业有限公司董事长,2011年8月至2018年1月任辽宁登海和泰种业科技有限公司董事长,2013年至今任山东登海道吉种业有限公司董事长、山东登海先锋种业有限公司董事长,2014年10月至2018年1月任辽宁登海种业有限公司董事长,2014年12月至2017年12月任山西登海种业有限公司菫事长,2015年4月至2017年12月今任陕西登海迪兴种业有限公司董事长。2016年8月任山东登海种业股份有限公司董事长助理,未在其他单位兼任职务。主要成果:1992年,""高产稳产大白菜新品种鲁白8号的选育与推广""获农业部科技进步三等奖第8位完成人;1995年,""早熟高产玉米新品种选育快繁技术开发""获莱州市科技进步一等奖第3位研究人员;1995年""早熟高产玉米新品种选育快繁技术研究""获烟台市科技进步一等奖第2位研究人员。"
6,程励,男,1972,"副总经理,非独立董事",48,本科,"程励先生:中国国籍,1972年2月出生,大学本科学历,助理农艺师。1994年参加工作以来,一直从事紧凑型玉米新品种的销售、生产工作,曾任山东登海种业股份有限公司营销中心副经理。现任山东登海种业股份有限公司董事、副总经理,山西登海种业股份有限公司董事长。"
7,原绍刚,男,1963,"副总经理,董事会秘书",57,大专,"原绍刚先生:中国国籍,1963年10月出生,大专学历,中共党员。1980年11月参加工作,历任山东镁矿矿长办公室和党委办公室主任、恒欣镁业总经理助理、矿党委委员等职。2007年8月应聘到山东登海种业股份有限公司(以下简称“公司”)工作至今。2008年1月被聘为公司董事会秘书。2010年8月至2019年4月被聘为公司董事会秘书、副总经理。2018年11月至今担任泰安登海五岳泰山种业有限公司、陕西登海迪兴种业有限公司董事长。未兼任其他单位职务。"
8,姜卫娟,女,1970,非独立董事,50,大专,"姜卫娟女士:中国国籍,1970年5月出生,中共党员,大专学历,高级农艺师。1987年参加工作以来,一直从事紧凑型玉米新品种选育和高产栽培研究工作,参与育成了多个“掖单”系列、“登海”系列紧凑型玉米新品种。曾任莱州市农科院玉米所副所长,山东省第六届农作物品种审定委员会委员。现任山东省登海种业股份有限公司玉米所所长,山东登海种业股份有限公司监事(职工代表监事),中共山东省十一次党代会代表,中共烟台市十三次党代会代表,山东省第七届农作物品种审定委员会委员。主要成果、奖励及荣誉称号:1992年,先后被烟台市团委和山东省团委授予“烟台市新长征突击手”荣誉称号和“山东省优秀团员”荣誉称号;1994年,“夏玉米亩产900斤高产规律及配套技术研究”获山东省科技进步三等奖第9位主要完成人员;1997年,“高产玉米新品种掖单12号选育”获农业部科技进步二等奖第3位主要完成人员;1999年,“高产玉米新品种掖单12号选育”获国家科技部科技进步三等奖第3位主要完成人员;1999年被莱州市团委授予“莱州市十大杰出青年”荣誉称号;2000年,被烟台市委、市政府授予“2001-2004年度专业技术拔尖人才”称号;2001年,“高产玉米新品种掖单22号选育”获山东省科技进步二等奖第3位主要完成人员;2004年1月“高产玉米新品种掖单13号选育和推广”获国家科技进步一等奖第9位主要完成人员;2014年,获中共中央组织部、人力资源和社会保障部、中国科学技术协会授予的“第十三届中国青年科技奖”;2015年获“烟台市五一劳动奖章”;2016年,获“山东省富民兴鲁劳动奖章”;2017年,被莱州市委、市政府授予“2017年度莱州市中青年有突出贡献专家”荣誉称号;2018年,被中共山东省委、山东省人民政府授予“山东省劳动模范”荣誉称号。"
9,唐世伟,女,1972,非独立董事,48,大专,"唐世伟女士:中国国籍,1972年4月出生,大专学历。1990年参加工作以来,一直从事紧凑型玉米新品种试验、示范推广及玉米新组合的参试、报审工作。曾任山东登海种业股份有限公司试验示范部主任,山东省种子协会副秘书长。曾任山东登海种业股份有限公司监事(职工代表监事),现任山东登海种业股份有限公司董事、山东登海种业股份有限公司高新技术研究院副院长,第四届国家玉米品种审定委员会委员,山东农学会副理事长。"
10,张锡泉,男,1953,非独立董事,67,中专,"张锡泉先生:中国国籍,1953年8月出生,中共党员,中专学历。1972年开始从事玉米新品种选育及推广销售工作。历任山东登海种业股份有限公司汇丰分公司经理、莱州登海西玉种业有限公司常务副总经理。现任山东登海种业股份有限公司西玉分公司经理、莱州市登海鲁丰种业股份有限公司董事长。1996年,被莱州市人民政府授予“劳动模范”荣誉称号。2019年4月起任山东登海种业股份有限公司非独立董事。"
