,姓名,性别,出生日期（计算值）,职位,年龄,学历,简介
0,刘辉,男,1967,"董事长,董事",53,硕士,"刘辉先生,生于1967年9月,中共党员,中国国籍,无境外永久居留权,毕业于上海水产大学淡水渔业专业,清华大学工商管理硕士,工程师。曾任农业部水产司主任科员,中水远洋渔业有限责任公司出国人员管理部副经理,北京中水远洋咨询服务有限公司董事、总经理,烟台海洋渔业有限公司董事、党委书记、总经理,中国水产总公司副总经理,中牧集团牡丹江军马场有限公司董事长、党委书记,淄博柴油机总公司董事长、党委书记,山东巨明机械有限公司董事长、党总支书记。现任中国渔船渔机渔具行业协会理事长,中国农业发展集团有限公司副总经理。2018年12月起任本公司董事、董事长、党委书记。"
1,陈章瑞,男,1963,"总经理,法定代表人,董事",57,硕士,"陈章瑞先生,1963年5月出生,中共党员,中国国籍,无境外永久居留权,毕业于华南农业大学作物遗传育种专业,农业工商管理硕士。曾任中国种子集团公司张掖分公司总经理、玉米种子事业部总经理,中国种子集团公司副总经理,中国农垦集团有限公司副总经理。2011年5月至2013年12月任本公司副总经理,2013年12月起历任本公司总经理、党委副书记、董事、董事长。现任本公司总经理、党委副书记。2014年4月起任本公司董事,2018年9月起任本公司总经理。"
2,何才文,男,1966,副总经理,54,本科,"何才文先生:生于1966年1月,中共党员,无境外永久居留权,毕业于北京农业大学农经学院,经济学学士。曾任农业部农业司科技处主任科员,农业部种植业管理司综合处处长、农药管理处处长、行业发展处处长,农业部种植业管理司副巡视员、副司长。2017年10月起任本公司副总经理。"
3,胡海涛,男,1976,"副总经理,董事会秘书",44,本科,"胡海涛先生,生于1976年6月,中共党员,中国国籍,无境外永久居留权,毕业于华中农业大学农业经济管理专业。曾任中国农业发展集团有限公司投资管理部副总经理,中农发山丹马场有限公司副总经理(挂职),山东巨明机械有限公司党总支副书记,中国农业发展集团有限公司运营与研发管理部副总经理。2018年8月任本公司副总经理,2018年10月起任本公司副总经理兼董事会秘书。"
4,李大伟,男,1966,副总经理,54,硕士,李大伟先生：生于1966年6月，中共党员，毕业于北京大学历史学系，硕士研究生。曾任中国农业发展集团有限公司总裁办公室主任、党委办公室主任，华农保险股份有限公司副总经理、党委副书记、纪委书记、工会主席。2016年9月起任本公司副总经理。
5,王晓明,男,1963,副总经理,57,本科,"王晓明先生:生于1963年8月,中共党员,无境外永久居留权,毕业于华中农业大学,农学学士,高级农艺师。曾任中国科学院植物研究所研究实习员,农业部全国农业技术推广总站主任科员,农业部东方花卉进出口公司部门经理、副总经理,广东省金稻种业有限公司总经理,中国种子集团有限公司部门经理、总经理助理、副总经理。2017年3月起任本公司副总经理。"
6,魏峰,男,1975,董事,45,本科,"魏峰先生,生于1975年10月,中共党员,中国国籍,无境外永久居留权,毕业于西北师范大学计算机及应用专业。曾任中国(水产)集团总公司科技与市场部业务经理,中国农业发展集团有限公司运营管理部副总经理,中国爱地集团公司董事、总经理、党委副书记。现任中国农业发展集团有限公司办公室主任、董事会办公室主任、党委办公室主任,兼任中国爱地集团有限公司董事。2020年4月起任中农发种业集团股份有限公司董事。"
7,周先标,男,1963,董事,57,硕士,周先标先生：生于1963年11月，中共党员，中国国籍，无境外永久居留权，毕业于对外经济贸易大学企业管理专业，硕士研究生，高级工程师。曾任中水集团远洋股份有限公司副总经理，中国水产舟山海洋渔业公司副总经理、董事、总经理、党委副书记，中农发集团国际农业合作开发有限公司董事、总经理、党总支书记，中国农垦(集团)总公司董事、党委书记、总经理。现任中国农垦(集团)总公司董事长、党委书记。
8,何安妮,女,1981,独立董事,39,硕士,"何安妮女士,生于1981年11月,中国国籍,无境外永久居留权,西南政法大学经济法专业研究生毕业,法学硕士。2006年参加工作,历任中豪律师集团律师、北京市两高律师事务所律师,现任北京市两高律师事务所高级合伙人、北京市朝阳区青联委员。2020年4月起任中农发种业集团股份有限公司董事。"
9,王一鸣,男,1966,独立董事,54,博士,"王一鸣,男,中国国籍,民建会员,1966年11月出生,江西大学数学系本科毕业,西安交通大学数学系硕士,中国科学院数学与系统科学研究院博士。自1997年10月,就职于北京大学经济学院金融系,现为教授、博士生导师,金融系主任、北京大学金融创新与发展研究中心主任。目前担任民建中央财金专门委员会副主任、中国系统工程学会常务理事、中国数学物理力学高新技术交叉学会常务理事、中国金融数量分析与计算委员会常务副主任、中国农村金融学会常务理事、2017年1月起中农发种业集团股份有限公司独立董事、珠海华金资本股份有限公司董事等职。2016年4月至今任梦网荣信科技集团股份有限公司独立董事。于2019年4月16日因换届辞去梦网荣信科技集团股份有限公司独立董事。"
10,周建如,女,1971,独立董事,49,双本科,"周建如女士:生于1971年8月,中国国籍,无境外永久居留权,成都科技大学皮革工程系制革专业本科,中国人民大学财务会计专业本科,双学士学位,中国注册税务师、中国注册会计师。曾任北京永信永税务师事务所部门经理,北京京强房地产开发有限公司财务经理,现任北京东方税佳税务师事务所有限责任公司副总经理,北京市注册税务师协会理事。2017年11月起任本公司独立董事。"
11,侯士忠,男,1965,"监事会主席,监事",55,本科,"侯士忠先生:生于1965年10月,中共党员,中国国籍,无境外永久居留权,毕业于中南财经大学、高级会计师。曾任农业部审计局干部,中国农业发展集团有限公司审计部副主任、财务资金部总经理,中国乡镇企业总公司副董事长、党委副书记、纪委书记,中国牧工商(集团)总公司董事。现任中国农业发展集团有限公司副总会计师、审计部主任、监事会办公室主任,兼任中牧实业股份有限公司监事会主席。2017年11月起担任本公司监事,12月起担任监事长。"
12,张永刚,男,1966,监事,54,中专,"张永刚先生:生于1966年7月,中共党员,无境外永久居留权,毕业于大同煤炭工业学校,财务会计专业,会计师。曾任中国水产湛江海洋渔业公司财务总监,中国农业发展集团有限公司财务资金部副经理、中国爱地集团监事。现任中国农业发展集团有限公司资金中心总经理。2017年11月起担任本公司监事。兼任中水集团远洋股份有限公司监事、中国农垦集团有限公司董事、山东巨明机械有限公司监事会主席。"
13,祁曙明,男,1973,职工代表监事,47,本科,"祁曙明先生,生于1973年11月,中国国籍,无境外永久居留权,中共党员。毕业于华中理工大学,大学本科学历。历任襄阳正大有限公司营业部主任、襄阳正大农业开发有限公司企划部经理、北京禾佳源农业科技开发有限公司副总经理。现任本公司综合部主任。2020年4月起任中农发种业集团股份有限公司职工监事。"
14,于雪冬,女,1971,总会计师,49,本科,"于雪冬女士,生于1971年12月,中共党员,无境外永久居留权,毕业于哈尔滨建筑大学会计学专业,会计师,高级国际财务管理师。2007年3月至2011年7月任中牧实业股份有限公司首席会计师兼财务中心常务副经理;2011年7月至2013年7月任中牧实业股份有限公司财务中心经理;2013年7月至今任中牧实业股份有限公司副总会计师兼财务中心经理;2017年3月至今任华农财产保险股份有限公司董事。2018年9月起任本公司总会计师。"
