,姓名,性别,出生日期（计算值）,职位,年龄,学历,简介
0,陈义斌,男,1973,"董事长,法定代表人,董事",47,硕士,"陈义斌:男,汉族,中共党员,1973年2月出生,工商管理硕士,高级经济师、注册会计师资格。1993年6月至1998年9月,先后任中国轻工业北京设计院助理工程师、工程师;历任中国信达资产管理股份有限公司股权管理部主管;中国资产管理股份有限公司河南省分公司副总经理;中国信达资产管理股份有限公司投资与资管部副总经理。现任中国信达资产管理股份有限公司战略客户三部副总经理;中国金谷信托有限责任公司董事;新疆融盛投资有限公司董事长;新疆库尔勒香梨股份有限公司董事长。"
1,王伟义,男,1970,"代理总经理,常务副总经理",50,本科,"王伟义:男,汉族,中共党员,1970年4月出生,本科,工程师。历任新疆布尔津县水电公司生产技术科科长、副经理;新疆布尔津县供电有限责任公司党支部副书记、总经理;新疆库尔勒银泉供水公司党支部书记、常务副总经理。现任新疆库尔勒香梨股份有限公司党委书记、常务副总经理。"
2,李春芳,女,1967,副总裁,53,本科,"李春芳:女,汉族,中共党员,1967年8月出生,本科,高级工程师。历任新疆库尔勒香梨股份有限公司果业分公司副总经理、总经理;销售公司经理。现任新疆库尔勒香梨股份有限公司副总经理。"
3,独文辉,男,1970,董事,50,本科,"独文辉:男,汉族,中共党员,1970年1月出生,本科,高级会计师。历任新疆昌源水务集团有限公司财务部经理;新疆库尔勒香梨股份有限公司董事长、监事会主席。现任新疆昌源水务集团有限公司党委副书记、副总经理兼总会计师;新疆库尔勒香梨股份有限公司董事。"
4,贾学琳,女,1986,董事,34,硕士,"贾学琳:女,汉族,中共党员,1986年8月出生,金融学硕士。历任中国信达资产管理股份有限公司投资与资管部业务经理、副经理、经理。现任中国信达资产管理股份有限公司业务管理部经理;新疆库尔勒香梨股份有限公司董事。"
5,张挺,男,1971,董事,49,本科,"张挺:男,汉族,中共党员,1971年6月出生,本科学历,中级经济师。历任中国建设银行惠州市分行驻香港、澳门公司财务负责人;中国建设银行惠州市分行国际业务部副总经理。现任深圳市建信投资发展有限公司执行董事、总经理;新疆库尔勒香梨股份有限公司董事。"
6,阿尔斯兰·阿迪里,男,1984,"董事会秘书,财务总监",36,硕士,"阿尔斯兰·阿迪里:男,维吾尔族,1984年1月出生,金融学硕士。历任中国信达资产管理股份有限公司新疆分公司业务一部业务经理;新疆分公司业务三部经理。现任新疆库尔勒香梨股份有限公司董事会秘书、财务总监。"
7,龚巧莉,女,1964,独立董事,56,硕士,"龚巧莉女士,1964年1月出生,中国籍,无境外永久居留权,硕士学历。现任新疆财经大学会计学院会计学教授,MBA、硕士生导师;1985年7月至今,任新疆财经大学会计学院教师。2013年3月至2019年12月任新疆兵团勘测设计院(集团)有限责任公司(非上市公司)外部董事;2015年3月至今任新疆库尔勒香梨股份有限公司独立董事;2015年10月至今任新疆交建集团股份有限公司独立董事;2016年5月至今任新疆惠尔农业科技股份有限公司(新三板公司)独立董事;新疆生产力促进中心财务评审专家;新疆科技厅财务评审专家;乌鲁木齐科技局财务评审专家;金蝶软件(新疆)有限公司外聘财务专家;自治区国资委稽查办外部稽查专家;新疆MBA企业家协会及自治区EMBA工商管理研究会专家顾问团顾问;2019年5月至今任青海湟中农村商业银行股份有限公司外部董事;2017年6月至今任公司独立董事。"
8,李疆,男,1958,独立董事,62,博士,"李疆:男,汉族,1958年4月出生,教授、博士生导师。现任新疆农业大学林学与园艺学院二级教授,森林培育学博士,果树学和作物遗传育种学博士生导师;兼任中国园艺学会常务理事;中国园艺学会干果分会副理事长;中国林学会经济林分会常务理事;新疆园艺学会副理事长;新疆林学会副理事长;《果树学报》、《经济林研究》、《中国果树》等学术刊物编委;新疆库尔勒香梨股份有限公司独立董事。"
9,李胜利,男,1965,独立董事,55,大专,"李胜利:男,汉族,1965年7月出生,专科。历任新疆巴州律师事务所(后改制为新疆天雪律师事务所)律师、副主任。现任新疆天雪律师事务所副主任;新疆库尔勒香梨股份有限公司独立董事。"
10,胡彦,女,1972,"监事会主席,监事",48,本科,"胡彦:女,汉族,1972年2月出生,中共党员,本科,高级经济师。历任新疆昌源水务集团有限公司人力资源部经理;新疆库尔勒香梨股份有限公司监事。现任新疆昌源水务集团有限公司党委委员、董事会办公室主任;新疆水利电力建设总公司党委书记、副总经理;新疆库尔勒香梨股份有限公司监事会主席。"
11,陈燕玲,女,1975,监事,45,本科,"陈燕玲:女,汉族,中共党员,1975年9月出生,本科,会计师。历任新疆新源县客运服务中心出纳;新源县运管站及新源县货运站主管会计;新疆昌源水务集团伊犁地方电力有限公司主管会计、财务科长。现任新疆昌源水务集团有限公司审计监察部副经理;新疆库尔勒香梨股份有限公司监事。"
12,张爱勇,男,1977,监事,43,本科,"张爱勇:男,汉族,1977年6月出生,籍贯甘肃,本科学历,会计师。历任新疆昌源水务集团有限公司财务资产部会计。现任新疆昌源水务集团有限公司财务部副经理、新疆库尔勒香梨股份有限公司监事。"
13,鲁金华,女,1978,职工监事,42,大专,"鲁金华:女,汉族,1978年9月出生,大专,助理人力资源管理师,历任新疆阿尔金畜牧股份有限公司办公室主任。现任新疆库尔勒香梨股份有限公司董事会办公室主管、职工监事。"
14,朱冬梅,女,1972,职工监事,48,本科,"朱冬梅:女,汉族,中共党员,1972年12月出生,本科,助理农艺师、行政管理师(高级)。历任新疆库尔勒香梨股份有限公司行政人事部秘书、总裁办秘书、负责人。现任新疆库尔勒香梨股份有限公司综合部经理、职工监事。"
