,姓名,性别,出生日期（计算值）,职位,年龄,学历,简介
0,李昌胜,男,1968,"董事长,法定代表人,董事",52,本科,"李昌胜先生,1968年出生,中国国籍,中共党员,大学学历,农艺师,2013年1月至2014年11月在新疆生产建设兵团第八师一四四团农业科负责畜牧、兽医站工作;2014年11月至2016年12月任新疆生产建设兵团第八师一四四团党政办公室主任;2016年12月至2019年1月任新疆天山军垦牧业有限责任公司筹备组组长,2019年5月至2019年10月任八师石河子现代农业投资有限公司法定代表人,2019年1月至2020年4月任新疆天山军垦牧业有限责任公司董事长。2020年5月27日担任新疆西部牧业股份有限公司董事职位。"
1,梁雷,男,1971,"副总经理,董事会秘书",49,本科,"梁雷先生:中国国籍,未拥有永久境外居留权,1971年9月出生,本科学历,中共党员,具有高级经济师、会计师专业技术职称。自2002年起在新疆天富热电股份有限公司证券投资部工作,2004年担任新疆天富热电股份有限公司资产管理部经理,2007年兼任新疆天富热电股份有限公司证券投资部经理,现任本公司副总经理、董事会秘书。"
2,周桂红,女,1968,"副总经理,董事,财务总监",52,本科,"周桂红女士,中国国籍,大学学历,会计师,1989年9月参加工作。1989年9月至2002年2月在石河子八一棉纺织厂印染分厂、总厂销售科、总厂财务部担任会计、主办会计、总账会计;2002年3月至2014年12月在石河子国有资产经营(集团)有限公司工作历任财务管理部主办会计、副部长、部长,2011年10月任总会计师;2015年1月至2018年2月任新疆生产建设兵团第八师国有资产监督管理委员会副主任;现任本公司董事、副总经理、财务总监。"
3,陈玉新,男,1970,董事,50,本科,"陈玉新先生,1970年5月出生,中国国籍,中共党员,本科学历,1995年参加工作。1995年至1999年在乌鲁木齐城建股份有限公司历任工程师;2000年至2012年在新疆石河子花园乳业有限公司任销售总监;2013年至今在新疆石河子花园乳业有限公司任总经理。现任本公司董事。"
4,高峻峰,男,,董事,--,本科,"高峻峰先生,中国国籍,中共党员,本科学历,会计师,1977年参加工作。1977年至1997年5月在石河子市第二毛纺厂工作,历任工人、财务室科员、副科长、科长;1997年6月至2009年6月在石河子市财政局工作,历任科员、副科长、科长;2009年7月至2014年2月在石河子市信用融资担保有限公司任总经理;2014年3月至2018年1月在石河子市天信投资发展有限公司任总经理;2018年2月至2018年8月任八师石河子市绿洲交通投资有限公司董事长;2018年9月任石河子国有资产经营(集团)有限公司党委委员、董事。现任本公司董事。"
5,韩宇泽,男,1964,董事,56,博士,"韩宇泽先生,1964年出生,中国国籍,中共党员,无境外居留权,博士学历。2007年1月至今,就职于上海永宣创业投资管理有限公司管理合伙人,上海联创永钧股权投资管理公司创始合伙人、董事长;兼任新疆西部牧业股份有限公司、新疆泰昆集团股份有限公司、北京卡联科技股份有限公司、北京京冶轴承有限公司、上海洗霸股份有限公司、天津渤海商品交易所股份有限公司、新疆天业汇合新材料有限公司、新疆和合珠宝玉器股份有限公司董事,上海君山表面技术工程股份有限公司独立董事,新疆兴宏泰股份有限公司、新疆蓝山屯河化工股份有限公司监事会主席,德蓝水技术股份有限公司监事;现任本公司董事。"
6,陈建国,男,1963,独立董事,57,博士,"陈建国先生,1963年8月出生,中国国籍,中国民主建国会会员,无境外永久居留权。博士研究生学历,会计学教授,现任新疆财经大学会计学院教授。1988年9月至2007年10月在新疆财经学院财政系历任助教、讲师、系副主任、系主任;2007年10月至2010年12月在新疆财经大学科研处历任处长;2011年1月至2018年2月在新疆财经大学会计学院历任院长;2018年3月至今在新疆财经大学会计学院任教授。2014年7月至今担任新疆德蓝股份有限公司独立董事,2014年8月至今担任新疆伊力特实业股份有限公司独立董事,2016年1月至今担任新疆机械研究院股份有限公司独立董事,2017年9月至今担任西部黄金股份有限公司独立董事。现任本公司独立董事。"
7,秦明,男,1971,独立董事,49,本科,"秦明先生,1971年8月出生,中国国籍,无境外永久居留权。大学本科学历,律师、注册会计师。2007年至今在新疆方夏有限责任会计师事务所从事注册会计师工作。2008年6月至2014年9月在新疆天阳律师事务所从事律师工作;2014年10月至2015年11月在新疆方夏律师事务所从事律师工作;2015年11月至今在新疆天阳律师事务所从事律师工作。中华律协新疆维吾尔自治区律师协会公司与证券专业委员会委员,中国企业联合会维护企业和企业家合法权益工作委员会委员。2013年5月至今担任新疆天业节水灌溉股份有限公司独立董事;2015年10月至今担任新疆西部牧业股份有限公司独立董事,2017年7月至今担任新疆洪通燃气股份有限公司董事。现任本公司独立董事。"
8,宋亮,男,1979,独立董事,41,硕士,"宋亮先生,1979年2月出生,中国国籍,无境外永久居留权。硕士研究生学历,高级行业分析师,现任北京埃森信息咨询有限公司高级分析师。2006年6月至2014年3月在商务部电子商务中心任食品分析师;目前任新华社瞭望智库乳业研究中心副主任,兼任中国农垦乳业联盟专家组组长及新华社特约经济分析师。2016年至今任北京丽家宝贝有限公司独立董事。现任本公司独立董事。"
9,牛红,女,,"监事会主席,非职工监事",--,本科,"牛红女士,中国国籍,大学学历,高级会计师,1997年5月参加工作。1997年5月至2002年8月在石河子市政养护处担任记账会计、成本会计,2002年8月至2004年2月在石河子市财政局会计核算中心任核算会计,2004年2月至2008年3月在石河子市财政局国库支付中心任审核会计,2008年3月至2012年9月在石河子市财政局国库支付中心任副主任,2012年9月至2016年8月在石河子市财政局国库支付中心任主任,2016年8月至今在石河子国有资产经营(集团)有限公司任财务总监。现任本公司监事会主席。"
10,汤澄,男,1970,非职工监事,50,博士,"汤澄先生,中国国籍,未拥有永久境外居留权,1970年4月出生,系统工程博士,中共党员。1997至2006年历任上海延中实业股份有限公司董事会秘书、董事会发展委副主任;金信上海证券总部财务顾问部高级经理;上海顶峰创投公司总经理助理;上海邦联资产公司资本管理部董事,上海国通电信副总经理,上海国通网络有限公司董事;2007年至今任上海永宣创业投资管理有限公司合伙人。现任本公司监事。"
11,毕磊,男,,职工代表监事,--,本科,"毕磊先生,中国国籍,中共党员,大学本科学历,工程师,2008年5月参加工作。2008年5月至2011年2月在新疆石河子一四九团城管站任技术员工作;2011年3月至2013年2月在新疆西部牧业股份有限公司沼气项目和有机肥厂历任技术员、生产副厂长;2013年3月至2013年10月在新疆喀尔万食品科技有限公司历任办公室主任;2013年10月至2018年4月在新疆西部牧业股份有限公司基建部历任科员、副经理;2018年5月至今任新疆西部牧业股份有限公司安全综治环保部副经理。现任本公司职工代表监事。"
