,姓名,性别,出生日期（计算值）,职位,年龄,学历,简介
0,李忠,男,1968,"董事长,法定代表人,董事",52,硕士,"李忠:男,公司创始人之一,1968年生,中国国籍,无境外永久居留权,清华大学MBA、北京大学光华管理学院EMBA。全国工商联水产业商会会长、中国渔业协会副会长、全国五四青年奖章获得者、首届全国“兴渔富民”十大新闻人物、当代中国优秀企业家、广东省人大代表、广东省十大杰出青年、广东省劳动模范、广东省青联常委、广东省海洋大学客座教授。李忠拥有多年丰富的水产行业经验,1986年从事水产批发业务,并于2001年创办本公司,现任本公司董事长。"
1,陈汉,男,1967,"总经理,董事",53,硕士,"陈汉:男,公司创始人之一,1967年生,中国国籍,无境外永久居留权,清华大学MBA,广东省五一劳动奖章获得者、广东海洋大学客座教授、湛江市人大代表、湛江市水产进出口协会副会长。陈汉拥多年的水产从业经历,1987年就职于湛江市坡头外经冷冻厂。2001年参与创立本公司,曾任公司副总经理,现任公司董事、总经理。"
2,李国通,男,1975,"副总经理,董事",45,硕士,"李国通:男,公司创始人之一,1975年生,中国国籍,无境外永久居留权,中山大学MBA。李国通拥有多年的水产行业从业经历,2001年参与创立本公司,现任公司董事、副总经理、国通水产董事长。2020年5月21日,担任湛江国联水产开发股份有限公司副总经理职务"
3,王作宙,男,1974,副总经理,46,本科,"王作宙,男,1974年生,中国国籍,本科学历。1995年加入中国银行股份有限公司湛江分行工作,历任中行湛江分行办公室副主任、公司业务部副总经理、人力资源部总经理和公司金融部总经理等岗位;2014年加入兴业银行广州分行参与筹建兴业银行湛江分行,历任企金管理部和企金业务部负责人;2018年4月加入本公司,任本公司资金管理部总监,现任公司副总经理。"
4,吴丽青,女,1971,"副总经理,董事",49,本科,"吴丽青:女,1971年生,中国国籍,无境外永久居留权,本科,会计师、中国注册会计师、中国注册税务师。先后就职于湛江市霞山区会计师事务所、湛江市中正会计师事务所。2007年加入本公司,现任公司董事、副总经理。"
5,张勇,男,1979,"副总经理,董事,董事会秘书",41,硕士,"张勇,男,1979年出生,中国国籍,无境外居留权,中国人民大学MBA。2003年加入TCL集团股份有限公司,历任产品线产品和运营部部长、总裁办高级企管经理、投资银行部高级投资经理;2017年4月加入航天科工(深圳)集团有限公司任投资主管;2018年9月加入本公司,任本公司战略投资部副总经理。于2019年6月起担任湛江国联水产开发股份有限公司董事职务。"
6,赵红梅,女,1979,副总经理,41,硕士,"赵红梅,女,1979年出生,中国国籍,中山大学MBA。2004年加入本公司,曾任国际业务部经理,现任公司副总经理,负责公司国内销售业务。"
7,李春艳,女,1989,董事,31,本科,"李春艳,女,1989年出生,中国国籍,无境外居留权,金融专业本科学历。2014年10月至2016年9月,担任四川成都期会餐饮公司副总经理。2016年10月加入公司,现任公司全资子公司广州国联电子商务有限公司执行董事兼总经理、公司董事长助理,负责公司电商业务。"
8,陈玉宇,男,1970,独立董事,50,博士,"陈玉宇,中国,男,1970年9月出生,澳大利亚国立大学毕业,获经济学博士学位。1994年8月至1998年1月,在国家经济体制改革委员会宏观司工作,2002年7月至今在北京大学光华管理学院应用经济系工作,历任助理教授、副教授,现任教授,2011至今在北京大学经济政策研究所任所长;2017年6月起任本公司独立董事。"
9,梁金华,男,1971,独立董事,49,本科,"梁金华:中国国籍,无境外居留权,男,生于1971年2月,中国注册会计师、注册资产评估师,1992年7月毕业于北京工商大学会计系。现任本公司独立董事,任期为2013年4月-2016年4月。1992年9月-1996年7月担任湖北省鄂州市吴都商场财务科长;1996年10月-2000年7月担任深圳长城会计师事务所项目经理;2000年8月-2004年10月担任深圳市港泰源集团有限公司常务副总裁;2004年12月至今担任深圳联杰会计师事务所主任会计师。兼任深圳天源迪科信息技术股份有限公司独立董事、深圳市科陆电子科技股份有限公司独立董事、深圳市天泽海润投资发展有限公司董事、深圳市金硕投资顾问有限公司执行董事。于2019年3月10日因换届辞去深圳市科陆电子科技股份有限公司独立董事。于2019年4月25日因换届辞去深圳天源迪科信息技术股份有限公司独立董事职务"
10,刘建勇,男,1970,独立董事,50,博士,"刘建勇,男,1970年生,中国国籍,水生生物学博士学历。曾任广东海洋大学水产学院养殖系工程师、副教授,现任广东海洋大学水产学院养殖系教授,博士生导师,主要从事水产养殖理论与技术、水产经济动物育种等相关教学生产科研等工作。刘建勇现任公司独立董事。"
11,唐岸莲,女,1983,"监事会主席,职工代表监事",37,本科,"唐岸莲:女,1983年生,中国国籍,无境外永久居留权,本科学历。曾就职于中国移动通讯有限公司湛江分公司、福建亚伟速记有限公司。2005年加入本公司,2008年4月起任公司监事,现任公司行政部经理。"
12,林妙嫦,女,1980,非职工监事,40,本科,林妙嫦：女，1980年生，中国国籍，无境外永久居留权，本科学历。曾任职于公司品管部和生产部，2009年至今任职于公司国际业务部，负责国际业务工作。
13,冼海平,男,1987,非职工监事,33,本科,"冼海平,男,1987年生,中国国籍,本科学历。2009年加入公司,现任公司全资子公司国联骏宇(北京)食品有限公司总经理,公司监事。"
14,樊春花,女,1979,财务总监,41,本科,"樊春花,女,1979年生,中国国籍,本科,中国注册会计师、中国注册税务师。2010年加入本公司,曾任本公司财务经理,现任公司财务总监,负责公司财务管理工作。"
