,姓名,性别,出生日期（计算值）,职位,年龄,学历,简介
0,邵根伙,男,1965,"董事长,法定代表人,非独立董事",55,博士,"邵根伙先生,目前为本公司董事长兼非执行董事。彼亦为本公司提名委员会成员。彼於二零一六年九月二十六日获委任加入董事会。邵根伙先生现任大北农集团(一家於深圳证券交易所中小板上市的公司,股份代号:2385)董事长。邵先生主要负责大北农集团的战略规划及整体管理。邵先生於一九九四年十月创立大北农集团,并自此担任其董事长兼总经理。邵先生於一九八六年获得浙江大学(前称浙江农业大学)的学士学位。邵先生分别於一九八八年及一九九一年获得中国农业大学(前称北京农业大学)的硕士及博士学位。"
1,张立忠,男,1974,"总裁,非独立董事",46,硕士,"张立忠先生,男,1974年11月出生,东北农业大学农业推广硕士,1998年南京农业大学动物营养本科毕业。1999年6月加入公司,历任集团饲料产业黑龙江区、东北三省、山东区负责人,现任本公司董事、总裁,兼养猪科技产业总裁、黑龙江大北农农牧食品有限公司董事长、总经理。"
2,宋维平,男,1964,"高级副总裁,非独立董事",56,博士,"宋维平先生,男,1964年11月出生,西南大学荣昌校区(原四川畜牧兽医学院)畜牧专业学士,中国科学院研究生院生态学硕士,北京大学工商管理硕士,中国农业大学生态学博士。历任四川畜牧兽医学院(现西南大学荣昌校区)成教教学院常务副院长副教授、北京市农林科学院畜牧兽医研究所所长。2005年加入本公司,历任公司董事、副总裁、高级副总裁,中国农民大学副校长等职务。现任本公司董事、副总裁、技术中心主任、中央研究院院长,负责公司技术体系日常经营管理事务及科研项目申报、管理事务。"
3,王跃华,男,1974,"副总裁,财务总监",46,本科,"王跃华男,汉族,1974年12月出生,大学本科学历,1996年7月毕业于太原重型机械学院(现太原科技大学)工业经济专业,经济学学士,1996年9月一1999年7月任职于大同矿务局,1999年7月加入大北农集团,曾任集团基地财务经理丶北方事业部财务经理、饲料动保产业高级副总裁兼财务总监,2019年4月任大北农集团财务常务副总监。2020年4月担任北京大北农科技集团股份有限公司副总裁及财务总监职务。"
4,陈忠恒,男,1975,"副总裁,董事会秘书",45,硕士,"陈忠恒先生:1975年11月生,中国政法大学法学专业,中国人民大学在职MBA,执业律师,2000年加入本公司,历任本公司法务部主任,现任本公司副总裁、董事会秘书等职务,负责公司三会、信息披露、公司对外投资协调及公司法律及证券事务。"
5,周业军,男,1968,非独立董事,52,本科,"周业军先生:1968年8月出生,南京财经大学工商管理学院企业管理专业学士,1996年加入公司,历任公司广东事业部总经理、农牧科技产业高级副总裁,现任公司猪业科技产业常务副总裁、华南区总裁、湖南区总裁。负责猪业科技产业华南区、湖南区的整体运营事务。2020年3月20日任北京大北农科技集团股份有限公司董事职位。2020年4月辞去北京大北农科技集团股份有限公司副总裁职务。"
6,付文革,男,1966,独立董事,54,博士,"付文革男,1966年出生,中国国籍,无境外居留权,中国农业大学教授,博士生导师。中国农业大学企业家校友联谊会常务副会长,中国农业大学校友股权投资基金董事长,MBA教育中心主任,中农创学院创始院长。具有丰富的企业管理与投资经历,为著名管理咨询专家。目前任多家国内外公司的董事长、董事、独立董事或常年管理顾问。曾到美国耶鲁大学、哥伦比亚大学、加拿大西安大略大学毅伟商学院等访问讲学。2020年3月20日任北京大北农科技集团股份有限公司独立董事职位。"
7,李轩,男,1968,独立董事,52,博士,"李轩先生,1968年3月生。李先生在法律领域具有丰富的研究与实务经验。李先生自2016年05月至今任本公司独立监事,自2015年11月至今任中央财经大学法律硕士教育中心主任、副教授,自2010年6月至2015年11月任中央财经大学法律事务办公室主任、副教授,自2003年11月至2010年5月任中央财经大学法学院副院长、副教授,自2000年5月至2003年11月任中央财经大学法律系副主任、副教授,自1997年3月至2000年4月任中央财经大学法律系讲师、主任助理,自1995年5月至1997年2月任中央财经大学法律系助教、讲师。李先生於1994年7月获北京大学法律系诉讼法学专业硕士学位,於2011年7月获中国政法大学民商经济法学院诉讼法学专业博士学位。李先生擅长於公司法、诉讼法、仲裁法等领域法律实务以及疑难案件的处理,著有《中国律师的当代命运》等书。李先生现任京东方科技集团股份有限公司独立董事、中国圣牧奶业有限公司独立董事、中国民族证券有限公司独立董事,兼任中国政法大学公共决策研究中心副主任、中国法学会律师法学研究会常务理事、中国法学会案例法学研究会常务理事及秘书长、民盟北京市委法制委员会委员副主任、民盟中央财经大学主委。李先生曾荣获中央财经大学优秀教师、优秀教育工作者、北京市师德标兵、北京市优秀青年骨干教师、中国优秀法律诊所教师等荣誉称号。2020年3月20日任北京大北农科技集团股份有限公司独立董事职位。"
8,王立彦,男,1957,独立董事,63,博士,"王立彦先生,中国国籍,1957年2月出生,北京大学光华管理学院教授。兼任:《中国管理会计》主编、中国环境科学学会环境审计专业委员会主任、中国会计学会资源与环境会计专业委员会副主任、中国注册会计师协会职业道德准则委员会委员。2015年4月起,出任本公司独立董事。此外,王立彦先生还担任共达电声股份有限公司、北京大北农科技集团股份有限公司、紫光国芯微电子股份有限公司独立董事。"
9,谈松林,男,1972,"监事会主席,监事",48,本科,"谈松林先生:1972年9月生,毕业于南昌大学生物工程专业,1999年3月加入公司,历任江西区总裁、中南区总裁、福建区总裁等职务。现任公司高级副总裁兼任财务负责人,负责猪业科技产业中南区、福建区整体运营事务。2020年3月20日任北京大北农科技集团股份有限公司监事职位。2020年4月7日任北京大北农科技集团股份有限公司监事会主席职务。2020年4月辞去北京大北农科技集团股份有限公司副总裁及财务负责人职务。"
