,姓名,性别,出生日期（计算值）,职位,年龄,学历,简介
0,张春霖,男,1963,"董事长,法定代表人,董事",57,硕士,"张春霖:男,1963年出生,中国国籍,无永久境外居留权,硕士学历,中级工程师,武汉大学电厂化学本科毕业,上海交通大学安泰经济与管理学院EMBA。1984年至1995年任职于上海华东电力设计院化水处,1995年设立巴安实业并担任总经理,1999年设立本公司至2015年2月27日担任总经理。现任本公司董事长。张春霖先生长期从事水处理技术的研发、设计工作,参加国家重大工程水处理工艺技术路线的制定,主导多项专利技术的开发。张春霖先生系《石灰乳液自动配制系统装置》国家标准主要制定者,并参编《电去离子纯水制备装置》行业标准,目前担任全国化工机械与设备标准化技术委员会委员,上海市青浦区政协常委,青浦区工商联副主席。"
1,王贤,男,1978,总经理,42,硕士,"王贤:男,1978年出生,中国国籍,无永久境外居留权,中共党员,高级工程师,复旦大学计算机领域工程硕士,上海交通大学EMBA硕士学历。曾任上海协同科技股份有限公司部门副经理,2007年起担任巴安水处理副总经理兼化学水室主任。2009年8月任公司副总经理兼董事会秘书。从2015年2月起至今任公司总经理。现为青浦青年联合会委员、全国工商联环境商会副会长。"
2,陆天怡,女,1988,"副总经理,董事会秘书",32,本科,陆天怡：女，1988年出生，中国国籍，无境外居留权，同济大学应用化学毕业，本科学历，理学学士学位。2011年7月加入上海巴安水务股份有限公司任董事长助理。现任公司副总经理兼董事会秘书。
3,陈磊,女,1979,董事,41,大专,陈磊：女，1979年出生，中国国籍，无永久境外居留权，大专学历。曾就职于上海世兴发展有限公司商务部，2004年起任职于巴安水处理商务部，2008年起担任公司商务部部长。现任本公司董事，投资部部长。
4,乐国平,男,1959,董事,61,本科,"乐国平,男,1959年9月出生,中国国籍,无永久境外居留权,本科学历,高级经济师。1978年至1982年就读于国际关系学院国际经济专业,从1983年起曾先后在美国杜邦公司上海办事处、韩国现代公司上海办事处等单位任职。2016年6月加入公司,现任公司海外事业部总经理。"
5,姚泽伟,男,1962,董事,58,大专,"姚泽伟:男,1962年出生,中国国籍,中共党员,无永久境外居留权,大专学历。于1982年至1998年担任上海重型机器厂有限公司机模分厂工会主席,生产科科长;于1998至2011年担任上海上重环保工程有限公司总监;于2011年加入本公司。于1986年至1992年多次荣获上海电气集团优秀团干部;于1996年、2006年荣获上海重型机器厂有限公司劳动模范,优秀党员。现任本公司董事、建安部总经理。"
6,康忠良,男,1955,独立董事,65,大专,"康忠良先生,1955年出生,中国国籍,无永久境外居留权,大专学历,高级工程师。历任四川省攀枝花市水务(集团)有限公司副总经济师、总经济师,四川省城镇供水排水协会常务副秘书长。现任四川省城镇供水排水协会副秘书长兼排水专业委员会主任、四川省住房和城乡建设厅聘请的排水专家。曾获中国城镇供水排水协会行业突出贡献奖。2019年5月起任上海巴安水务股份有限公司独立董事。"
7,李建勇,男,1956,独立董事,64,本科,"李建勇,男,汉族,1956年4月出生,中共党员,本科学历,高级工程师、高级经济师。历任上海市城市排水有限公司董事长、总经理;上海阳晨投资股份有限公司(证券代码:900935股票简称:阳晨B股)董事长;上海白龙港污水处理有限公司董事长;上海市自来水闵行有限公司总经理;上海市城市排水市北运营有限公司总经理等职。现任上海市排水行业协会副秘书长。2019年5月起任上海巴安水务股份有限公司独立董事。"
8,刘涛,女,1964,独立董事,56,硕士,"刘涛女士:1964年出生,中国国籍,无永久境外居留权,研究生学历。现任上海交通大学安泰经济管理学院会计财务系副教授。2008年-2014年担任上海界龙实业股份有限公司独立董事;2014年开始担任上海良友油脂股份有限公司独立董事;2015年-至今担任香港恒盛地产独立董事。2015年荣获上海交大校优秀教师奖;2013年荣获上海交大校教职工考核优秀;2013年荣获安泰经管学院教职工考核优秀;2011-2015年连续五年荣获安泰经管学院年度最受MBA学生欢迎教师奖;2004、2006年两次荣获安泰经管学院教学优秀奖。"
9,姚崑,男,1964,"监事会主席,监事",56,本科,"姚昆:男,1964年出生,中国国籍,无永久境外居留权,本科学历。本科毕业于清华大学环境工程专业。于2003年7月至2005年12月任职于珠海市城市排水有限公司担任副总经理。于2006年1月至2008年10月任职于上海城投绿衍污水处理有限公司担任总经理。于2008年11月至2010年6月任职于苏州格瑞特泥科学研究院有限公司担任首席运营官。于2010年8月至2017年11月任职于广州新之地环保产业有限公司担任副总经理。现任公司监事会主席。"
10,尹高强,男,1964,监事,56,本科,"尹高强:男,1964年出生,中国国籍,无永久境外居留权,本科学历,高级工程师。于1983年至1987年就读于陕西机械学院水利水电学院水利水电工程建筑专业。从1987年起至2015年任职于中南电力设计院水工处担任主要设计工程师职务。于2015年1月加入公司,现任公司副总工程师、监事。"
11,龚旭,男,1985,职工代表监事,35,本科,"龚旭:男,1985年出生,中国国籍,无永久境外居留权,本科学历。于2007年加入本公司,担任技术支持。现任公司副总工程师、职工代表监事。"
12,孙颖,女,1984,财务总监,36,硕士,"孙颖:女,1984年出生,中国国籍,无永久境外居留权,中共党员,硕士学历,ACCA。毕业于中欧国际工商学院MBA,本科毕业于上海交通大学会计学专业获学士学位。曾就职于毕马威(华振)会计师事务所任助理经理、上海复星高科技集团有限公司投资管理高级经理。现任公司财务总监。"
