,姓名,性别,出生日期（计算值）,职位,年龄,学历,简介
0,程凡贵,男,1961,"董事长,法定代表人,非独立董事",59,本科,"程凡贵先生:中国国籍,无国外永久居留权,出生于1961年8月,大学学历。2001年至2007年任正邦集团财务总监,2004年4月至2004年8月任公司监事会主席,2007年至2010年10月任正邦集团副总裁,2009年12月至今任江西永联监事,2010年9月至今任正邦集团董事,2010年10月至2015年4月任公司总经理,2015年4月辞去总经理职务担任公司董事长。"
1,林峰,男,1986,总经理,34,硕士,"林峰先生:中国国籍,无国外永久居留权,1986年7月生,研究生学历。2008年12月至2011年6月历任正邦集团有限公司发展战略部总经理、集团副总裁;2011年6月至2015年3月,历任江西正邦科技股份有限公司商品猪事业部总经理助理、养殖建设事业部副总经理、饲料事业部总经理,2015年4月起任公司总经理。"
2,王飞,女,1980,"副总经理,董事会秘书",40,硕士,"王飞女士:中国国籍,无国外永久居留权。出生于1980年9月,硕士学历,已获得深圳证券交易所董事会秘书资格证书。曾任职世纪证券有限责任公司,正邦集团有限公司投资部总监,及江西正邦生物化工有限责任公司董事会秘书兼副总经理,2014年11月12日起任公司副总经理、董事会秘书。"
3,林印孙,男,1964,非独立董事,56,硕士,"林印孙先生:中国国籍,无国外永久居留权,出生于1964年4月,中欧国际工商学院EMBA,工程师。曾任江西临川饲料厂厂长。2004年4月至今任公司董事,2003年1月至今任正邦集团董事长、总裁,2009年11月至今任正邦集团党委书记,历任江西正邦生态化肥有限公司董事长、江西科鼎资产管理有限公司董事长、江西永联农业控股有限公司总经理。林印孙先生在农业产业化领域特别是在饲料行业生产、设备、技术和公司战略管理方面具有丰富的管理经验,2014年获中央统战部、工信部、人保部、工商联“第四届全国非公有制经济人士优秀中国特色社会主义事业建设者”称号,2015年获“金箸奖2015年中国食品行业领军人物”、“中国企业社会责任杰出企业家”,2015年任中国光彩事业促进会副会长,2017年荣获“全国脱贫攻坚奖奉献奖”。曾获国内贸易部、人事部“劳动模范”称号、中国饲料工业协会“为饲料工业发展作出杰出贡献的先进个人”、第十一届“江西十大杰出青年”、首届“江西省年度十大经济人物”、“全国新农村建设优秀共产党员新闻人物”、“全国高效富民功勋人物”、“中国光彩事业奖章”、“中国争光杰出赣商60人”、“江西省十大杰出建设者”、“江西省优秀企业家”、“江西省科技创业领军人物”等称号。同时任第十二届全国人大代表、第十三届全国人大代表、中国光彩事业促进会副会长、中国饲料工业协会副会长、中国畜牧业协会副会长、中国养猪协会副会长、中国粮食行业协会常务理事、江西省政协委员、江西省工商联副会长、江西赣抚商会会长、江西省光彩事业促进会副会长,江西省中小企业协会会长、江西省粮食行业协会副会长。"
4,刘道君,男,1972,非独立董事,48,--,"刘道君先生:加拿大国籍,出生于1972年10月。历任江西正邦实业有限公司董事长、云南广联畜禽有限公司董事长、南昌广联实业有限公司董事长。2004年4月至今任公司董事。"
5,黄新建,男,1953,独立董事,67,硕士,"黄新建先生:研究生,中国国籍,无国外永久居留权,1953年9月出生,企业财务管理专业教授职称、博士生导师。历任江西省抚州市六中教师兼团委书记、江西大学经济系教师兼团委书记、南昌大学产业处副处长、南昌大学经济系教授兼副主任、南昌大学经管学院副院长兼博士生导师、南昌大学计财处及经管学院处长吉安博士生导师、南昌大学总会计师兼博士生导师。2014年2月至今任南昌大学经管学院教授兼博生生导师。2003年7月参加中国证券业协会主办的独立董事资格培训获得结业证书,并参加多次证监会独立董事和高管培训。现任南昌大学博导、二级教授;江西正邦科技股份有限公司独立董事。"
6,李汉国,男,1956,独立董事,64,硕士,"李汉国:男,1956年7月出生,中国国籍。会计学硕士,江西财经大学金融学院教授,研究生导师。历任江西财经学院会计系副主任、江西财经学院证券与期货研究所所长、江西瑞奇期货经纪有限公司总裁兼兴期审计事务所所长、福建闽发证券有限公司常务副总裁、中国四方控股有限公司执行总裁兼广州万联证券有限公司董事长、中国鹏华控股有限公司总裁、江西财经大学证券期货研究中心主任。多次被评为江西省中青年学科带头人。现兼任江西沃格光电股份有限公司独立董事、江西三川智慧科技股份有限公司独立董事、江西正邦科技股份有限公司独立董事、江西国泰民爆集团股份有限公司独立董事、南昌市人民政府参事等职。2019年11月19日因公司换届辞去江西沃格光电股份有限公司独立董事职务。"
7,黄建军,男,1965,"监事会主席,股东代表监事",55,博士,"黄建军先生:中国国籍,无国外永久居留权,出生于1965年11月,博士研究生学历。历任江西财经大学经济学院系主任,经济与社会发展研究中心副主任,2003年1月至2009年9月任江西财经大学国际经济贸易学院院长,2009年9月至今任江西财经大学现代商务研究中心主任,博士生导师,2004年9月至今任公司监事会主席。"
8,吴佑发,男,1961,股东代表监事,59,硕士,"吴佑发先生:中国国籍,无国外永久居留权,出生于1961年11月,大专毕业,江西财经大学EMBA结业,审计师。历任江西正邦实业有限公司财务总监、江西正邦化工有限公司财务总监,2005年1月至2009年1月任正邦集团财务副总监,2009年1月至2010年2月任正邦集团种植板块战略发展与管理中心财务总监,2010年2月至2011年9月任正邦集团审计副总监,2011年9月至今任正邦集团审计总监,2009年5月至今任公司监事。"
9,邹富兴,男,1955,职工代表监事,65,大专,"邹富兴先生:中国国籍,无国外永久居留权,出生于1955年7月,大专学历。历任江西临川化肥厂车间主任、生产科长、厂长助理、生产厂长,江西汇联实业有限公司(公司控股子公司)总经理,公司采购部经理等。2004年4月至今任公司监事。"
10,王永红,男,1982,财务总监,38,大专,"王永红先生,中国国籍,无国外永久居留权,1982年7月生,大专学历,2003年7月至2010年5月,任陕西石羊集团股份有限公司财务经理。2010年5月至今,历任江西正邦科技股份有限公司饲料事业部片区财务总监助理、饲料事业部片区财务总监。"
