,姓名,性别,出生日期（计算值）,职位,年龄,学历,简介
0,刘长友,男,1962,"董事长,法定代表人,董事",58,硕士,"刘长友:男,汉族,1962年生,党校研究生。1978年参加工作,历任黑龙江省二九〇农场五分场50队工人、技术员、副队长、队长,农场团委副书记、书记,五分场代场长、场长,工业科科长,黑龙江省国营农场总局宝泉岭农管局工业总厂厂长,中外合资华宝禽绒有限公司总经理,绥滨农场党委副书记、副场长,场长,宝泉岭分局副局长、党委委员、黑龙江北大荒农垦集团总公司宝泉岭分公司副总经理、宝泉岭分公司总经理、党委副书记,现任黑龙江北大荒农业股份有限公司董事长、党委书记。"
1,贺天元,男,1963,"总经理,董事",57,硕士,"贺天元:男,汉族,1963年生,硕士研究生,研究员级高级会计师。1984年参加工作,历任黑龙江省农场总局财务处科员、副主任科员、主任科员、副处长,黑龙江省农垦社会保险事业管理局党组书记、局长,黑龙江北大荒农垦集团总公司红兴隆分公司总经理、党委副书记,黑龙江北大荒农垦集团总公司哈尔滨分公司总经理、党委副书记,现任黑龙江北大荒农业股份有限公司总经理、董事。"
2,高建国,男,1972,"副总经理,董事会秘书",48,博士,"高建国,男,汉族,1972年生,中共党员,博士研究生,研究员级高级会计师。1994年参加工作,历任黑龙江省农垦总局财务处科员、副科长、科长,黑龙江北大荒农业股份有限公司财务部部长、总会计师,阳光农业相互保险公司副总经理,黑龙江北大荒农垦集团总公司金融投资部部长兼北大荒投资控股有限公司总经理等职。现任黑龙江北大荒农业股份有限公司副总经理、党委委员、董事会秘书。"
3,杨宪君,男,1964,副总经理,56,硕士,"杨宪君,男,汉族,1964年生,中共党员,省委党校研究生,教授级高级政工师。1981年参加工作,历任红兴隆农管局友谊农场工人,红兴隆农业技术学校畜牧专业学生,红兴隆农管局友谊农场畜牧科技术员、机关党委干事、工会青工部部长、团委副书记、书记,友谊农场种子公司纪委书记、工会主席、党委书记,友谊农场纪检监察审计部副部长、科长,友谊农场三分场党委书记、第三管理区主任,友谊农场党委组织部部长、人事科科长,北大荒农业股份有限公司八五三分公司副总经理、八五三农场党委副书记、纪委书记、党委书记、场长、社区管理委员会主任等职。现任省农垦宝泉岭管理局党委委员、组织部部长。2019年8月24日期任职黑龙江北大荒农业股份有限公司副总经理。"
4,杨占海,男,1965,"副总经理,董事",55,本科,"杨占海:男,汉族,1965年生,本科,高级会计师。1982年参加工作,历任黑龙江省新华农场14队工人,13队技术员,中外合资宝泉岭华宝禽绒有限公司会计、财务部长,宝泉岭精米厂财务科长,宝泉岭外贸公司财务副科长、科长,北大荒农垦集团总公司宝泉岭分公司财务处科长,黑龙江省绥滨农场财务副场长,军川农场场长,北大荒农业股份有限公司宝泉岭分公司总经理,北大荒农业股份有限公司副总经理。任黑龙江北大荒农业股份有限公司副总经理兼总会计师。于2019年5月29日,辞去黑龙江北大荒农业股份有限公司总会计师职务。"
5,宋颀年,男,1963,董事,57,硕士,宋颀年：男，汉族，1963年生，硕士，高级经济师、高级政工师。1978年参加工作，历任七星农场统计、会计、干事、组织部干事，七星农场工业公司党委副书记、副经理，七星农场一分场党委副书记，七星农场办公室副主任，建三江分局组织部副科长、科长，副部长，七星农场党委副书记、书记、场长，黑龙江北大荒农业股份有限公司七星分公司党委书记、总经理，黑龙江北大荒农业股份有限公司董事、副书记、纪委书记、工会主席，黑龙江省完达山乳业股份有限公司董事长，现任黑龙江北大荒农垦集团总公司资产运营部部长。
6,叶凤仪,男,1963,职工代表董事,57,--,"叶凤仪:男,汉族,1963年生,林业高级工程师。1981年参加工作,历任双鸭山林业局横道林场检尺员,双鸭山林业局七一林场材料员,双鸭山林业局人事科科员、组织人事部干事,党委组织员,双鸭山林业局红旗改革试验区区长、双鸭山林业局红旗林场场长,双鸭山林业局七星河林场场长,普阳农场场长助理、普阳农场副场长、普阳农场社区副主任、普阳农场党委副书记、纪委书记,二九○农场党委书记、场长、社区主任,梧桐河农场场长,宝泉岭农业分公司总经理,现任黑龙江北大荒农业股份有限公司党委副书记、纪委书记、工会主席、董事。"
7,董惠江,男,1964,独立董事,56,博士,董惠江：男，汉族，1964年生，教授，现任黑龙江大学民商法博士点博士生导师，兼任中国法学会商法学研究会常务理事，黑龙江省法学会商法研究会副会长，黑龙江省人大常委会司法咨询委员会、立法委员会委员，政协哈尔滨市委员会委员，哈尔滨仲裁委员会委员，哈尔滨市政府行政复议专家委员会委员，律师等。
8,康学军,男,1951,独立董事,69,本科,康学军：男，汉族，1951年生，高级经济师。历任财政部综合司统计研究处副处长，统计与分析处处长，综合与改革司副司长，财政投资评审中心主任，中国工商银行股份有限公司董事。
9,王永德,男,1964,独立董事,56,博士,王永德：男，汉族，1964年生，黑龙江省肇源人，中共党员，教授，管理学博士，历任黑龙江八一农垦大学高新科技园区办公室副主任（副处级）、审计处副处长、纪委副书记、监察处处长、审计处处长、计划财务处处长、国有资产管理局局长、经济管理学院党总支书记、经济管理学院院长，现任黑龙江八一农垦大学会计学院院长，硕士研究生导师。
