,姓名,性别,出生日期（计算值）,职位,年龄,学历,简介
0,张邦辉,男,1963,"董事长,法定代表人,非独立董事",57,硕士,"张邦辉:1963年7月出生,男,研究生学历。历任中国水产科学研究院淡水渔业研究中心助研,无锡化十动物营养保健品有限公司副总经理,余姚天邦总经理,天邦食品股份有限公司副董事长、总经理。现任公司董事长、兼研究院院长。"
1,苏礼荣,男,1977,"总裁,非独立董事",43,本科,"苏礼荣:1977年11月出生,男,本科学历。中国国籍,无境外居留权。2001年5月加入天邦食品股份有限公司前身余姚天邦饲料科技有限公司,曾担任宁波天邦、广东天邦业务代表、区域经理、销售经理,上海天邦、宁波分公司总经理助理,安徽天邦副总经理,宁波分公司副总经理、总经理,宁波天邦股份有限公司市场部总经理、总裁助理、营销总监,现任天邦食品股份有限公司董事、副总裁、饲料事业部总裁、食品事业部总裁。"
2,李双斌,男,1971,副总裁,49,硕士,"李双斌:1971年5月出生,男,研究生学历。历任湖北粮油食品进出口公司龙王畜牧公司副总经理,广西杨翔公司营销服务总监,艾格菲集团广西华南区总经理,汉世伟食品集团广西大区总经理,汉世伟食品集团常务副总裁;现任广西汉世伟总经理,工作期间业绩突出,屡次被评为优秀管理者,2018年被评为天邦股份杰出管理者。2019年8月5日起任职天邦食品股份有限公司副总裁。"
3,章湘云,女,1975,"副总裁,董事会秘书",45,硕士,"章湘云:1975年12月出生,女,中国国籍,1993-2000年就读于上海财经大学,获经济学硕士学位。中国注册会计师,中欧商学院CFO班2012届学员,中欧商学院CFO协会理事。历任上海西门子移动通信有限公司管理会计,皮埃西(PIC)中国财务经理,玛连尼-法亚(Marini-Fayat)中国财务总监。2015年加入天邦食品股份有限公司,先后担任股份公司计划财务部总经理、下属养殖板块汉世伟食品集团有限公司财务总监、股份公司财务分析总经理兼生物制品事业部财务总监,现任天邦食品股份有限公司证券发展部总经理。"
4,朱爱民,男,1966,副总裁,54,硕士,"朱爱民:1966年3月出生,男,研究生学历。中国国籍,无境外居留权。曾任安徽省巢湖地区团地委副书记,巢湖市团市委书记,居巢区委副书记,巢湖市市委市政府副秘书长、信访局局长,安徽和县县长、县委书记,安徽临泉县县委书记,现任天邦食品股份有限公司副总裁、兼任公司养殖事业部总裁。"
5,陈新生,男,1970,非独立董事,50,本科,"陈新生,男,1970年7月生,本科,中国国籍,经济学学士,高级会计师。历任南京大地建设集团股份有限公司财务处副处长,南京金鹰国际集团物业管理有限公司财务总监,南京金鹰国际集团有限公司财务副总监,南京新百投资控股集团有限公司总经理助理兼财务总监,南京新街口百货商店股份有限公司财务副总监、财务总监兼董事会秘书,南京中央商场(集团)股份有限公司董事会秘书、财务总监,南京中央商场(集团)股份有限公司常务副董事长兼执行总裁。现任本公司副总经理、财务总监。于2019年4月28日因换届辞去南京中央商场(集团)股份有限公司常务副董事长和董事职务。2019年5月起任天邦食品股份有限公司董事。天邦食品股份有限公司董事。现任浙江森马服饰股份有限公司董事、副总经理、财务总监。"
6,盛宇华,男,1958,非独立董事,62,--,"盛宇华先生,中国国籍,1958年出生,教授,博士研究生导师,国务院特殊津贴专家,管理科学研究专家,英国剑桥大学管理学院高级访问学者。1982年至今就职于南京师范大学;现任南京师范大学商学院教授;并先后兼任过江苏康缘药业股份有限公司独立董事、宁波天邦股份有限公司的独立董事、董事;2009.2-2015.12曾担任本公司独立董事。2017年5月至今任公司独立董事。2000年起享受国务院特殊津贴,出版个人专著12部,主编著作和教材31余部,发表文章130余篇,获得省部级以上科研奖10余项,主持了多项国家及省部级以上重大研究项目,包括国家自然科学基金项目、国家发改委科技项目、国家教委社科项目、省政府“十五”、“九五”项目等。"
7,鲍金红,女,1972,独立董事,48,博士,"鲍金红女士,1972年2月生,中国国籍,无境外永久居留权,武汉大学经济学博士学历,教授。1994年7月至1999年7月,任中南民族大学财经系教师、工会委员;1997年7月至今,任中南民族大学经济学院教授,支部书记、支部书记、系主任;2012年8月,取得上海证券交易所独立董事资格证书;2014年11月,取得深圳证券交易所独立董事资格证书;2017年3月,取得上海证券交易所独立董事后续培训证书;2019年12月,取得深圳证券交易所独立董事后续培训证书。2015年12月至今,任公司独立董事;2017年2月至今,任江苏立霸实业股份有限公司独立董事;2015年12月至今,任安徽大地熊新材料股份有限公司独立董事;2017年5月至今,任宁波天邦食品股份有限公司独立董事;2017年10月至今,任文一三佳科技股份有限公司独立董事;2019年12月至今,任中潜股份有限公司独立董事。自2011年12月至今兼任湖北省保险学会理事,2012年1月至今兼任湖北省外国经济学说研究会理事。"
8,许萍,女,1971,独立董事,49,博士,"许萍:1971年2月生,女,会计学博士,现任福州大学经济与管理学院教授,硕士生导师,福州大学教学名师。中国注册会计师,中国会计学会财务成本分会理事,2007年入选“福建省高等学校新世纪优秀人才支持计划”,福建省首届管理会计咨询专家,福建省审计学会理事,福建省注册会计师协会理事,福建省高级审计师评委会评委,福建省高级会计师评委会评委,福建省农业综合开发专家库财务专家,福建省专业综合改革试点专业——会计学专业负责人。曾任福州大学经济与管理学院副院长、会计系系主任、副主任。主讲课程:高级财务会计、中级财务会计、财务会计理论与实务、会计政策选择。兼任福能股份有限公司独立董事、鸿博股份有限公司独立董事、国脉科技股份有限公司独立董事。"
9,张晖明,男,1956,独立董事,64,博士,"张晖明:男,汉族,1956年7月生,中共党员,经济学博士,现就职于复旦大学经济学院教授、博士生导师,经济学院经济系主任;上海界龙实业集团股份有限公司,独立董事;上海光明地产集团股份有限公司,独立董事;金石资源股份有限公司,独立董事。教育及工作经历:1973-1978,江苏省南通市先锋镇下乡农业技术员、村党支部副书记;1978-1982,复旦大学,政治经济学学士;1982-1984,复旦大学,政治经济学硕士研究生;1991-1995,复旦大学,政治经济学博士研究生;1984-至今,复旦大学,教师、教授、博士生导师。于2018年12月19日因换届辞去金石资源公司独立董事职务。现任天邦食品股份有限公司(002124)独立董事。兼任复旦大学长三角研究院副院长、复旦大学企业研究所所长、上海市哲学社会科学创新基地中国特色政治经济学研究中心首席专家、上海市市政府发展战略研究咨询委员、上海市发展改革研究院专家委员会委员、上海市经济体制改革研究会副会长、上海市就业促进会专家委员会主任、上海市开业指导专家志愿团副理事长、宝武集团顾问。2020年6月24日,任上海紫江企业集团股份有限公司独立董事职务。"
