,姓名,性别,出生日期（计算值）,职位,年龄,学历,简介
0,车轼,男,1960,"董事长,总经理,法定代表人,非独立董事",60,本科,"车轼:男,1960年10月28日出生,本科学历,高级工程师,中共党员。2005年7月至今任公司董事长,2013年12月至今任公司总经理。现兼任山东东方海洋集团有限公司董事长。社会兼职:中国渔业协会副会长、中国水产流通与加工协会副会长、中国藻业协会副会长、中国休闲垂钓协会副会长、全国人大代表、山东省渔业协会副会长、山东省农业产业化龙头企业协会副理事长、山东省海藻产业协会副会长、烟台市渔业协会会长、烟台市工商联合会副会长、烟台市食品工业协会副会长、烟台市邮轮游艇行业协会副会长、烟台市红十字会荣誉会员。"
1,车志远,男,1986,"副总经理,非独立董事",34,硕士,"车志远:男,汉族,1986年2月出生,研究生。2009.07-2012.02,中国工商银行牡丹卡中心经理;2012.02-2013.02,农业部农业贸易促进中心副主任科员;2013.02-2015.09,中国常驻联合国粮农机构代表处三等秘书;2015.09-2016.04,任职于山东东方海洋科技股份有限公司;2016.02-至今,Avioq,Inc,董事长;2016年4月至今任公司副总经理兼大健康事业部执行总裁。2019年5月起任山东东方海洋科技股份有限公司董事。"
2,马兆山,男,1970,副总经理,50,本科,"马兆山:男,汉族,1970年7月出生,党员,大学文化。1991.7-1995.1,烟台市渔政监督管理站,员工;1995.1-1997.4,烟台市海洋监察大队,员工;1997.4-1998.8,烟台市水产技术推广中心,办公室主任;1998.8-2001.12,烟台东方海洋开发有限公司,办公室主任;2001.12至今,山东东方海洋科技股份有限公司,办公室主任;2001年12月至今任公司综合管理部部长,2004年12月任公司监事。2019年12月4日因公司换届辞去山东东方海洋科技股份有限公司职工代表监事职务。2019年12月5日至今担任山东东方海洋科技股份有限公司副总经理职务。"
3,朱开星,男,1989,"副总经理,董事会秘书",31,硕士,"朱开星,男,汉族,1989年12月出生,,中共党员,学历本科。2012.03至今,山东东方海洋科技股份有限公司证券部;2016.02至今,山东东方海洋科技股份有限公司证券部副部长;2017.09至今,西安交通大学管理学院研究生在读。2019年12月5日至今担任山东东方海洋科技股份有限公司董事会秘书及副总经理职务。"
4,唐积玉,男,1965,"副总经理,非独立董事",55,本科,"唐积玉:男,汉族,1965年6月出生,党员,本科学历。1987年7月-2003年12月,山东省烟台市水产供销公司,历任团委副书记、办公室副主任、主任、科技开发科科长、进出口部部长、总经理助理;2003年12月-2006年4月,山东东方海洋科技股份有限公司标准化管理部部长;2004年1月至2006年4月任公司标准化管理部部长,2006年5月至今任烟台山海食品有限公司总经理,2004年12月至2012年4月任公司监事,2012年8月至今任公司副总经理。社会兼职:烟台市食品工业协会会员、烟台职业学院客座教授、烟台市食品安全专家委员会委员、烟台市专利协会会员。2019年12月5日至今担山东东方海洋科技股份有限公司非独立董事职务。"
5,唐昊涞,男,1982,非独立董事,38,硕士,"唐昊涞先生:1982年4月生,2010年11月至2017年5月就职于山东高速集团有限公司审计法务部,自2017年5月起担任山东高速投资控股有限公司审计法务部的副经理,自2017年12月起为山东高速(上海)资产管理有限公司的董事、济南山高德广投资有限公司的监事及北京伟特房地产开发有限公司的董事长和经理,自2018年9月起担任济南易海光合置业有限公司的董事长。唐先生持有山东大学威海分校法学院法学专业本科学士学位及山东大学法学院法学理论专业硕士学位。具有法律职业资格证书和基金从业资格证书。2019年12月5日至今担山东东方海洋科技股份有限公司非独立董事职务。"
6,于深基,男,1941,非独立董事,79,--,"于深基:男,1941年12月2日出生,高级政工师。1958.10-1961.08,青岛重型机械厂技术员;1961.08-1968.09,三十三师高炮营文书、代书记、书记、排长、副指导员;1968.09-1986.01,二十六高炮团参谋、股长、参谋长、团长;1986.01-1992.06,烟台百货站纪委书记、党委书记;1992.06-1998.07,烟台市水产技术推广中心党总支书记;1998.08-2007.03,山东东方海洋集团有限公司董事长;2007.04-至今,山东东方海洋集团有限公司董事;2001.12-2004.12,山东东方海洋科技股份有限公司副董事长兼副总经理;2004年12月至今任公司董事,现兼任山东东方海洋集团有限公司董事。"
7,赵玉山,男,1953,非独立董事,67,大专,"赵玉山:男,1953年1月25日出生,大专学历,研究员。1976.08-1981.04,长岛县水产局,技术员;1981.05-1993.01,烟台市芝罘区水产技术推广站,站长、副局长;1993.01-1997.11,烟台开发区水产公司,副总经理、总经理;1997.11-1998.07,烟台市水产技术推广中心,副主任;1998.08-2004.12,山东东方海洋集团有限公司,董事、副总经理;2001.12-2004.12,山东东方海洋科技股份有限公司,董事兼副总经理;2004.12-2011.04,山东东方海洋科技股份有限公司,副董事长兼副总经理;2004.12至今,山东东方海洋集团有限公司,董事;2011.05至今,山东东方海洋集团有限公司,总经理;2013年5月至今任公司董事,现兼任山东东方海洋集团有限公司董事兼总经理、烟台得沣海珍品有限公司董事长、烟台山海食品有限公司执行董事、烟台东方海洋置业有限公司董事长、烟台东方海洋物业管理有限公司执行董事、烟台东方海洋大酒店有限公司董事长、烟台泓腾大酒店有限公司董事长。"
8,李家强,男,1957,独立董事,63,硕士,"李家强:男,1957年12月出生,硕士学历。1977.3-1983.7,吉林大学学生;1983.7-1995.12,清华大学物理系副教授;1995.12-1998.9,清华大学教务处副处长;1998.9-2008.5,清华大学出版社社长、研究员;2008.5至今,清华大学教授。2017年4月辞去独立董事一职。2019年12月5日至今担山东东方海洋科技股份有限公司独立董事职务。"
9,徐景熙,男,1955,独立董事,65,本科,"徐景熙先生:1955年3月28日出生,高级审计师、注册会计师,毕业于山东干部函授大学,2000年1月至今任烟台天罡有限责任会计师事务所所长,2009年4月至今担任山东恒邦冶炼股份有限公司独立董事,2016年12月4日因公司换届辞去山东东方海洋科技股份有限公司独立董事。2019年12月5日至今担山东东方海洋科技股份有限公司独立董事职务。2020年2月7日至今任山东仙坛股份有限公司独立董事职务。"
