,姓名,性别,出生日期（计算值）,职位,年龄,学历,简介
0,高士庆,男,1958,"董事长,法定代表人,董事,代理董事会秘书",62,本科,"高士庆:男,1958年9月29日出生,本科。1983-1992年,任北京无线电仪器二厂设计所工程师;1992-1997年,先后任深圳龙霭科技实业有限公司副总经理、总经理;1997-2002年,任北京新系统技术发展有限公司副总经理;2002年至今,任北京中地房地产开发有限公司总经理;2011年9月至今,任湖北武昌鱼股份有限公司董事长。"
1,樊国红,男,1962,"总经理,董事",58,硕士,"樊国红:男,1962年2月出生,研究生,工程师,中共党员。1980-1992年,任北京无线电仪器二厂计量仪表科科长;1992-1998年,任北京华普科技企业有限公司部门经理;1998至2009年9月,任北京朝阳物业管理有限公司总经理;2005年8月至2011年8月,先后任湖北武昌鱼股份有限公司监事、副总经理;2011年9月至今,任湖北武昌鱼股份有限公司董事、总经理。"
2,彭平生,男,1962,副总经理,58,大专,彭平生：男，1962年8月出生，大专，高级经营师，1980-1982年在涂镇供销社藠头厂先后任技术员、车间主任、支部委员、副厂长；1983年任涂镇供销社徐桥分店主任、支部委员；1984-1985年任涂镇供销社副主任；1986-1993年任梁子湖区供销社副主任、党委委员；1993—1996年先后任鄂州市蔬菜加工厂副厂长、支部副书记、厂长、书记；1997-1998年任武昌鱼集团蔬菜加工厂厂长、党支部书记；1999-2006年任湖北武昌鱼股份有限公司蔬菜加工厂厂长，党支部书记；2007年至今，先后任湖北武昌鱼股份有限公司鄂州事业部副总经理、党委委员；湖北武昌鱼股份有限公司武昌鱼良种场场长、党支部书记；鄂州市鄂城区红尾鱼协会会长；鄂州事业部总经理；湖北武昌鱼股份有限公司副书记；2013年9月至今，任湖北武昌鱼股份有限公司副总经理。
3,李成,男,1959,董事,61,硕士,"李成:男,1959年5月出生,研究生,工程师,1977年1月至1980年1月,39879部队战士;1980年6月至1992年1月,先后任北京无线电仪器二厂工人、干部;1992年2月至2009年9月,任北京华普产业集团有限公司干部;2009年9月至2011年8月任北京朝阳物业管理有限公司总经理;2011年9月至2014年6月先后任贵州黔锦矿业有限公司总经理、董事长、法定代表人;2014年7月至今,就职于北京华普产业集团有限公司;2011年9月至今,任湖北武昌鱼股份有限公司董事。"
4,刘伟,男,1970,独立董事,50,本科,"刘伟,男,1970年3月出生,经济学,本科,经济师、股权私募基金从业资格。1988.6-1996.06中国农业银行湖北省信托投资公司鄂州办事处,历任出纳,记账会计,主管会计、办公室副主任、综合办公室主任等职;1996.07-2006.12,湖北省鄂州市农村信用联社营业部,鄂城区农村信用联社先后任副主任、常务副主任、理事长兼主任;2007.01-2008.09英国达高瑞投资有限公司北京代表处总经理;2008.10-2014.08北京华泽天地国际投资咨询有限公司总经理;2014.10-2015.05北京瑞宝鼎国际投资担保有限公司业务总监;2015.06-2017.12上海福盈集团副总裁兼上海普惠宜居商务咨询有限公司总经理;2018.01至今,北京华泽天地资产管理有限公司总裁。"
5,余水清,女,1968,独立董事,52,硕士,"余水清,女,1968年10月出生,法学硕士,律师。1991/08--1993/06新疆石油教育学院心理教研室教师;1994/01--1998/08北京泛太科技发展有限公司(中外合资,房地产项目公司)行政主管;2001/03--2002/03北京聚科投资管理有限公司法律管理部经理;2002/03--至今先后在北京市中济律师事务所、北京市东清律师事务所、北京市保利威律师事务所任专职执业律师。"
6,章晓雪,女,1957,独立董事,63,硕士,"章晓雪,女,1957年3月出生中共党员在职研究生学历,高级会计师、注册税务师。退休前任北京人民艺术剧院计财处处长。1976年7月参加工作;1981年开始从事会计工作,从业30多年,先后担任过多种财务岗位的工作成本核算,总账会计,资产管理。先后任职于北京纺织控股集团、北京人民艺术剧院;2002年至2014年任北京人民艺术剧院,职务:处长"
7,国治维,男,1948,"监事会主席,监事",72,本科,"国治维:男,1948年7月出生,本科。1968.10-1973.10北京房山煤矿工人;1973.10-1987.2先后任北京有色工业公司工人、干部、教师;1987.2-1995.10任中国外贸金融租赁有限公司干部;1995.10-2002.6任北京华普产业集团有限公司总裁助理;2002.6月至今,任北京华普国际大厦总经理;2011.09至今,任湖北武昌鱼股份有限公司监事。"
8,詹健,男,1963,监事,57,高中,"詹健:男,1963年9月出生,中共党员,高中学历。1992-1998年,任北京华普产业集团职员;1998至今,任北京中地房地产开发有限公司总经理助理;2005年8月至2011年8月,任湖北武昌鱼股份有限公司监事;2011年9月至今,任湖北武昌鱼股份有限公司董事。"
9,汪慧红,女,1975,职工监事,45,大专,"汪慧红,女,1975年7月出生,大专,会计专业。1995.09—2003.10任江西省宜春齿轮厂绘图员;2003.11—2004.08任北京海桥世纪汽车装饰有限公司行政主管/财务;2004.11—2009.08任北京国华源教育咨询有限公司行政人事主管/财务;2009.9—2012.12任北京泰时源科技有限公司人事主管/财务出纳;2013.01至2018.01任湖北武昌鱼股份有限公司北京办事处财务出纳;2013.11至今,任湖北武昌鱼股份有限公司职工监事;2018.02至今任湖北武昌鱼股份有限公司北京办事处财务会计。"
10,张旭,男,1971,财务总监,49,大专,张旭：男，1971年10月出生，大专，注册会计师1992-2003年12月兰州军区军工厂会计；2004.1-2005.10甘肃国美公司会计主管；2005.10-2007.7甘肃茂源会计师事务所审计部主任；2007.7-2010.10立安达会计师事务所项目经理；2010.10-2011.6北京华普产业集团财务总监；2011.09至今湖北武昌鱼股份有限公司财务总监。
