,姓名,性别,出生日期（计算值）,职位,年龄,学历,简介
0,马晓宏,男,1966,"董事长,法定代表人,董事",54,本科,"马晓宏:男,汉族,1966年2月出生,1984年4月参加工作,中共党员,大学学历,高级会计师职称。曾担任新疆农五师发改委副主任、主任,新疆农五师八十六团党委副书记、团长,现任新疆赛里木现代农业股份有限公司董事长"
1,刘江,男,1972,"总经理,董事",48,本科,"刘江:男,汉族,1972年5月出生,安徽肥东人,1991年3月参加工作,中共党员,本科学历,高级农艺师职称,曾担任新疆兵团第五师畜牧开发公司书记、总经理,新疆博乐赛里木节水设备公司董事长、总经理,新疆兵团第五师国有资产经营公司总经理。现任本公司董事、总经理。"
2,陈建江,男,1974,"副总经理,董事,董事会秘书",46,本科,"陈建江:男,汉族,1974年10月出生,湖南衡山县人,本科学历,1997年7月毕业于新疆财经学院,同年8月在84团参加工作,中共党员,曾任新疆农五师84团9连会计,新疆农五师84团4连会计,新疆农五师八十四机关计财科,开发办和劳资科工作,2004年公务员考录到新疆农五师国资委,新疆农五师国资委业绩考核部副部长,新疆农五师国资委业绩考核部部长,新疆北疆果蔬公司挂职副总经理,现任新赛股份董事、董事会秘书、副总经理。"
3,陆建生,男,1962,副总经理,58,大专,"陆建生:男,汉族,1962年9月出生,专科学历,助理会计师职称,中共党员,1979年9月参加工作,曾任新疆农五师84团审计科科员、审计科长,新疆农五师商业处副科长,新疆农五师商业处科长,新疆农五师审计局副主任科员,新疆农五师审计局主任科员,新疆农五师第二审计中心主任,新疆赛里木现代农业股份有限公司党委委员、纪委书记、监事会主席,现任新赛股份党委委员、副总经理。"
4,杨美旭,男,1967,副总经理,53,本科,"杨美旭:男,汉族,1967年4月出生,四川邛崃,大学学历,2003年1月毕业于石河子大学市场营销,1986年9月在85团参加工作,中共党员,曾任新疆博赛精纺有限公司副总经理、新疆新赛精纺有限公司董事长、总经理。现任本公司副总经理。"
5,程冠卫,男,1973,董事,47,本科,"程冠卫:男,汉族,1973年9月出生,大学学历,工程师职称,中共党员,1997年4月参加工作,曾任新疆生产建设兵团农五师81团建筑公司技术员、质检股股长、经理助理,农五师八十四团基建科副科长、科长,工交建商科科长,农五师八十四团总工程师,现任新赛股份副总经理。2018年11月7日因个人原因辞去新疆赛里木现代农业股份有限公司副总经理职务。2020年5月20日任新疆赛里木现代农业股份有限公司董事职务。"
6,郭双霞,女,1968,董事,52,本科,"郭双霞:女,汉族,1968年3月出生,本科学历,中共党员,高级会计师职称。曾任农五师88团加工厂会计,农五师热电厂会计,农五师电力公司财务部副部长、监察部部长。农五师国有资产经营公司财务部长、副总会计师。2020年5月20日任新疆赛里木现代农业股份有限公司董事职务。"
7,申世保,男,1984,董事,36,本科,"申世保:男,汉族,1984年7月出生,本科学历,毕业于新疆财经学院。曾任刘鸿儒金融教育基金会项目经理、国际金融理财标准委员会上海项目中心金融机构部主任、北京当代金融培训有限公司金融机构部主任。现任2013年8月至今上海鲁华资产管理有限公司总裁;2015年11月至今新疆东西部经济研究院合伙人;2016年6月至今上海韬韫投资管理有限公司合伙人、执行董事;2017年1月至今上海弋丰投资管理有限公司合伙人、监事;2017年9月至今西安天和国荣投资有限公司合伙人、风控总监、监事;2018年5月至今西安申宝房地产营销策划有限公司执行董事。2020年5月20日任新疆赛里木现代农业股份有限公司董事职务。"
8,边新俊,男,,独立董事,--,本科,"边新俊先生:中国国籍,汉族,法学学士学位。曾在甘肃政法学院任教师,新疆经济律师事务所律师,新疆桑赛律师事务所律师;新疆鼎信旭业律师事务所律师。现任本公司第七届董事会独立董事,新疆公论律师事务所律师,青松建化、新赛股份、天顺股份独立董事。"
9,黑永刚,男,1973,独立董事,47,本科,"黑永刚:男,汉族,1973年4月出生,1996年6月参加工作,本科学历,中国注册会计师,中国注册资产评估师,新疆注册会计师协会注册管理委员会委员,曾任新疆华西会计师事务所有限公司项目经理、高级经理;新疆公正有限责任会计师事务所部门经理;新疆三和联合会计师事务所合伙人;新疆三和资产评估事务所合伙人;现任新赛股份独立董事。"
10,李季鹏,男,1969,独立董事,51,博士,"李季鹏,男,汉族,1969年生,中央财经大学经济学博士。主要从事企业战略管理、公司治理、财务管理的教学与研究。现任新疆财经大学工商管理学院副教授、硕士生导师,美克家居、中泰化学独立董事。2020年5月20日任新疆赛里木现代农业股份有限公司独立董事职务。"
11,谭志文,男,1976,"监事会主席,监事",44,本科,"谭志文,男,汉族,1976年8月出生,本科学历,高级政工师职称,中共党员,曾任新疆兵团农五师89团团委副书记;兵团农五师89团团委书记;兵团农五师国资公司党群部部长;兵团第五师国资公司办公室主任;现任新赛股份党委委员、纪委书记。2020年5月20日任新疆赛里木现代农业股份有限公司监事职务。"
12,李明权,男,1971,监事,49,本科,"李明权:男,汉族,1971年6月出生,本科学历,1992年10月参加工作,中国共产党,兵团党校经济管理专业、北京电子科技学院计算机与科学技术专业,工程师职称。曾任农五师社保局支部委员、信息网络部主任;第五师旅游集团支部副书记、总经理;现任新疆双博汇金投资有限公司副总经理。2020年5月20日任新疆赛里木现代农业股份有限公司监事职务。"
13,石珍,女,1971,监事,49,大专,"石珍:女,汉族,1971年5月出生,大专学历,中共党员,助理会计师职称。曾任博乐赛里木节水设备有限公司财务会计、财务科长;农五师赛里木运输有限责任公司财务部长;新疆生产建设兵团第五师国有资产经营有限责任公司资产管理部部长兼财务部副科长。现任新疆双博汇金投资有限公司经济发展部部长。2020年5月20日任新疆赛里木现代农业股份有限公司监事职务。"
14,许丽霞,女,1967,职工代表监事,53,本科,"许丽霞:女,汉族,1967年9月出生,大学学历,中共党员。1988年7月参加工作,曾任新疆兵团农五师八十一团综合加工厂财务会计,新赛股份霍热分公司财务部主办会计。现任新赛股份职工监事、审计部经理。"
15,余江南,男,1979,职工代表监事,41,本科,"余江南:男,汉族,1979年12月出生,本科学历,中共党员。2001年3月参加工作,会计专业,中级经济师职称。曾任新疆兵团八十一团园林公司统计员兼材料会计;新疆兵团八十一团六连报账会计;新疆兵团霍热分公司财务部会计;新赛博汇公司财务部业务主管,现任新赛博汇公司财务部经理。2020年5月20日任新疆赛里木现代农业股份有限公司职工监事职务。"
16,高维泉,男,1965,财务总监,55,本科,"高维泉:男,汉族,1965年5月出生,本科,高级会计师,中共党员。曾任新疆生产建设兵团农五师八十九团十连、九连、原种厂会计,农五师八十二团计财科科长,新赛股份审计部高级业务主管,新赛钢木财务总监,新赛图木舒克油脂有限公司财务总监,新赛股份公司财务部经理、证券部经理、证券事务代表、财务总监助理,现任新赛股份公司财务总监、证券事务代表。"
